field_name,field_family,source_family,feature_class,transform,label_family,label_horizon_h,orientation_from_train,premay_positive_split_count,premay_all_positive,control_ratio_premay_max,one_bar_lag_recent_oriented,lag_ok,atlas_candidate,decision,train_2024_n,train_2024_mean_spread,train_2024_tstat,train_2024_nonoverlap_median_tstat,train_2024_nonoverlap_min_tstat,train_2024_positive_rate,validation_2025H1_n,validation_2025H1_mean_spread,validation_2025H1_tstat,validation_2025H1_nonoverlap_median_tstat,validation_2025H1_nonoverlap_min_tstat,validation_2025H1_positive_rate,test_2025H2_n,test_2025H2_mean_spread,test_2025H2_tstat,test_2025H2_nonoverlap_median_tstat,test_2025H2_nonoverlap_min_tstat,test_2025H2_positive_rate,recent_oos_2026JanApr_n,recent_oos_2026JanApr_mean_spread,recent_oos_2026JanApr_tstat,recent_oos_2026JanApr_nonoverlap_median_tstat,recent_oos_2026JanApr_nonoverlap_min_tstat,recent_oos_2026JanApr_positive_rate,avg_n_obs_recent,error
open_interest_last,open_interest,metrics_positioning,raw_source,level,L0_raw_forward_return,1,-1.0,2,False,195.0412641029312,4.681996495605335e-05,True,False,HOLD_A7FFCORE16E_PREMAY_UNSTABLE,719,-0.00015093607135274962,-0.7975594602723859,-0.7975594602723859,-0.7975594602723859,0.47705146036161333,719,-0.00017064379836968078,-1.136923327037903,-1.136923327037903,-1.136923327037903,0.4937413073713491,719,1.1598294613426142e-06,0.00894065975073023,0.00894065975073023,0.00894065975073023,0.48817802503477054,719,-2.8561950286929916e-05,-0.20066524218272666,-0.20066524218272666,-0.20066524218272666,0.47705146036161333,95.86666666666666,
open_interest_last,open_interest,metrics_positioning,raw_source,level,L1_cross_sectional_relative_return,1,-1.0,2,False,195.04126410292955,4.681996495605333e-05,True,False,HOLD_A7FFCORE16E_PREMAY_UNSTABLE,719,-0.00015093607135274964,-0.797559460272386,-0.797559460272386,-0.797559460272386,0.47705146036161333,719,-0.00017064379836968083,-1.1369233270379033,-1.1369233270379033,-1.1369233270379033,0.4937413073713491,719,1.159829461342624e-06,0.008940659750730304,0.008940659750730304,0.008940659750730304,0.48817802503477054,719,-2.8561950286929882e-05,-0.2006652421827264,-0.2006652421827264,-0.2006652421827264,0.47705146036161333,95.86666666666666,
open_interest_last,open_interest,metrics_positioning,raw_source,level,L3_liquidity_tier_relative_return,1,-1.0,2,False,32.07920671088287,7.026545397224847e-05,True,False,HOLD_A7FFCORE16E_PREMAY_UNSTABLE,719,-0.00016219483321493035,-0.8673772352441204,-0.8673772352441204,-0.8673772352441204,0.47844228094575797,719,-0.00017460657043628008,-1.2184536548550795,-1.2184536548550795,-1.2184536548550795,0.49791376912378305,719,7.522503954325116e-06,0.06230230649231204,0.06230230649231204,0.06230230649231204,0.48817802503477054,719,-5.441721913400439e-05,-0.4177452310537262,-0.4177452310537262,-0.4177452310537262,0.47983310152990266,95.86666666666666,
open_interest_last,open_interest,metrics_positioning,raw_source,level,L5_vol_adjusted_return,1,-1.0,3,True,13.10305370916377,0.0019974968227233062,True,False,HOLD_A7FFCORE16E_CONTROL_LIKE,719,-0.009121924716527924,-0.7910900275182321,-0.7910900275182321,-0.7910900275182321,0.48678720445062584,719,-0.010341813146768764,-0.8747913601272661,-0.8747913601272661,-0.8747913601272661,0.4756606397774687,719,-0.0016863167830011715,-0.13465842745663076,-0.13465842745663076,-0.13465842745663076,0.48261474269819193,719,-0.0016535679470024173,-0.10291760557075325,-0.10291760557075325,-0.10291760557075325,0.4673157162726008,95.86666666666666,
open_interest_last,open_interest,metrics_positioning,raw_source,level,L0_raw_forward_return,4,-1.0,3,True,2.294583162858999,0.00010938781326295767,True,False,HOLD_A7FFCORE16E_CONTROL_LIKE,716,-0.0005224244102641164,-1.4053688138961506,-0.7068661576696632,-0.8481024101600113,0.4692737430167598,716,-0.0005576645303711703,-1.887042134769251,-0.9468257355555345,-1.0153174672659524,0.48463687150837986,716,-0.0001478527804496399,-0.592091197136917,-0.29195062414912487,-0.3634603774670245,0.49162011173184356,716,-0.00012573988105553792,-0.4485285315276489,-0.22091013160018302,-0.3143512330284551,0.4818435754189944,95.46666666666667,
open_interest_last,open_interest,metrics_positioning,raw_source,level,L1_cross_sectional_relative_return,4,-1.0,3,True,2.2945831628590017,0.00010938781326295764,True,False,HOLD_A7FFCORE16E_CONTROL_LIKE,716,-0.0005224244102641164,-1.4053688138961506,-0.7068661576696629,-0.8481024101600109,0.4692737430167598,716,-0.0005576645303711703,-1.887042134769251,-0.9468257355555345,-1.0153174672659524,0.48463687150837986,716,-0.00014785278044963978,-0.5920911971369164,-0.2919506241491247,-0.36346037746702364,0.49162011173184356,716,-0.00012573988105553794,-0.448528531527649,-0.22091013160018305,-0.31435123302845486,0.4818435754189944,95.46666666666667,
open_interest_last,open_interest,metrics_positioning,raw_source,level,L3_liquidity_tier_relative_return,4,-1.0,3,True,3.2504840380107756,0.0002048298767639858,True,False,HOLD_A7FFCORE16E_CONTROL_LIKE,716,-0.0005607042029944309,-1.5161325228458744,-0.7736382721682697,-0.8920393719008399,0.4594972067039106,716,-0.0005848151123308359,-2.0429513595461493,-1.0220237690790486,-1.0736317492711327,0.4958100558659218,716,-0.00011602454947298786,-0.5006765118612484,-0.23501964883154103,-0.32878160155131486,0.4958100558659218,716,-0.0002212628336069173,-0.8564588887868287,-0.42681384562261876,-0.5265589185004653,0.4762569832402235,95.46666666666667,
open_interest_last,open_interest,metrics_positioning,raw_source,level,L5_vol_adjusted_return,4,-1.0,3,True,2.7015403821832282,0.0058394689164851365,True,False,HOLD_A7FFCORE16E_CONTROL_LIKE,716,-0.03145081075565949,-1.3995306498317586,-0.6940606927674178,-0.7810913095758009,0.47067039106145253,716,-0.033149849879182104,-1.4112396636051492,-0.6980995010406741,-0.7825322837726317,0.46787709497206703,716,-0.017047965534430623,-0.7369458812949974,-0.37258847569605114,-0.42914696185079587,0.4748603351955307,716,-0.008241606550307925,-0.2437464656347833,-0.1164660997695518,-0.21045922230718297,0.4860335195530726,95.46666666666667,
open_interest_last,open_interest,metrics_positioning,raw_source,level,L0_raw_forward_return,8,-1.0,3,True,1.168155819234626,0.00021783912941785425,True,False,A7FFCORE16E_NEAR_MISS_CONTROL_MARGIN,712,-0.0010227832761920599,-2.0315429575288815,-0.6855664372404939,-0.8885363835352705,0.4606741573033708,712,-0.0010839230085559885,-2.647561254976975,-0.9293276323747546,-1.2408541641549107,0.4691011235955056,712,-0.0005029230908035074,-1.4787443073823714,-0.45630257880706565,-0.8214987618914389,0.43820224719101125,712,-0.00023656892909990122,-0.6122978721106798,-0.184077104824845,-0.4264623730424922,0.48174157303370785,94.93333333333334,
open_interest_last,open_interest,metrics_positioning,raw_source,level,L1_cross_sectional_relative_return,8,-1.0,3,True,1.168155819234626,0.00021783912941785433,True,False,A7FFCORE16E_NEAR_MISS_CONTROL_MARGIN,712,-0.00102278327619206,-2.0315429575288815,-0.6855664372404942,-0.8885363835352701,0.4606741573033708,712,-0.0010839230085559885,-2.647561254976975,-0.9293276323747546,-1.24085416415491,0.4691011235955056,712,-0.0005029230908035074,-1.4787443073823714,-0.45630257880706543,-0.8214987618914392,0.43820224719101125,712,-0.0002365689290999013,-0.61229787211068,-0.18407710482484482,-0.4264623730424922,0.48174157303370785,94.93333333333334,
