field_family,near_miss_count,transform_count,label_family_count,median_control_ratio
price_return,37,8,4,1.2751802826882066
open_interest,6,1,3,1.1691119523477087
positioning,2,1,2,1.2877768256156965
taker_flow,1,1,1,1.250607943453831
