arm,selected_for_replay,killer_gate,count
I0_basis_premium,False,raw_recent_nonpositive,6
I0_basis_premium,False,raw_validation_nonpositive,180
I0_basis_premium,True,raw_may_severely_negative,1
I0_basis_premium,True,raw_recent_nonpositive,9
I0_basis_premium,True,raw_validation_nonpositive,54
I1_flow_liquidity,False,raw_recent_nonpositive,3
I1_flow_liquidity,False,raw_validation_nonpositive,183
I1_flow_liquidity,True,raw_may_severely_negative,34
I1_flow_liquidity,True,raw_recent_nonpositive,15
I1_flow_liquidity,True,raw_validation_nonpositive,15
I2_microstructure_lite,False,raw_may_severely_negative,2
I2_microstructure_lite,False,raw_recent_nonpositive,4
I2_microstructure_lite,False,raw_validation_nonpositive,180
I2_microstructure_lite,True,passes_all_a7i1b_research_gates,1
I2_microstructure_lite,True,raw_may_severely_negative,7
I2_microstructure_lite,True,raw_recent_nonpositive,1
I2_microstructure_lite,True,raw_validation_nonpositive,55
I3_placebo_random,False,placebo_negative_control,186
I3_placebo_random,True,placebo_negative_control,64
