arm,selected_for_replay,metric,count,mean,std,min,q05,q25,median,q75,q95,max,cost20_recent_collapse_count,execution_lag_recent_collapse_count,candidate_count
I0_basis_premium,False,raw_20bp__recent_oos_2025H2_2026Apr__annualized_mean,186,-3.5225993582830566,1.946480286059902,-6.810606413048875,-6.27461014980013,-4.666692945640609,-3.8595893903112746,-2.9604718477907053,0.0,0.0,153,147,186
I0_basis_premium,False,execution_lag_1bar_raw_10bp__recent_oos_2025H2_2026Apr__annualized_mean,186,-1.7522684998070142,0.9842875212098505,-3.449382445211682,-3.1911235143115513,-2.3764167654456765,-1.898952147953507,-1.3560570326965542,0.0,0.0,153,147,186
I0_basis_premium,False,execution_lag_1bar_raw_10bp__fresh_forward_2026May__annualized_mean,186,-1.7372495447523535,3.7287756915286168,-9.390536722469388,-6.224911213161143,-4.015275033493517,-2.95789114740957,0.0,6.6997294289824225,8.917968791735495,153,147,186
I0_basis_premium,True,raw_20bp__recent_oos_2025H2_2026Apr__annualized_mean,64,-1.585492528360168,1.419878629398962,-4.510798409830628,-3.6792376133248053,-3.071690720224692,-1.5141130031888048,0.0,0.0,0.0,35,21,64
I0_basis_premium,True,execution_lag_1bar_raw_10bp__recent_oos_2025H2_2026Apr__annualized_mean,64,-0.6184936466335538,0.605049094202967,-1.852108807087512,-1.5674339482995192,-1.1915083783547307,-0.5580934245121263,0.0,0.0,0.1731589000107399,35,21,64
I0_basis_premium,True,execution_lag_1bar_raw_10bp__fresh_forward_2026May__annualized_mean,64,-4.487236945807974,3.588729812769021,-12.96855241048071,-9.54695429793481,-7.049667673106313,-5.640513615721504,0.0,0.0,0.0,35,21,64
I1_flow_liquidity,False,raw_20bp__recent_oos_2025H2_2026Apr__annualized_mean,186,-3.9201083729224333,2.020506550125708,-6.994323239588061,-6.427614379715551,-5.888558826586436,-4.435025268737145,-2.04110725367229,-0.834614472619867,-0.3170208075152838,169,145,186
I1_flow_liquidity,False,execution_lag_1bar_raw_10bp__recent_oos_2025H2_2026Apr__annualized_mean,186,-1.9931059222581795,0.9609224025180501,-3.79024401460482,-3.149181450718915,-2.787389457430171,-2.2319064110575613,-1.0870586647975984,-0.4789506717974291,-0.0410804264017855,169,145,186
I1_flow_liquidity,False,execution_lag_1bar_raw_10bp__fresh_forward_2026May__annualized_mean,186,-1.2866815950067878,3.05126304214122,-6.452123740287339,-5.317679189085752,-3.336898304794141,-1.7443731187278262,0.1906973108473597,4.466364140577271,8.670485061204996,169,145,186
I1_flow_liquidity,True,raw_20bp__recent_oos_2025H2_2026Apr__annualized_mean,64,-0.6133124525934468,0.8819734095990883,-3.62977244584793,-2.218443048305258,-0.9609826245774389,-0.4977394635295034,-0.1311170780149359,0.42205580154659145,0.8679938006227024,16,4,64
I1_flow_liquidity,True,execution_lag_1bar_raw_10bp__recent_oos_2025H2_2026Apr__annualized_mean,64,0.003833021260298927,0.5483541750523722,-1.3229282216903429,-1.0291488482714835,-0.3005936820227172,0.0238562740379592,0.36179928438870645,0.8399042955437234,0.9755960013966102,16,4,64
I1_flow_liquidity,True,execution_lag_1bar_raw_10bp__fresh_forward_2026May__annualized_mean,64,-4.554828463656886,2.054637283592577,-8.69225121140071,-8.106330976473481,-5.7573650909015335,-4.87898754280984,-3.033404345601326,-1.1854047379886483,-0.6175168942220639,16,4,64
I2_microstructure_lite,False,raw_20bp__recent_oos_2025H2_2026Apr__annualized_mean,186,-4.08789846302484,1.6391223554855816,-6.810606413048875,-6.429332803300257,-5.612567149218355,-4.097619475591806,-2.8755979398000466,-1.456748034940565,0.4963209491699612,179,155,186
I2_microstructure_lite,False,execution_lag_1bar_raw_10bp__recent_oos_2025H2_2026Apr__annualized_mean,186,-1.9721406294914743,0.8768719017320896,-3.457007100775728,-3.2294150923392144,-2.7922117497853782,-1.9726882011926707,-1.4270309667689087,-0.6451252506226768,0.68796622772175,179,155,186
I2_microstructure_lite,False,execution_lag_1bar_raw_10bp__fresh_forward_2026May__annualized_mean,186,-2.8620301373300174,3.03563917475013,-8.02210834084235,-6.455595309658957,-4.7668008620463995,-3.547320976023414,-1.59447655134527,4.329236426036278,8.43252550819982,179,155,186
I2_microstructure_lite,True,raw_20bp__recent_oos_2025H2_2026Apr__annualized_mean,64,-1.3027585443947465,0.8689493599234994,-3.071690720224692,-2.7766116289455107,-1.808875554700784,-1.3016502967740953,-0.6695386970230619,-0.004785552762914773,0.9719594540319216,41,5,64
I2_microstructure_lite,True,execution_lag_1bar_raw_10bp__recent_oos_2025H2_2026Apr__annualized_mean,64,-0.30680818035966884,0.48981808177730396,-1.2579169696826502,-1.0322298568593546,-0.5747199664097299,-0.34591417244946004,-0.0317537020021456,0.3653077063496076,1.354721905911228,41,5,64
