arm,selected_for_replay,metric,count,mean,std,min,q05,q25,median,q75,q95,max,raw_may_severe_fail_count,residual_funding_may_fail_count,candidate_count
I0_basis_premium,False,raw_may_10bp_ann_stress_only,186,-1.6329240559662666,3.415269026665653,-8.555390080083688,-5.7440422087947445,-3.808600383165231,-2.6477190579650887,0.0,6.078062836154919,8.312091816938171,115,88,186
I0_basis_premium,False,residual_funding_may_ann_stress_only,186,-0.07890003982195033,2.385797832809011,-6.488046078486987,-3.9562681099761488,-1.3706067782742555,0.0,0.7510033786488116,4.331618830986037,8.131607739173647,115,88,186
I0_basis_premium,False,residual_core4_may_ann_stress_only,186,-0.0324146576443268,2.364813290227955,-6.633745204905391,-3.8571637228907116,-1.2746911366178288,0.0,0.7412862185301378,4.447688202040105,8.028639809546046,115,88,186
I0_basis_premium,True,raw_may_10bp_ann_stress_only,64,-4.322555218836785,3.4633130890107044,-12.5752469142483,-9.683611513776615,-6.870894424350597,-4.916832031148768,0.0,0.0,0.0,44,40,64
I0_basis_premium,True,residual_funding_may_ann_stress_only,64,-1.8617996014251705,2.3144748754546898,-9.807216057398987,-6.861274385509359,-2.9215813444316314,-1.1305641626296938,0.0,0.024505765850700252,0.2310685799529466,44,40,64
I0_basis_premium,True,residual_core4_may_ann_stress_only,64,-2.060124628917124,2.2555374333097986,-9.685409308515244,-6.313873643945464,-3.186892067435757,-1.5927336789062458,0.0,0.0,0.0,44,40,64
I1_flow_liquidity,False,raw_may_10bp_ann_stress_only,186,-1.378951236999166,2.8855131185768874,-6.425500934654165,-4.80052937384572,-3.3919683502321067,-1.9935216319751334,-0.0028521807519891265,4.234262330772635,8.319172203513459,125,92,186
I1_flow_liquidity,False,residual_funding_may_ann_stress_only,186,0.10247836456975412,1.6944218486044866,-4.23949848749384,-2.7279472418857136,-0.8593530406709651,0.0548147475343884,0.7497755437671118,3.2018543931271743,5.337916483595033,125,92,186
I1_flow_liquidity,False,residual_core4_may_ann_stress_only,186,-0.0040386549288024785,1.7156618345950645,-4.342162450527753,-2.690178911770502,-0.8932214106098415,-0.06191785322093529,0.54249642724081,3.176671321678011,5.631716983388097,125,92,186
I1_flow_liquidity,True,raw_may_10bp_ann_stress_only,64,-4.491758937330531,1.956765494137831,-8.101215660449919,-7.8566064371807185,-5.693054974756079,-4.927060797420349,-3.144656201609315,-0.9584842329234367,-0.6552267614487853,64,52,64
I1_flow_liquidity,True,residual_funding_may_ann_stress_only,64,-1.507410144174845,1.5779376549057231,-5.222949516380246,-4.160141209749923,-2.485780753908848,-1.6094854693336464,-0.5687345540556644,1.0090712569016809,1.4258714871233755,64,52,64
I1_flow_liquidity,True,residual_core4_may_ann_stress_only,64,-1.8133675863419587,1.532320062248432,-5.179283811519901,-4.447660490605323,-2.772414234358283,-1.8058447420801096,-0.7927365597737529,0.6082706770205224,1.1105431430677104,64,52,64
I2_microstructure_lite,False,raw_may_10bp_ann_stress_only,186,-2.7230325781218214,2.7280783570454705,-8.004376467898558,-6.063640446554349,-4.355579289888617,-3.3071323518411315,-2.0474523500526214,3.369401369712137,8.046876773492096,157,109,186
I2_microstructure_lite,False,residual_funding_may_ann_stress_only,186,-0.18742300709050433,1.4576793027659831,-3.3104638348697573,-2.2415684283514383,-1.241636319098392,-0.30567907883260503,0.42105135675855976,2.9256277744762635,4.835714281300668,157,109,186
I2_microstructure_lite,False,residual_core4_may_ann_stress_only,186,-0.3834706385116017,1.5359382724305266,-3.640653516881101,-2.561132038072548,-1.4143844253173348,-0.4734177595821605,0.1461795697793396,2.755297590307036,5.044714298181341,157,109,186
I2_microstructure_lite,True,raw_may_10bp_ann_stress_only,64,-4.940818658557033,1.998978251414615,-11.139823820020098,-7.543798854163843,-5.904020349926508,-5.006895034732279,-3.4767851264318583,-2.416441138014012,-0.4978876854301183,63,54,64
I2_microstructure_lite,True,residual_funding_may_ann_stress_only,64,-1.4239000795933467,1.4578614495478301,-5.620665096236524,-3.7393243179375415,-2.283882256236114,-1.1524715431911083,-0.48559201472955826,0.4703975236762473,1.166687246072681,63,54,64
I2_microstructure_lite,True,residual_core4_may_ann_stress_only,64,-1.9093894797665891,1.4779903187539667,-6.175501909110818,-4.024096666727531,-2.9208251262727254,-1.564904909696589,-0.9953880191501805,-0.053793573581447346,1.0875164788634917,63,54,64
I3_placebo_random,False,raw_may_10bp_ann_stress_only,186,-2.744560200530987,2.7575732623372433,-10.780984582093518,-7.232222185739845,-4.005335732867487,-3.241909376116957,-1.484468568081991,2.676070151656605,5.191000167531156,150,118,186
