shard,blueprint_id,expression,semantic_pair,motif,skeleton_key,label_family,label_horizon_h,decision,triage_status,control_ratio_premay_max,one_bar_lag_recent_oriented,robust_min_tstat_floor,cost10_recent_oriented,score_no_may,finite_share,nonzero_share
0,a7ff24r_858ff2210f276fcf,"Delta(mark_index_basis_bps,12)",basis_premium_like,single,skel_1d39996e97d5ace0,L5_vol_adjusted_return,8,A7FF25R3S00_NUMERIC_CLUE,promotion_ready_numeric_research_clue,0.6646652401098144,0.2474737953713839,2.3257390719032007,0.3882478213379182,395.58315609780846,0.9962654409652398,0.998429089773164
0,a7ff24r_145e2d58adad4f4a,"SafeDiv(mark_index_basis_bps,Abs(ZScore(Mean(premium_close_bps,12))))",basis_premium_like|basis_premium_like,safe_div_abs,skel_c80f62c274b367a9,L5_vol_adjusted_return,4,A7FF25R3S00_NUMERIC_CLUE,promotion_ready_numeric_research_clue,0.7876595208821017,0.0448436481681233,2.2798809427841484,0.1352933136578774,142.5056541369953,0.9965527147371444,0.9873852935524168
0,a7ff24r_0ba14c1c756fb529,"SafeDiv(Delta(mark_index_basis_bps,8),Abs(premium_close_bps))",basis_premium_like|basis_premium_like,safe_div_abs,skel_136259b72205469f,L5_vol_adjusted_return,4,A7FF25R3S00_NUMERIC_CLUE,watchlist_control_margin_thin,0.934919006990504,0.0488342726674328,0.8971895506405609,0.1186336224054361,125.69870339844567,0.6623515752178493,0.9997289262769832
0,a7ff24r_8d906801b8dec4c0,"Mul(mark_index_basis_bps,Mean(premium_close_bps,2))",basis_premium_like|basis_premium_like,mul,skel_f8484b844efd270f,L5_vol_adjusted_return,1,A7FF25R3S00_NUMERIC_CLUE,promotion_ready_numeric_research_clue,0.6009929984629782,0.0296296351470705,4.122855921207231,0.1119279894794139,119.32699648095098,0.9994254524561909,0.8118981747628629
0,a7ff24r_48f9f812cd8214e5,"Mul(mark_index_basis_bps,Sign(Mean(premium_close_bps,8)))",basis_premium_like|basis_premium_like,gated_sign,skel_a2f58ee62d9e7ad2,L5_vol_adjusted_return,1,A7FF25R3S00_NUMERIC_CLUE,watchlist_control_margin_thin,0.8368020176254247,0.0248872204168464,4.496317360055887,0.0938565233855903,101.0197213679649,0.997701809824763,0.956365774066609
0,a7ff24r_f695d065dec8c1ad,"Mul(Delta(mark_index_basis_bps,8),premium_close_bps)",basis_premium_like|basis_premium_like,mul,skel_0994b3a36a4d53ba,L5_vol_adjusted_return,1,A7FF25R3S00_NUMERIC_CLUE,promotion_ready_numeric_research_clue,0.6439644446107133,0.0153524785307556,2.2838873152138603,0.0414972482069441,48.85328376233343,0.9974145360528583,0.6638884888632872
0,a7ff24r_0140b036cf90c55c,"Mean(Mul(mark_index_basis_bps,ZScore(Mean(premium_close_bps,8))),4)",basis_premium_like|basis_premium_like,smooth_mul,skel_44a246af570899bb,L7_ranked_future_return,8,A7FF25R3S00_RANK_LABEL_DIAGNOSTIC_CLUE,rank_label_diagnostic_only,0.5105429155411473,0.0379301264044943,2.0447493605543685,0.0403434736527257,46.83293073718462,0.9968399885090492,0.9997508405379444
0,a7ff24r_1897e3e44a9baba5,"Mean(Mul(ZScore(Mean(mark_index_basis_bps,2)),ZScore(Mean(premium_close_bps,8))),4)",basis_premium_like|basis_premium_like,smooth_mul,skel_23144da521f368b4,L7_ranked_future_return,1,A7FF25R3S00_RANK_LABEL_DIAGNOSTIC_CLUE,rank_label_diagnostic_only,0.7576681193799305,0.0102691334415082,1.8828614312880207,0.020884149796528,27.126481677148163,0.9968399885090492,1.0
1,a7ff24r_2fff7c49f91def0b,"Sub(CSRank(mark_index_basis_bps),CSRank(Delta(premium_close_bps,4)))",basis_premium_like|basis_premium_like,spread_rank,skel_1a1b3fb29dff7328,L5_vol_adjusted_return,4,A7FF25R3S01_NUMERIC_CLUE,watchlist_robustness_thin,0.7535703239954334,0.1224660945641191,1.2075244903203182,0.1601751786143772,167.42160829038184,0.9985636311404767,0.9766703826237054
1,a7ff24r_09dc2d7e51641cb0,"Sub(Delta(mark_index_basis_bps,8),premium_close_bps)",basis_premium_like|basis_premium_like,sub,skel_0994b3a36a4d53ba,L5_vol_adjusted_return,1,A7FF25R3S01_NUMERIC_CLUE,promotion_ready_numeric_research_clue,0.5907071269400184,0.0271568237159255,4.246742911243791,0.0840883894728411,91.49768234590108,0.9974145360528583,0.997848862327189
