label_family,triage_status,count
L5_vol_adjusted_return,promotion_ready_numeric_research_clue,14
L5_vol_adjusted_return,watchlist_control_margin_thin,8
L5_vol_adjusted_return,watchlist_robustness_thin,3
L7_ranked_future_return,rank_label_diagnostic_only,46
