shard,blueprint_id,expression,semantic_pair,motif,skeleton_key,label_family,label_horizon_h,decision,triage_status,control_ratio_premay_max,one_bar_lag_recent_oriented,robust_min_tstat_floor,cost10_recent_oriented,score_no_may,finite_share,nonzero_share
4,a7ff24r_d629e7fa3c03d92b,"Sub(Delta(mark_index_basis_bps,12),trade_return_1h)",basis_premium_like|price_like,sub,skel_0994b3a36a4d53ba,L5_vol_adjusted_return,8,A7FF25R3S04_NUMERIC_CLUE,watchlist_control_margin_thin,0.9147500229378404,0.2470173878142887,2.3328946670308377,0.3858297464853036,392.91499646236576,0.9959781671933352,0.9996484713008364
2,a7ff24r_1c490f81c21f5f03,"SafeDiv(Delta(mark_index_basis_bps,12),Abs(trade_return_1h))",basis_premium_like|price_like,safe_div_abs,skel_136259b72205469f,L5_vol_adjusted_return,8,A7FF25R3S02_NUMERIC_CLUE,watchlist_control_margin_thin,0.99582926231859,0.1242861639265435,2.0229102101863314,0.197853022157202,204.8571928948835,0.960448984966006,0.9987350409242302
2,a7ff24r_892545e2049b6eba,"SafeDiv(mark_index_basis_bps,Abs(Delta(trade_return_1h,12)))",basis_premium_like|price_like,safe_div_abs,skel_a2f58ee62d9e7ad2,L5_vol_adjusted_return,4,A7FF25R3S02_NUMERIC_CLUE,watchlist_control_margin_thin,0.9063566456481872,0.100025766228635,1.8526874557227933,0.1798745401939046,186.9681835482564,0.9904182227329312,0.9876636835521824
1,a7ff24r_2fff7c49f91def0b,"Sub(CSRank(mark_index_basis_bps),CSRank(Delta(premium_close_bps,4)))",basis_premium_like|basis_premium_like,spread_rank,skel_1a1b3fb29dff7328,L5_vol_adjusted_return,4,A7FF25R3S01_NUMERIC_CLUE,watchlist_robustness_thin,0.7535703239954334,0.1224660945641191,1.2075244903203182,0.1601751786143772,167.42160829038184,0.9985636311404767,0.9766703826237054
0,a7ff24r_0ba14c1c756fb529,"SafeDiv(Delta(mark_index_basis_bps,8),Abs(premium_close_bps))",basis_premium_like|basis_premium_like,safe_div_abs,skel_136259b72205469f,L5_vol_adjusted_return,4,A7FF25R3S00_NUMERIC_CLUE,watchlist_control_margin_thin,0.934919006990504,0.0488342726674328,0.8971895506405609,0.1186336224054361,125.69870339844567,0.6623515752178493,0.9997289262769832
7,a7ff24r_ff9b56ccd0b1474f,"Delta(trade_return_1h,1)",price_like,single,skel_1d39996e97d5ace0,L5_vol_adjusted_return,4,A7FF25R3S07_NUMERIC_CLUE,watchlist_robustness_thin,0.4415055435064361,0.0953974495358685,1.4833820796890969,0.1036580096335581,111.21650409005169,0.9988509049123816,0.994757214073435
0,a7ff24r_48f9f812cd8214e5,"Mul(mark_index_basis_bps,Sign(Mean(premium_close_bps,8)))",basis_premium_like|basis_premium_like,gated_sign,skel_a2f58ee62d9e7ad2,L5_vol_adjusted_return,1,A7FF25R3S00_NUMERIC_CLUE,watchlist_control_margin_thin,0.8368020176254247,0.0248872204168464,4.496317360055887,0.0938565233855903,101.0197213679649,0.997701809824763,0.956365774066609
6,a7ff24r_0d2e211c74b8ab69,"Mul(realized_vol_168h,trade_return_1h)",price_like|volatility_like,mul,skel_337820bc5afcf6cc,L5_vol_adjusted_return,1,A7FF25R3S06_NUMERIC_CLUE,watchlist_control_margin_thin,0.8717666079642135,0.0244599838303963,2.18327938163828,0.0751148873127041,82.24312070473994,0.8273484630853203,0.96416015625
2,a7ff24r_ad7b309da8535408,"Mul(Mean(premium_close_bps,2),trade_return_1h)",basis_premium_like|price_like,mul,skel_0994b3a36a4d53ba,L5_vol_adjusted_return,8,A7FF25R3S02_NUMERIC_CLUE,watchlist_control_margin_thin,0.8345467639870997,0.0451690438435882,-0.948552518543792,0.063181293350795,70.34674658680794,0.999138178684286,0.7945538623730113
6,a7ff24r_18494b19560b1e1c,"Mul(realized_vol_168h,Sign(trade_return_1h))",price_like|volatility_like,gated_sign,skel_d9d4f69744bac825,L5_vol_adjusted_return,4,A7FF25R3S06_NUMERIC_CLUE,watchlist_control_margin_thin,0.9145223502284544,0.019153169319716,1.1105044924456495,0.0529488265880495,60.03430423782112,0.8273484630853203,0.96416015625
3,a7ff24r_89f2b5ee0732b53d,"SafeDiv(premium_close_bps,Abs(trade_return_1h))",basis_premium_like|price_like,safe_div_abs,skel_d9d4f69744bac825,L5_vol_adjusted_return,1,A7FF25R3S03_NUMERIC_CLUE,watchlist_robustness_thin,0.4742894683489137,0.0383703474479595,1.4929035916489002,0.0474300892844428,54.955799816093936,0.9638962702288616,0.6714579756667732
