candidate_id,group,top_symbol_abs_contribution_share,top3_symbol_abs_contribution_share,top_abs_symbol,top_positive_symbol,top_negative_symbol,total_abs_contribution,total_abs_exposure
a7al2k_01759e5da72c472c,pre_may_oos,0.03133760342886021,0.07463380181050172,DASHUSDT,DASHUSDT,GTCUSDT,84.1553949299653,23135.9999999995
a7al2k_01759e5da72c472c,known_may2026_stress,0.07196771540365572,0.15068299947921693,RIFUSDT,RIFUSDT,WLDUSDT,9.01416086798535,1152.0000000000052
a7al2k_01759e5da72c472c,audit_all,0.0303691153226809,0.07393477380769171,DASHUSDT,DASHUSDT,GTCUSDT,86.83915763409726,24287.999999999476
a7al2k_0cf817ef95787b3d,pre_may_oos,0.02693327982728937,0.07162243240060197,DASHUSDT,DASHUSDT,SSVUSDT,105.32902588219554,23135.999999999563
a7al2k_0cf817ef95787b3d,known_may2026_stress,0.08207548807337103,0.18490907332794593,GTCUSDT,GTCUSDT,WLDUSDT,9.397375554175138,1152.0000000000032
a7al2k_0cf817ef95787b3d,audit_all,0.02652234682207653,0.071031792054416,DASHUSDT,DASHUSDT,SSVUSDT,106.96097698487412,24287.999999999563
a7al2k_134ec76b5d7444f9,pre_may_oos,0.04181998438413881,0.11253247930210963,MEMEUSDT,MEMEUSDT,ILVUSDT,88.4889563090309,23135.999999996748
a7al2k_134ec76b5d7444f9,known_may2026_stress,0.12484506357244561,0.21860368459047858,ZECUSDT,ZECUSDT,COMPUSDT,6.615992506057815,1152.0000000000084
a7al2k_134ec76b5d7444f9,audit_all,0.04151278513116031,0.11012670354104312,MEMEUSDT,MEMEUSDT,ILVUSDT,92.18290481258697,24287.999999996908
a7al2k_01298a6b5902f416,pre_may_oos,0.030444452322127103,0.08848093223582988,RSRUSDT,1000SATSUSDT,RSRUSDT,65.61437754396115,23135.99999999794
a7al2k_01298a6b5902f416,known_may2026_stress,0.06618063922364677,0.14697973312253695,NFPUSDT,NFPUSDT,ENJUSDT,9.034385305174647,1152.000000000006
a7al2k_01298a6b5902f416,audit_all,0.02946905365718622,0.08593187535535837,ENJUSDT,HOTUSDT,ENJUSDT,67.49955338869289,24287.99999999797
