candidate_id,split,n_dates,mean_oriented_spread_24h,spread_tstat,positive_spread_rate,avg_top_count,avg_bottom_count
a7al2k_01759e5da72c472c,train_2024,8737,0.0016088505496325474,9.168410059769085,0.5525924230284995,18.911182328030215,18.911182328030215
a7al2k_01759e5da72c472c,validation_2025H1,4320,0.00123838128853291,5.85028827754635,0.5347222222222222,19.0,19.0
a7al2k_01759e5da72c472c,test_2025H2,4392,0.0030394639666952456,12.6475356800314,0.569216757741348,18.967668488160292,18.967668488160292
a7al2k_01759e5da72c472c,recent_oos_2026JanApr,2856,0.0019558814382863708,6.95184751179483,0.5490196078431373,19.0,19.0
a7al2k_01759e5da72c472c,known_may2026_stress,576,0.0033867774896891353,5.575781679657115,0.546875,19.0,19.0
a7al2k_0cf817ef95787b3d,train_2024,8737,0.0008341661627948369,4.623228224264928,0.5385143641982374,18.911182328030215,18.911182328030215
a7al2k_0cf817ef95787b3d,validation_2025H1,4320,0.0020818026660040095,9.44863996242077,0.5615740740740741,19.0,19.0
a7al2k_0cf817ef95787b3d,test_2025H2,4392,0.004496463641794852,18.169216343692682,0.6322859744990893,18.71630236794171,18.71630236794171
a7al2k_0cf817ef95787b3d,recent_oos_2026JanApr,2856,0.0037906611248732097,11.503773507154992,0.5952380952380952,18.807072829131652,18.807072829131652
a7al2k_0cf817ef95787b3d,known_may2026_stress,576,0.0064868497461751,12.082275510317139,0.7152777777777778,19.0,19.0
a7al2k_134ec76b5d7444f9,train_2024,8664,-0.001938495984043189,-8.282713782852268,0.5099261311172668,18.8134810710988,18.8134810710988
a7al2k_134ec76b5d7444f9,validation_2025H1,4320,0.0021405332764039176,8.865094111888952,0.5381944444444444,18.81111111111111,18.81111111111111
a7al2k_134ec76b5d7444f9,test_2025H2,4392,0.004184913719132667,19.399689736911053,0.6154371584699454,19.0,19.0
a7al2k_134ec76b5d7444f9,recent_oos_2026JanApr,2856,0.002183417548284136,7.573517056138063,0.5703781512605042,19.0,19.0
a7al2k_134ec76b5d7444f9,known_may2026_stress,576,0.003853356581920885,9.118545715113362,0.734375,19.0,19.0
a7al2k_01298a6b5902f416,train_2024,8569,-0.00010582237909306985,-0.5233525871394507,0.5142957171198507,18.909441008285683,18.909441008285683
a7al2k_01298a6b5902f416,validation_2025H1,4320,0.0008302323846803897,3.975818480330435,0.530787037037037,19.0,19.0
a7al2k_01298a6b5902f416,test_2025H2,4392,0.001743216305030764,9.657161367538752,0.5698998178506375,19.0,19.0
a7al2k_01298a6b5902f416,recent_oos_2026JanApr,2856,0.0015932228720284688,6.488635801789145,0.532563025210084,19.0,19.0
a7al2k_01298a6b5902f416,known_may2026_stress,576,0.0017121643358003165,5.023681909655733,0.6059027777777778,19.0,19.0
