candidate_id,tail,rank,timestamp,split,oriented_spread_24h
a7al2k_01759e5da72c472c,worst,1,2026-01-18 07:00:00+00:00,recent_oos_2026JanApr,-0.062050460200481584
a7al2k_01759e5da72c472c,worst,2,2026-01-18 08:00:00+00:00,recent_oos_2026JanApr,-0.05950754296655412
a7al2k_01759e5da72c472c,worst,3,2026-01-18 05:00:00+00:00,recent_oos_2026JanApr,-0.05600996642214291
a7al2k_01759e5da72c472c,worst,4,2026-01-18 06:00:00+00:00,recent_oos_2026JanApr,-0.05550491028013576
a7al2k_01759e5da72c472c,worst,5,2026-04-08 14:00:00+00:00,recent_oos_2026JanApr,-0.05536255194644079
a7al2k_01759e5da72c472c,worst,6,2025-10-11 13:00:00+00:00,test_2025H2,-0.05428333044799301
a7al2k_01759e5da72c472c,worst,7,2026-01-18 09:00:00+00:00,recent_oos_2026JanApr,-0.05351447911818089
a7al2k_01759e5da72c472c,worst,8,2026-04-08 11:00:00+00:00,recent_oos_2026JanApr,-0.05307213091622333
a7al2k_01759e5da72c472c,worst,9,2025-05-29 13:00:00+00:00,validation_2025H1,-0.052454897871892905
a7al2k_01759e5da72c472c,worst,10,2026-01-18 02:00:00+00:00,recent_oos_2026JanApr,-0.05205964578360679
a7al2k_01759e5da72c472c,best,1,2025-11-10 08:00:00+00:00,test_2025H2,0.07783260694770164
a7al2k_01759e5da72c472c,best,2,2025-07-11 06:00:00+00:00,test_2025H2,0.07651240908204672
a7al2k_01759e5da72c472c,best,3,2025-11-10 07:00:00+00:00,test_2025H2,0.07395744547229005
a7al2k_01759e5da72c472c,best,4,2025-11-10 16:00:00+00:00,test_2025H2,0.07253841140889296
a7al2k_01759e5da72c472c,best,5,2025-11-10 10:00:00+00:00,test_2025H2,0.07080189316870844
a7al2k_01759e5da72c472c,best,6,2025-08-15 16:00:00+00:00,test_2025H2,0.07046706535147859
a7al2k_01759e5da72c472c,best,7,2025-08-15 15:00:00+00:00,test_2025H2,0.06944161414103017
a7al2k_01759e5da72c472c,best,8,2025-07-11 07:00:00+00:00,test_2025H2,0.06881841940280026
a7al2k_01759e5da72c472c,best,9,2025-08-15 17:00:00+00:00,test_2025H2,0.06796276738678503
a7al2k_01759e5da72c472c,best,10,2025-11-10 17:00:00+00:00,test_2025H2,0.06773584576558819
a7al2k_0cf817ef95787b3d,worst,1,2026-04-17 10:00:00+00:00,recent_oos_2026JanApr,-0.0653590273022436
a7al2k_0cf817ef95787b3d,worst,2,2026-04-17 13:00:00+00:00,recent_oos_2026JanApr,-0.06310228504095872
a7al2k_0cf817ef95787b3d,worst,3,2026-04-17 14:00:00+00:00,recent_oos_2026JanApr,-0.06281958981062753
a7al2k_0cf817ef95787b3d,worst,4,2026-04-15 12:00:00+00:00,recent_oos_2026JanApr,-0.05954033316233781
a7al2k_0cf817ef95787b3d,worst,5,2026-04-15 01:00:00+00:00,recent_oos_2026JanApr,-0.05930549533954528
a7al2k_0cf817ef95787b3d,worst,6,2026-04-17 09:00:00+00:00,recent_oos_2026JanApr,-0.0569561017231249
a7al2k_0cf817ef95787b3d,worst,7,2026-04-17 06:00:00+00:00,recent_oos_2026JanApr,-0.055710374967995385
a7al2k_0cf817ef95787b3d,worst,8,2025-05-13 02:00:00+00:00,validation_2025H1,-0.05542096898106345
a7al2k_0cf817ef95787b3d,worst,9,2026-04-17 17:00:00+00:00,recent_oos_2026JanApr,-0.05519403747503489
