candidate_id,pre_may_top_month_abs_share,pre_may_positive_month_rate,pre_may_month_count,worst_month,best_month
a7al2k_01759e5da72c472c,0.15036271957395808,0.8125,16,2025-05,2025-08
a7al2k_0cf817ef95787b3d,0.13614684542408634,0.9375,16,2025-06,2026-02
a7al2k_134ec76b5d7444f9,0.16785828506721195,0.9375,16,2025-01,2025-11
a7al2k_01298a6b5902f416,0.13672407456064117,0.75,16,2025-05,2025-10
