candidate_id,premay_min_newey_west_tstat,premay_min_block_bootstrap_tstat,premay_min_mean_spread,decision,reasons,warnings,control_ratio_premay_max,latent_positive_premay_splits
a7al2q_0de0d41346741bd1,1.9876182381563985,2.029422324033638,0.0013845499852167,A7AL2R_LOCAL_FORENSIC_PASS,,,0.6438314312964573,3
a7al2q_100786d679e5b988,1.7578247384829966,1.774759677544056,0.001360827753421,HOLD_A7AL2R_LATENT_FRAGILE,timevarying_latent_fragile,,0.7837193150370825,2
a7al2q_132c2a7c6c4a9142,1.798985728049754,1.8451887251719048,0.0011913457209027,A7AL2R_LOCAL_FORENSIC_PASS,,control_close,0.8147654685480294,3
a7al2q_1378ff7d2322adee,1.9992369278620532,2.0436126748948045,0.0013906428607702,A7AL2R_LOCAL_FORENSIC_PASS,,,0.5977895485931952,3
a7al2q_2ec6136e6ff32eb3,1.730889496347931,1.773571597738644,0.0011999245079072,A7AL2R_LOCAL_FORENSIC_PASS,,control_close,0.9289268616254808,3
a7al2q_33d51890b0068eb6,1.7915534993384357,1.836600896739952,0.0011879355381131,HOLD_A7AL2R_CONTROL_DOMINATED,control_dominated,,1.6375358012984886,3
a7al2q_3abec814a5c6d0df,2.044333749733972,1.9855639793652264,0.0015646138420975,HOLD_A7AL2R_LATENT_FRAGILE,timevarying_latent_fragile,control_close,0.8201729427179055,2
a7al2q_5da100b2822dc1a6,2.0314528959537657,2.0713243771816363,0.0013989795265435,A7AL2R_LOCAL_FORENSIC_PASS,,,0.7821360461711647,3
a7al2q_6671d1fac5e57efe,1.844893736365074,1.880641657146016,0.0012287183664675,A7AL2R_LOCAL_FORENSIC_PASS,,control_close,0.8901761602600439,3
a7al2q_69d146749c30da3c,2.066475558645186,2.0799153881152765,0.0014483020664111,A7AL2R_LOCAL_FORENSIC_PASS,,,0.6386744001375635,3
a7al2q_a4993fe3273bf0c8,2.134120121530777,2.1702639165556823,0.0014838135079077,A7AL2R_LOCAL_FORENSIC_PASS,,control_close,0.9553990254446422,3
a7al2q_ca72f5849cff347a,1.7621027088884975,1.7866451945310646,0.0013379007859922,HOLD_A7AL2R_LATENT_FRAGILE,timevarying_latent_fragile,control_close,0.9186554799806426,2
a7al2q_d6f7ebc0dbbdda7a,1.8208163511062911,1.8551019295171591,0.0012726986952293,A7AL2R_LOCAL_FORENSIC_PASS,,control_close,0.8138625769990896,3
a7al2q_f00f22bbcc48dc2c,1.7864852424571187,1.817285691599947,0.0012416904062501,A7AL2R_LOCAL_FORENSIC_PASS,,,0.7371290356519459,3
