symbol,month,data_role,source_path,source_sha256,rows_read,performance_columns_read,return_label_read,output_path,output_sha256,missing_rows
ADAUSDT,2024-07,CHALLENGE,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=ADAUSDT\month=2024-07\part.parquet,F40F28432AAA8EA20B28BEA57AA7FA51B77A05DEA631A14587AC988D61C34493,744,False,False,G:\AlphaFactory_CryptoData\curated\mechanism_data_expansion0\native_aggtrades_core12_2024m01_m10_v1\challenge\symbol=ADAUSDT\month=2024-07\part.parquet,1F696C60124C16DE2B62F8EF8FEEAD3DF7D1F72CDA498F6A0FCFCA3EFEB3AC2B,0
ADAUSDT,2024-08,CHALLENGE,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=ADAUSDT\month=2024-08\part.parquet,774B6E3E177324538B5CDF07FDBB9B03AD6E100EF5A30C649B0D69AC5D0C0FC5,744,False,False,G:\AlphaFactory_CryptoData\curated\mechanism_data_expansion0\native_aggtrades_core12_2024m01_m10_v1\challenge\symbol=ADAUSDT\month=2024-08\part.parquet,629394630FD368ED262F9EB487E677D62EAD0D3AFA1C4C112E2809C6BE61E62E,0
ADAUSDT,2024-09,CHALLENGE,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=ADAUSDT\month=2024-09\part.parquet,BC2E08B34156533CA0B490056989159A1BFAFB42D3C6567EDDCB189F54DB9EE9,720,False,False,G:\AlphaFactory_CryptoData\curated\mechanism_data_expansion0\native_aggtrades_core12_2024m01_m10_v1\challenge\symbol=ADAUSDT\month=2024-09\part.parquet,771624FCD282407518B51DC0E8C1E59F8E31347D7532A16D3CF44FF7914BCB0A,0
ADAUSDT,2024-10,CHALLENGE,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=ADAUSDT\month=2024-10\part.parquet,46484B80AA399F17C02384A4E9C014C360EA643BCDBDA14B7B16D7061C2BA27D,744,False,False,G:\AlphaFactory_CryptoData\curated\mechanism_data_expansion0\native_aggtrades_core12_2024m01_m10_v1\challenge\symbol=ADAUSDT\month=2024-10\part.parquet,9C379AB7B6C9CB7AA7A4703F0A23D2B084C04730098B87816C116F634D8A7FFE,0
AVAXUSDT,2024-07,CHALLENGE,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=AVAXUSDT\month=2024-07\part.parquet,59459DED49C851D2B9BDD0D861C49F5B5A0104E6F657ED6E56FB9DD414A627CC,744,False,False,G:\AlphaFactory_CryptoData\curated\mechanism_data_expansion0\native_aggtrades_core12_2024m01_m10_v1\challenge\symbol=AVAXUSDT\month=2024-07\part.parquet,1D667DE009EBB132F9B17E1682EC182FAFD198BFE4F5C79A76084EE718E1CA21,0
AVAXUSDT,2024-08,CHALLENGE,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=AVAXUSDT\month=2024-08\part.parquet,3E4905E3F5DDEAB43533B71D3C4C2C047FBF24D119D2E98F8FDD6A4C9677A764,744,False,False,G:\AlphaFactory_CryptoData\curated\mechanism_data_expansion0\native_aggtrades_core12_2024m01_m10_v1\challenge\symbol=AVAXUSDT\month=2024-08\part.parquet,7DFDC08D8B6B2C0F2C04E7B206224F4284591696D491ACA1FEA5C2ECE7C4A587,0
AVAXUSDT,2024-09,CHALLENGE,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=AVAXUSDT\month=2024-09\part.parquet,19B8117F3C65CEE3B72145E171E34AF80CDA6423EEF8A90067A86C37DEFD2FC9,720,False,False,G:\AlphaFactory_CryptoData\curated\mechanism_data_expansion0\native_aggtrades_core12_2024m01_m10_v1\challenge\symbol=AVAXUSDT\month=2024-09\part.parquet,1238979D6EE08FF8BF665C292E59F3BD1626E851284D97C32CB84C86722B0C11,0
AVAXUSDT,2024-10,CHALLENGE,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=AVAXUSDT\month=2024-10\part.parquet,F5A2CF59FA84428F203686E1CAC5A0D11A33E1B679360DBE995E20F42B4633C3,744,False,False,G:\AlphaFactory_CryptoData\curated\mechanism_data_expansion0\native_aggtrades_core12_2024m01_m10_v1\challenge\symbol=AVAXUSDT\month=2024-10\part.parquet,A09C630186C0F93475DEE58C999EB813DFECEC4AD9FB288C83C84BC0BE746294,0
BCHUSDT,2024-07,CHALLENGE,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=BCHUSDT\month=2024-07\part.parquet,617CF9F3A5684B4F5BCF351841ACDB1F9D31B869B1B5241E5E71E937C4D4401E,744,False,False,G:\AlphaFactory_CryptoData\curated\mechanism_data_expansion0\native_aggtrades_core12_2024m01_m10_v1\challenge\symbol=BCHUSDT\month=2024-07\part.parquet,135D24FC95707806252842804EA76B2CB693C24B31ACE0422AC389018993DD8B,0
BCHUSDT,2024-08,CHALLENGE,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=BCHUSDT\month=2024-08\part.parquet,CA5672C3749A3F316AD890FEA6E11B4EF4DC97889C90F98D86E90AB4AF14FE79,744,False,False,G:\AlphaFactory_CryptoData\curated\mechanism_data_expansion0\native_aggtrades_core12_2024m01_m10_v1\challenge\symbol=BCHUSDT\month=2024-08\part.parquet,E606FFBA0BF90FE0102B64AFDD31CE08CB7A1498F5D91B770389A15E7B013DA9,0
BCHUSDT,2024-09,CHALLENGE,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=BCHUSDT\month=2024-09\part.parquet,2AA0C72190C02F09066C052F632D554C1D2EDE4525B32F2549131E66ECDA0033,720,False,False,G:\AlphaFactory_CryptoData\curated\mechanism_data_expansion0\native_aggtrades_core12_2024m01_m10_v1\challenge\symbol=BCHUSDT\month=2024-09\part.parquet,2295AC47BCC8D55729459E7485419EEEF88D45C7FFBD71D949AE315C543307DF,0
BCHUSDT,2024-10,CHALLENGE,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=BCHUSDT\month=2024-10\part.parquet,139FE019033C6B86246414AB1E70A5B4C2B502EAF5B858673D6A0FA43A2A441B,744,False,False,G:\AlphaFactory_CryptoData\curated\mechanism_data_expansion0\native_aggtrades_core12_2024m01_m10_v1\challenge\symbol=BCHUSDT\month=2024-10\part.parquet,F52677EEC44622D88822C23DBD2573F5ED60B5A072E5AB37F20ED51D3E5A4795,0
BNBUSDT,2024-07,CHALLENGE,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=BNBUSDT\month=2024-07\part.parquet,9A2C7653DA72816346251D3198965591AC2B7BB8AB69A0FB7C85FBBAA0EFD53E,744,False,False,G:\AlphaFactory_CryptoData\curated\mechanism_data_expansion0\native_aggtrades_core12_2024m01_m10_v1\challenge\symbol=BNBUSDT\month=2024-07\part.parquet,B86911CD29333802586828588822F7282CF6B9FF62A9E8CCE0B95C55B0829849,0
BNBUSDT,2024-09,CHALLENGE,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=BNBUSDT\month=2024-09\part.parquet,9DBE960173B02387F0CC339FAADAED9D60EE4FE932C54B2070A318289E0DB8B1,720,False,False,G:\AlphaFactory_CryptoData\curated\mechanism_data_expansion0\native_aggtrades_core12_2024m01_m10_v1\challenge\symbol=BNBUSDT\month=2024-09\part.parquet,23B3276AD373154750ACA917B6CF9C5751902F2B29EBC493ED1FD2AFF1AF42F6,0
BNBUSDT,2024-10,CHALLENGE,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=BNBUSDT\month=2024-10\part.parquet,FF9963CEABA8DE749197E92A8A21039624F1C4D0CF09558288265D7EA3E93F96,744,False,False,G:\AlphaFactory_CryptoData\curated\mechanism_data_expansion0\native_aggtrades_core12_2024m01_m10_v1\challenge\symbol=BNBUSDT\month=2024-10\part.parquet,3D7321E3D37868D8BD0ED69923E4C2E35DC3EF1360F7EFFBB66F2DE9F5B6B5F1,0
BTCUSDT,2024-07,CHALLENGE,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=BTCUSDT\month=2024-07\part.parquet,D1CFB5A8A21F6AACA8E79D671AE1D9AEAF73E5CE3192D49DF13A0CA5A42EFA82,744,False,False,G:\AlphaFactory_CryptoData\curated\mechanism_data_expansion0\native_aggtrades_core12_2024m01_m10_v1\challenge\symbol=BTCUSDT\month=2024-07\part.parquet,22519A5759A51F9F7D48729A94C6CBCA923C8EDD5E98E9326B206F9BDB95A84E,0
BTCUSDT,2024-08,CHALLENGE,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=BTCUSDT\month=2024-08\part.parquet,DC89A133469D94BA95D1B88696C877A6EA966C512A72954AD578F666EBDD8AF6,744,False,False,G:\AlphaFactory_CryptoData\curated\mechanism_data_expansion0\native_aggtrades_core12_2024m01_m10_v1\challenge\symbol=BTCUSDT\month=2024-08\part.parquet,F2A6FAA44890D04F2A052EDF00534C0770683BF6635746CD4ACF00515FE11FF1,0
