symbol,month,data_role,status,source_path,source_exists,source_sha256,raw_sha256,official_checksum,source_url,source_manifest,interpolated
BCHUSDT,2024-10,CHALLENGE,QUALIFIED,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=BCHUSDT\month=2024-10\part.parquet,True,139FE019033C6B86246414AB1E70A5B4C2B502EAF5B858673D6A0FA43A2A441B,296E8A18011474186939E1564F8D5DB212AE31F23FEF163207638147CAC2A8DE,296E8A18011474186939E1564F8D5DB212AE31F23FEF163207638147CAC2A8DE,https://data.binance.vision/data/futures/um/monthly/aggTrades/BCHUSDT/BCHUSDT-aggTrades-2024-10.zip,G:\AlphaFactory_CryptoData\manifests\aggtrades_robust_2024-01_2026-05_company_noproxy_resume_BCHUSDT_p1_20260523_125630.csv,False
BNBUSDT,2024-07,CHALLENGE,QUALIFIED,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=BNBUSDT\month=2024-07\part.parquet,True,9A2C7653DA72816346251D3198965591AC2B7BB8AB69A0FB7C85FBBAA0EFD53E,A90079A5FC04374A7E0515746CDF29D902A005BBAED1C65FA275AF939433A8A4,A90079A5FC04374A7E0515746CDF29D902A005BBAED1C65FA275AF939433A8A4,https://data.binance.vision/data/futures/um/monthly/aggTrades/BNBUSDT/BNBUSDT-aggTrades-2024-07.zip,G:\AlphaFactory_CryptoData\manifests\aggtrades_raw_only_2024-01_2026-05_core12_rem9_20260522.csv,False
BNBUSDT,2024-08,CHALLENGE,EXCLUDED_SOURCE_LINEAGE_OR_CHECKSUM,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=BNBUSDT\month=2024-08\part.parquet,True,5AC37EF449DC10D55FC9681DB7EE7E46B8173E68B29FD5862B94F7A65CA05198,,,,,False
BNBUSDT,2024-09,CHALLENGE,QUALIFIED,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=BNBUSDT\month=2024-09\part.parquet,True,9DBE960173B02387F0CC339FAADAED9D60EE4FE932C54B2070A318289E0DB8B1,9661F8CAEFA925C09A0E0582E1A7C959BA3BE5906165F38FE85F6A075170A81F,9661F8CAEFA925C09A0E0582E1A7C959BA3BE5906165F38FE85F6A075170A81F,https://data.binance.vision/data/futures/um/monthly/aggTrades/BNBUSDT/BNBUSDT-aggTrades-2024-09.zip,G:\AlphaFactory_CryptoData\manifests\aggtrades_raw_only_2024-01_2026-05_core12_rem9_20260522.csv,False
BNBUSDT,2024-10,CHALLENGE,QUALIFIED,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=BNBUSDT\month=2024-10\part.parquet,True,FF9963CEABA8DE749197E92A8A21039624F1C4D0CF09558288265D7EA3E93F96,5C97C15B513F918C7C2058803ECBD18D0641A77A7C95D456B7C22CCBB1A4F762,5C97C15B513F918C7C2058803ECBD18D0641A77A7C95D456B7C22CCBB1A4F762,https://data.binance.vision/data/futures/um/monthly/aggTrades/BNBUSDT/BNBUSDT-aggTrades-2024-10.zip,G:\AlphaFactory_CryptoData\manifests\aggtrades_raw_only_2024-01_2026-05_core12_rem9_20260522.csv,False
BTCUSDT,2024-07,CHALLENGE,QUALIFIED,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=BTCUSDT\month=2024-07\part.parquet,True,D1CFB5A8A21F6AACA8E79D671AE1D9AEAF73E5CE3192D49DF13A0CA5A42EFA82,D6A6528D6FB5A78DDCC0607469E9569F40AB497359B2E3BA876145A5463D68C5,D6A6528D6FB5A78DDCC0607469E9569F40AB497359B2E3BA876145A5463D68C5,https://data.binance.vision/data/futures/um/monthly/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2024-07.zip,G:\AlphaFactory_CryptoData\manifests\aggtrades_raw_latest_roundrobin_2024-06_2024-10_core3_202406_202410_20260521_company.csv,False
BTCUSDT,2024-08,CHALLENGE,QUALIFIED,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=BTCUSDT\month=2024-08\part.parquet,True,DC89A133469D94BA95D1B88696C877A6EA966C512A72954AD578F666EBDD8AF6,91C95F779E58F8AEA2735C838085DCAAAF0A9F3E162EBF9CD477B686666A93C8,91C95F779E58F8AEA2735C838085DCAAAF0A9F3E162EBF9CD477B686666A93C8,https://data.binance.vision/data/futures/um/monthly/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2024-08.zip,G:\AlphaFactory_CryptoData\manifests\aggtrades_raw_latest_roundrobin_2024-06_2024-10_core3_202406_202410_20260521_company.csv,False
BTCUSDT,2024-09,CHALLENGE,QUALIFIED,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=BTCUSDT\month=2024-09\part.parquet,True,44C7ACE398F86E21F96BED2D0DB936A1F12BC18BEAD31A91585E1EBF0235F635,3450EDCAEB8A2C7F2F70F3136CC28753245311452369DE0E990FAD390A5A9113,3450EDCAEB8A2C7F2F70F3136CC28753245311452369DE0E990FAD390A5A9113,https://data.binance.vision/data/futures/um/monthly/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2024-09.zip,G:\AlphaFactory_CryptoData\manifests\aggtrades_raw_latest_roundrobin_2024-06_2024-10_core3_202406_202410_20260521_company.csv,False
BTCUSDT,2024-10,CHALLENGE,QUALIFIED,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=BTCUSDT\month=2024-10\part.parquet,True,82AF8A9F55864EB35F974AB636CB76F748FC29634C0B23AC1959799C1D1F1B5F,F8C76EE5D4467C85A592D7EF9433EE6F7F7C4B2AF9C1B9B2538AE4795F60DAD3,F8C76EE5D4467C85A592D7EF9433EE6F7F7C4B2AF9C1B9B2538AE4795F60DAD3,https://data.binance.vision/data/futures/um/monthly/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2024-10.zip,G:\AlphaFactory_CryptoData\manifests\aggtrades_raw_latest_roundrobin_2024-06_2024-10_core3_202406_202410_20260521_company.csv,False
DOGEUSDT,2024-07,CHALLENGE,QUALIFIED,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=DOGEUSDT\month=2024-07\part.parquet,True,E357BEC57081EF026B3563B63410F749B629EEEF4B35728CD425119AC48AD767,F920AED9935AC5BB47B597DB29DD04F6A260FC8F4AAE32C0E4E612B69474025D,F920AED9935AC5BB47B597DB29DD04F6A260FC8F4AAE32C0E4E612B69474025D,https://data.binance.vision/data/futures/um/monthly/aggTrades/DOGEUSDT/DOGEUSDT-aggTrades-2024-07.zip,G:\AlphaFactory_CryptoData\manifests\aggtrades_robust_2024-01_2026-05_company_noproxy_resume_DOGEUSDT_p1_20260523_125630.csv,False
DOGEUSDT,2024-08,CHALLENGE,QUALIFIED,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=DOGEUSDT\month=2024-08\part.parquet,True,F17B3F5A5D099E71F699BBCA6157A9EAE59B77FF46D6506B18DC8F3B241E152F,84BF27D87F78FD64E448B8758B19350FD006A62BCE0BA3A419E0136F095718FE,84BF27D87F78FD64E448B8758B19350FD006A62BCE0BA3A419E0136F095718FE,https://data.binance.vision/data/futures/um/monthly/aggTrades/DOGEUSDT/DOGEUSDT-aggTrades-2024-08.zip,G:\AlphaFactory_CryptoData\manifests\aggtrades_robust_2024-01_2026-05_company_noproxy_resume_DOGEUSDT_p1_20260523_125630.csv,False
DOGEUSDT,2024-09,CHALLENGE,QUALIFIED,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=DOGEUSDT\month=2024-09\part.parquet,True,05089E6B09706098F609118192BE709989DD32E29C2CD4FBA59C6E7A0CCF9A30,C77167E29979B23B88C220EDBD153EA963F86DAC7AEAEA2299E79A3EF20AB87E,C77167E29979B23B88C220EDBD153EA963F86DAC7AEAEA2299E79A3EF20AB87E,https://data.binance.vision/data/futures/um/monthly/aggTrades/DOGEUSDT/DOGEUSDT-aggTrades-2024-09.zip,G:\AlphaFactory_CryptoData\manifests\aggtrades_robust_2024-01_2026-05_company_noproxy_resume_DOGEUSDT_p1_20260523_125630.csv,False
DOGEUSDT,2024-10,CHALLENGE,QUALIFIED,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=DOGEUSDT\month=2024-10\part.parquet,True,DC54D9E6B8C9951EAAE1D1AA9B3BFE114C897070AFA0946C13190237544F8CB1,DAAEB888F10DE9AD371A091E71CD21FEB1D1ED413BE3DF4DFC780554C46071B7,DAAEB888F10DE9AD371A091E71CD21FEB1D1ED413BE3DF4DFC780554C46071B7,https://data.binance.vision/data/futures/um/monthly/aggTrades/DOGEUSDT/DOGEUSDT-aggTrades-2024-10.zip,G:\AlphaFactory_CryptoData\manifests\aggtrades_robust_2024-01_2026-05_company_noproxy_resume_DOGEUSDT_p1_20260523_125630.csv,False
ETHUSDT,2024-07,CHALLENGE,QUALIFIED,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=ETHUSDT\month=2024-07\part.parquet,True,C6C55750D7F09FA78FE2CD1543AB0A2BE55E96B0C8DDB6D9E380CFE67F35ABBB,E84D3AD2BAB01F1327E0B97C84A1C09EBA6C2C91DD4EE0EC316A9D9172159098,E84D3AD2BAB01F1327E0B97C84A1C09EBA6C2C91DD4EE0EC316A9D9172159098,https://data.binance.vision/data/futures/um/monthly/aggTrades/ETHUSDT/ETHUSDT-aggTrades-2024-07.zip,G:\AlphaFactory_CryptoData\manifests\aggtrades_raw_latest_roundrobin_2024-06_2024-10_core3_202406_202410_20260521_company.csv,False
ETHUSDT,2024-08,CHALLENGE,QUALIFIED,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=ETHUSDT\month=2024-08\part.parquet,True,273DCDAA8C24DFED0389EBE740BC5714AC6CDDA2088A369263038396076D5994,80F7A5C7962663AC139C9EFF3344A97A7E96A2B00C9CB3F3AD9C963EFA6D0411,80F7A5C7962663AC139C9EFF3344A97A7E96A2B00C9CB3F3AD9C963EFA6D0411,https://data.binance.vision/data/futures/um/monthly/aggTrades/ETHUSDT/ETHUSDT-aggTrades-2024-08.zip,G:\AlphaFactory_CryptoData\manifests\aggtrades_raw_latest_roundrobin_2024-06_2024-10_core3_202406_202410_20260521_company.csv,False
ETHUSDT,2024-09,CHALLENGE,QUALIFIED,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=ETHUSDT\month=2024-09\part.parquet,True,BB5D4BD53EC14F330F997052D96FD782BA9CE2E542E4002D8EA6276D59B046C7,450566E1EEFE6C1B0D6C17F386FE32C8E775177F368DA8D50832BAE5052F3806,450566E1EEFE6C1B0D6C17F386FE32C8E775177F368DA8D50832BAE5052F3806,https://data.binance.vision/data/futures/um/monthly/aggTrades/ETHUSDT/ETHUSDT-aggTrades-2024-09.zip,G:\AlphaFactory_CryptoData\manifests\aggtrades_raw_latest_roundrobin_2024-06_2024-10_core3_202406_202410_20260521_company.csv,False
ETHUSDT,2024-10,CHALLENGE,QUALIFIED,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=ETHUSDT\month=2024-10\part.parquet,True,B15D9913AD4F06DB03AEBC36EE11D628BA342539F64660DB82A258F07CCA7FD2,542811AC24CD377F6249849916D6B9721B61538F4BCEFDE42F0508E3F3A66E66,542811AC24CD377F6249849916D6B9721B61538F4BCEFDE42F0508E3F3A66E66,https://data.binance.vision/data/futures/um/monthly/aggTrades/ETHUSDT/ETHUSDT-aggTrades-2024-10.zip,G:\AlphaFactory_CryptoData\manifests\aggtrades_raw_latest_roundrobin_2024-06_2024-10_core3_202406_202410_20260521_company.csv,False
LINKUSDT,2024-07,CHALLENGE,QUALIFIED,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=LINKUSDT\month=2024-07\part.parquet,True,B97B1B3C033C8EBF0798A19B050913AC1A42ACBBC8B00E3F51FBFA33BECA6AA3,209684F3407B2562592754A7432BE3D7F172752FF80967F828CF20F812E220C5,209684F3407B2562592754A7432BE3D7F172752FF80967F828CF20F812E220C5,https://data.binance.vision/data/futures/um/monthly/aggTrades/LINKUSDT/LINKUSDT-aggTrades-2024-07.zip,G:\AlphaFactory_CryptoData\manifests\aggtrades_raw_only_2024-01_2026-05_core12_rem9_20260522.csv,False
LINKUSDT,2024-08,CHALLENGE,QUALIFIED,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=LINKUSDT\month=2024-08\part.parquet,True,033DD76AFA14C30F92CC72739FDA229F77343487FFEE18119FF397A2B9A3DC64,A1936775927F76FE9983BA1C5B63CB252BCB98147AE51BD1F7055D65EE14FC1A,A1936775927F76FE9983BA1C5B63CB252BCB98147AE51BD1F7055D65EE14FC1A,https://data.binance.vision/data/futures/um/monthly/aggTrades/LINKUSDT/LINKUSDT-aggTrades-2024-08.zip,G:\AlphaFactory_CryptoData\manifests\aggtrades_raw_only_2024-01_2026-05_core12_rem9_20260522.csv,False
LINKUSDT,2024-09,CHALLENGE,QUALIFIED,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=LINKUSDT\month=2024-09\part.parquet,True,C95075DB426B342F4855674DCDEF3876D357D99B76560E74775EF9903DAD464F,26F43F359A4EB245DF9D1649F23A653768B4E3A2A3A44B38687384FF7669E478,26F43F359A4EB245DF9D1649F23A653768B4E3A2A3A44B38687384FF7669E478,https://data.binance.vision/data/futures/um/monthly/aggTrades/LINKUSDT/LINKUSDT-aggTrades-2024-09.zip,G:\AlphaFactory_CryptoData\manifests\aggtrades_raw_only_2024-01_2026-05_core12_rem9_20260522.csv,False
LINKUSDT,2024-10,CHALLENGE,QUALIFIED,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=LINKUSDT\month=2024-10\part.parquet,True,7D2DAC049FAB7A5EA868E810C673A9E8DABE216C4D4938AEBD584F47B5B2F3A1,7201F33B0860640ECA991844DD7B4A35F68AC790A92B3F7099F4688445CD7B8C,7201F33B0860640ECA991844DD7B4A35F68AC790A92B3F7099F4688445CD7B8C,https://data.binance.vision/data/futures/um/monthly/aggTrades/LINKUSDT/LINKUSDT-aggTrades-2024-10.zip,G:\AlphaFactory_CryptoData\manifests\aggtrades_raw_only_2024-01_2026-05_core12_rem9_20260522.csv,False
LTCUSDT,2024-07,CHALLENGE,QUALIFIED,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=LTCUSDT\month=2024-07\part.parquet,True,EFD0A1D3CDE2FBE153BABD174E2C9D25B591E0E0F2F1E95EDC91081C90A2D890,89ED575C3AA3875E4437A112D60749338704871312628A3318E3EF1D1DB7B776,89ED575C3AA3875E4437A112D60749338704871312628A3318E3EF1D1DB7B776,https://data.binance.vision/data/futures/um/monthly/aggTrades/LTCUSDT/LTCUSDT-aggTrades-2024-07.zip,G:\AlphaFactory_CryptoData\manifests\aggtrades_robust_2024-01_2026-05_company_noproxy_resume_LTCUSDT_p1_20260523_125630.csv,False
LTCUSDT,2024-08,CHALLENGE,QUALIFIED,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=LTCUSDT\month=2024-08\part.parquet,True,A18B7D37FD25A5443E1C5FBCB3C4B8C5124567823BAE2CCC205248B34E4792C9,A15DA9112BF0605510939F1B3FF466EF6524DE3F762E0497982ED5A1A8F5C26A,A15DA9112BF0605510939F1B3FF466EF6524DE3F762E0497982ED5A1A8F5C26A,https://data.binance.vision/data/futures/um/monthly/aggTrades/LTCUSDT/LTCUSDT-aggTrades-2024-08.zip,G:\AlphaFactory_CryptoData\manifests\aggtrades_robust_2024-01_2026-05_company_noproxy_resume_LTCUSDT_p1_20260523_125630.csv,False
LTCUSDT,2024-09,CHALLENGE,QUALIFIED,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=LTCUSDT\month=2024-09\part.parquet,True,861199782FB21430A48E221ED768DCA7C9B53934F2EC39E8F527CF0F0E3C8F74,2443606A29AF8CFF974929AF38C3C9325F28BBA809C33DAA10193A0D55ADE293,2443606A29AF8CFF974929AF38C3C9325F28BBA809C33DAA10193A0D55ADE293,https://data.binance.vision/data/futures/um/monthly/aggTrades/LTCUSDT/LTCUSDT-aggTrades-2024-09.zip,G:\AlphaFactory_CryptoData\manifests\aggtrades_robust_2024-01_2026-05_company_noproxy_resume_LTCUSDT_p1_20260523_125630.csv,False
LTCUSDT,2024-10,CHALLENGE,QUALIFIED,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1\symbol=LTCUSDT\month=2024-10\part.parquet,True,803C190730505A4920C26E80CCE6716347EEF9209C2575C99F1A3B0A6ACF2B2C,EED303FD0022944F4BB46AA4BB55B9F12A9E682F9D4BE3CCAFDE95C071A7FD89,EED303FD0022944F4BB46AA4BB55B9F12A9E682F9D4BE3CCAFDE95C071A7FD89,https://data.binance.vision/data/futures/um/monthly/aggTrades/LTCUSDT/LTCUSDT-aggTrades-2024-10.zip,G:\AlphaFactory_CryptoData\manifests\aggtrades_robust_2024-01_2026-05_company_noproxy_resume_LTCUSDT_p1_20260523_125630.csv,False
