replay_candidate_id,family_id,split,primary_rows,median_net_spread,min_net_spread,positive_rows,median_control_ratio,max_control_ratio,control_clean_rows,median_turnover,median_tstat,split_objective_pass
a7ffcore33_000,F1b_taker_flow_market_panel,recent_2026JanApr,4,-0.0060607382391719,-0.0171454477694541,0,6.004730161077236,16.5378245115741,2,0.18840656607364475,-6.6345510442573445,False
a7ffcore33_000,F1b_taker_flow_market_panel,test_2025H2,4,-0.00600109068451695,-0.0122130331538813,0,30.80304041198687,106.68174466324508,2,0.1649519442073759,-4.9978045863922675,False
a7ffcore33_000,F1b_taker_flow_market_panel,train_2024,4,0.00043613199750147365,-1.130691228252188e-05,3,5.820828078794252,13.360393698258306,2,0.1488605508867897,4.154709350005239,False
a7ffcore33_000,F1b_taker_flow_market_panel,validation_2025H1,4,-0.00361258020289265,-0.0107565366898135,0,4.892338185720823,11.04010194241608,2,0.1698756742979359,-4.786889494701082,False
a7ffcore33_001,F1b_taker_flow_market_panel,recent_2026JanApr,4,-0.03885824644860445,-0.1338969582399343,1,0.13893135137053905,9.172729460874232,3,0.08967598694727544,-1.213826166789266,False
a7ffcore33_001,F1b_taker_flow_market_panel,test_2025H2,4,0.08914109309621406,0.0050055866660301,4,0.5444024222060104,1.0619322840733156,3,0.08000284292959056,4.270429247903063,True
a7ffcore33_001,F1b_taker_flow_market_panel,train_2024,4,0.0020034376125892556,-5.956459245359095e-05,2,1.5230407568826108,25.761631016955555,2,0.17701359964189306,1.9576580764034976,False
a7ffcore33_001,F1b_taker_flow_market_panel,validation_2025H1,4,-0.04026181310145055,-0.0836858414459311,0,0.41491621902127346,1.4296307156851795,3,0.1176868257251515,-2.4635149507424448,False
a7ffcore33_002,F2a_basis_funding_independent,recent_2026JanApr,4,-0.04496565542725785,-0.1502781156092082,1,0.14362435702539544,5.1323329257139445,3,0.08950959768065585,-1.5386441225281033,False
a7ffcore33_002,F2a_basis_funding_independent,test_2025H2,4,0.08493652513000795,0.0049007936313561,4,0.54996134165717,1.0718547549634423,3,0.07954932797109104,4.130073749386519,True
a7ffcore33_002,F2a_basis_funding_independent,train_2024,4,0.002165286239495959,-4.966831839193184e-05,2,3.0401011972640632,7.853817608924434,2,0.17331931549326435,1.564936943036916,False
a7ffcore33_002,F2a_basis_funding_independent,validation_2025H1,4,-0.04289033715281875,-0.0831483895160558,0,0.3648709444129153,1.4095842308120143,3,0.11502724133736475,-2.517100813400508,False
a7ffcore33_003,F2a_basis_funding_independent,recent_2026JanApr,4,-0.00012801166923422417,-0.0011545174757513,1,8.131471782642661,30.782666909623494,2,0.28691143227503535,0.28192075381877607,False
a7ffcore33_003,F2a_basis_funding_independent,test_2025H2,4,-0.00012716732854915,-0.001805940257696,0,22.234565806969133,39.45383887628245,1,0.26052619263779564,-0.22706558586780887,False
a7ffcore33_003,F2a_basis_funding_independent,train_2024,4,-0.0014942620536970998,-0.0040951441883887,0,2.4775457037245143,4.958888519583927,2,0.2439936008726143,-4.52347981732511,False
a7ffcore33_003,F2a_basis_funding_independent,validation_2025H1,4,-0.0009941278258587,-0.0033134678216317,0,4.399650689624002,8.831442397922087,2,0.2636912802087322,-1.6764838196100351,False
a7ffcore33_004,F2a_basis_funding_independent,recent_2026JanApr,4,-0.06071990376622595,-0.1471980356178931,0,1.8715898910032838,39.17879807981514,2,0.08948115507097726,-2.0770733204540903,False
a7ffcore33_004,F2a_basis_funding_independent,test_2025H2,4,0.08106787754509094,0.00535041670588,4,0.5528974514642342,1.0489146808009893,3,0.079429422097202,4.456188396689179,True
a7ffcore33_004,F2a_basis_funding_independent,train_2024,4,-9.896358626915348e-05,-0.0019698862780753,1,1.1341461324473205,3.186467857217426,2,0.17101079641200995,-0.29897278625421037,False
a7ffcore33_004,F2a_basis_funding_independent,validation_2025H1,4,-0.040710045964667804,-0.0906255252722453,0,0.2010392235707667,1.6737601031350005,3,0.11424754434092145,-2.558696463045295,False
a7ffcore33_005,F2a_basis_funding_independent,recent_2026JanApr,4,0.006893756089943849,3.379207796008055e-05,4,0.8822185913670451,2.350816450005978,2,0.2755813495916246,9.96410076018185,True
a7ffcore33_005,F2a_basis_funding_independent,test_2025H2,4,0.0022213079083595708,-0.0001143681358881,2,2.428911159371077,12.638579608492408,2,0.2569606979573005,3.8090855381300934,False
a7ffcore33_005,F2a_basis_funding_independent,train_2024,4,0.0010780543006756495,-0.0001047139640762,2,3.1377755371527627,7.723813280595627,2,0.2518863297189551,2.929568494183947,False
a7ffcore33_005,F2a_basis_funding_independent,validation_2025H1,4,0.0008533113107641556,-9.974789021232611e-05,2,4.814368629735101,11.873693191635816,2,0.2715168917712565,2.365570405695914,False
a7ffcore33_006,F1b_taker_flow_market_panel,recent_2026JanApr,4,0.0061633808238628,4.8056037901462746e-05,4,0.9774247376306127,2.4299997041959163,2,0.22911400981238145,8.514293880409404,True
