level,family_id,root_family,primary_field,secondary_field,primary_semantic,secondary_semantic,primary_route,secondary_route,primary_transform,secondary_transform,motif,expression,semantic_pair,generation_priority,candidate_role,modifier_guard_required,skeleton_key,production_key,blueprint_id,company_shard
L2_typed_two_field_interaction,D0_basis_premium_reference,basis_premium_like|basis_premium_like,mark_index_basis_bps,mark_index_basis_bps,basis_premium_like,basis_premium_like,reference_family_only,reference_family_only,level,mean_1h,gated_sign,"Mul(mark_index_basis_bps,Sign(Mean(mark_index_basis_bps,1)))",basis_premium_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,False,skel_a2f58ee62d9e7ad2,prod_6980edc2afe6c0d8,a7ff33_255a657e3aa223b3,shard_02
L2_typed_two_field_interaction,D0_basis_premium_reference,basis_premium_like|basis_premium_like,mark_index_basis_bps,mark_index_basis_bps,basis_premium_like,basis_premium_like,reference_family_only,reference_family_only,level,mean_48h,gated_sign,"Mul(mark_index_basis_bps,Sign(Mean(mark_index_basis_bps,48)))",basis_premium_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,False,skel_a2f58ee62d9e7ad2,prod_ab29ef8ec0294515,a7ff33_83b9f3fb0d2e07a4,shard_02
L2_typed_two_field_interaction,D0_basis_premium_reference,basis_premium_like|basis_premium_like,mark_index_basis_bps,mark_index_basis_bps,basis_premium_like,basis_premium_like,reference_family_only,reference_family_only,level,sign_delta_24h,gated_sign,"Mul(mark_index_basis_bps,Sign(Sign(Delta(mark_index_basis_bps,24))))",basis_premium_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,False,skel_c80f62c274b367a9,prod_d5187913fa0f36fc,a7ff33_895e803276b25fc4,shard_02
L4_factor_candidate_probe,D0_basis_premium_reference,basis_premium_like|basis_premium_like,mark_index_basis_bps,mark_index_basis_bps,basis_premium_like,basis_premium_like,reference_family_only,reference_family_only,level,mean_2h,mean_reversion_gate,"Mul(Neg(ZScore(mark_index_basis_bps)),Sign(Mean(mark_index_basis_bps,2)))",basis_premium_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,False,skel_ac3a45a1120f7842,prod_831bbcd35341858d,a7ff33_4ca40fffa2ddfb1a,shard_02
L4_factor_candidate_probe,D0_basis_premium_reference,basis_premium_like|basis_premium_like,mark_index_basis_bps,mark_index_basis_bps,basis_premium_like,basis_premium_like,reference_family_only,reference_family_only,level,mean_72h,mean_reversion_gate,"Mul(Neg(ZScore(mark_index_basis_bps)),Sign(Mean(mark_index_basis_bps,72)))",basis_premium_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,False,skel_ac3a45a1120f7842,prod_1138b2d58b7045c6,a7ff33_3ceb65cd1e4f5cff,shard_02
L4_factor_candidate_probe,D0_basis_premium_reference,basis_premium_like|basis_premium_like,mark_index_basis_bps,premium_close_bps,basis_premium_like,basis_premium_like,reference_family_only,reference_family_only,level,delta_1h,mean_reversion_gate,"Mul(Neg(ZScore(mark_index_basis_bps)),Sign(Delta(premium_close_bps,1)))",basis_premium_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,False,skel_ac3a45a1120f7842,prod_54fb24de82346977,a7ff33_1e5a156b8a7ac18a,shard_02
L2_typed_two_field_interaction,D0_basis_premium_reference,basis_premium_like|basis_premium_like,mark_index_basis_bps,mark_index_basis_bps,basis_premium_like,basis_premium_like,reference_family_only,reference_family_only,level,mean_4h,mul,"Mul(mark_index_basis_bps,Mean(mark_index_basis_bps,4))",basis_premium_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,False,skel_f8484b844efd270f,prod_a39750b1497fd471,a7ff33_10cb5136706ac938,shard_02
L2_typed_two_field_interaction,D0_basis_premium_reference,basis_premium_like|basis_premium_like,mark_index_basis_bps,mark_index_basis_bps,basis_premium_like,basis_premium_like,reference_family_only,reference_family_only,level,mean_168h,mul,"Mul(mark_index_basis_bps,Mean(mark_index_basis_bps,168))",basis_premium_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,False,skel_f8484b844efd270f,prod_cf1c4886a7d9b977,a7ff33_46a8d9467c15c276,shard_02
L2_typed_two_field_interaction,D0_basis_premium_reference,basis_premium_like|basis_premium_like,mark_index_basis_bps,premium_close_bps,basis_premium_like,basis_premium_like,reference_family_only,reference_family_only,level,mean_2h,mul,"Mul(mark_index_basis_bps,Mean(premium_close_bps,2))",basis_premium_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,False,skel_f8484b844efd270f,prod_3bf98a5a4e52c31a,a7ff33_2aa794e7916264f1,shard_02
L2_typed_two_field_interaction,D0_basis_premium_reference,basis_premium_like|basis_premium_like,mark_index_basis_bps,mark_index_basis_bps,basis_premium_like,basis_premium_like,reference_family_only,reference_family_only,level,mean_8h,relative_shock,"Mul(Delta(mark_index_basis_bps,4),ZScore(Mean(mark_index_basis_bps,8)))",basis_premium_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,False,skel_3afee12eb6a9078f,prod_81f88a8433a26439,a7ff33_49dc5f6041d393a7,shard_02
L2_typed_two_field_interaction,D0_basis_premium_reference,basis_premium_like|basis_premium_like,mark_index_basis_bps,mark_index_basis_bps,basis_premium_like,basis_premium_like,reference_family_only,reference_family_only,level,decay_8h,relative_shock,"Mul(Delta(mark_index_basis_bps,4),ZScore(Decay(mark_index_basis_bps,8)))",basis_premium_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,False,skel_3afee12eb6a9078f,prod_014ea4bc8e9d448b,a7ff33_b6252df03a7fdbac,shard_02
L2_typed_two_field_interaction,D0_basis_premium_reference,basis_premium_like|basis_premium_like,mark_index_basis_bps,premium_close_bps,basis_premium_like,basis_premium_like,reference_family_only,reference_family_only,level,delta_4h,relative_shock,"Mul(Delta(mark_index_basis_bps,4),ZScore(Delta(premium_close_bps,4)))",basis_premium_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,False,skel_3afee12eb6a9078f,prod_f7bb50bf80cc7f47,a7ff33_e5958502101afda8,shard_02
L4_factor_candidate_probe,D0_basis_premium_reference,basis_premium_like|basis_premium_like,mark_index_basis_bps,mark_index_basis_bps,basis_premium_like,basis_premium_like,reference_family_only,reference_family_only,level,mean_12h,safe_div_clip,"Clip(SafeDiv(mark_index_basis_bps,Abs(Mean(mark_index_basis_bps,12))),-5,5)",basis_premium_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,False,skel_6badd2926fa2941d,prod_e4e1334cd01e3bef,a7ff33_3a4673f181863290,shard_02
L4_factor_candidate_probe,D0_basis_premium_reference,basis_premium_like|basis_premium_like,mark_index_basis_bps,mark_index_basis_bps,basis_premium_like,basis_premium_like,reference_family_only,reference_family_only,level,abs_zmean_72h,safe_div_clip,"Clip(SafeDiv(mark_index_basis_bps,Abs(Abs(ZScore(Mean(mark_index_basis_bps,72))))),-5,5)",basis_premium_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,False,skel_080fd3890c9a221e,prod_d021cbc6c8159a8b,a7ff33_5d96900c2729c94f,shard_02
L4_factor_candidate_probe,D0_basis_premium_reference,basis_premium_like|basis_premium_like,mark_index_basis_bps,premium_close_bps,basis_premium_like,basis_premium_like,reference_family_only,reference_family_only,level,delta_8h,safe_div_clip,"Clip(SafeDiv(mark_index_basis_bps,Abs(Delta(premium_close_bps,8))),-5,5)",basis_premium_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,False,skel_6badd2926fa2941d,prod_f7d8ffcce07b6ec9,a7ff33_878e8da21f2a621c,shard_02
L2_typed_two_field_interaction,D0_basis_premium_reference,basis_premium_like|basis_premium_like,mark_index_basis_bps,mark_index_basis_bps,basis_premium_like,basis_premium_like,reference_family_only,reference_family_only,level,mean_24h,signed_spread,"Mul(Sub(CSRank(mark_index_basis_bps),CSRank(Mean(mark_index_basis_bps,24))),Sign(Mean(mark_index_basis_bps,24)))",basis_premium_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,False,skel_ab37051588d52fcc,prod_d8d46492c1b363ac,a7ff33_861b2aa52f3e7f08,shard_02
L2_typed_two_field_interaction,D0_basis_premium_reference,basis_premium_like|basis_premium_like,mark_index_basis_bps,mark_index_basis_bps,basis_premium_like,basis_premium_like,reference_family_only,reference_family_only,level,decay_168h,signed_spread,"Mul(Sub(CSRank(mark_index_basis_bps),CSRank(Decay(mark_index_basis_bps,168))),Sign(Decay(mark_index_basis_bps,168)))",basis_premium_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,False,skel_ab37051588d52fcc,prod_510e9ee42d69892c,a7ff33_dbde9cad3b61a3b4,shard_02
L2_typed_two_field_interaction,D0_basis_premium_reference,basis_premium_like|basis_premium_like,mark_index_basis_bps,mark_index_basis_bps,basis_premium_like,basis_premium_like,reference_family_only,reference_family_only,level,mean_1h,smooth_mul,"Mean(Mul(mark_index_basis_bps,Mean(mark_index_basis_bps,1)),4)",basis_premium_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,False,skel_644ba0ee0d0e38ee,prod_426fc8ee9778cbda,a7ff33_f387e8a017441941,shard_02
L2_typed_two_field_interaction,D0_basis_premium_reference,basis_premium_like|basis_premium_like,mark_index_basis_bps,mark_index_basis_bps,basis_premium_like,basis_premium_like,reference_family_only,reference_family_only,level,mean_48h,smooth_mul,"Mean(Mul(mark_index_basis_bps,Mean(mark_index_basis_bps,48)),4)",basis_premium_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,False,skel_644ba0ee0d0e38ee,prod_8b2ee16206ffe312,a7ff33_210eb34a6635117e,shard_02
L2_typed_two_field_interaction,D0_basis_premium_reference,basis_premium_like|basis_premium_like,mark_index_basis_bps,mark_index_basis_bps,basis_premium_like,basis_premium_like,reference_family_only,reference_family_only,level,sign_delta_24h,smooth_mul,"Mean(Mul(mark_index_basis_bps,Sign(Delta(mark_index_basis_bps,24))),4)",basis_premium_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,False,skel_44a246af570899bb,prod_8f662a5aaaf74467,a7ff33_6f69378355ffcf86,shard_02
L2_typed_two_field_interaction,D0_basis_premium_reference,basis_premium_like|basis_premium_like,mark_index_basis_bps,mark_index_basis_bps,basis_premium_like,basis_premium_like,reference_family_only,reference_family_only,level,mean_2h,spread_rank,"Sub(CSRank(mark_index_basis_bps),CSRank(Mean(mark_index_basis_bps,2)))",basis_premium_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,False,skel_1a1b3fb29dff7328,prod_aed7d3f8f89d4b2a,a7ff33_8e2584dfd2f7af04,shard_02
L2_typed_two_field_interaction,D0_basis_premium_reference,basis_premium_like|basis_premium_like,mark_index_basis_bps,mark_index_basis_bps,basis_premium_like,basis_premium_like,reference_family_only,reference_family_only,level,mean_72h,spread_rank,"Sub(CSRank(mark_index_basis_bps),CSRank(Mean(mark_index_basis_bps,72)))",basis_premium_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,False,skel_1a1b3fb29dff7328,prod_a61fa99a4db8cef0,a7ff33_2bff99826ef2c95e,shard_02
L2_typed_two_field_interaction,D0_basis_premium_reference,basis_premium_like|basis_premium_like,mark_index_basis_bps,premium_close_bps,basis_premium_like,basis_premium_like,reference_family_only,reference_family_only,level,delta_1h,spread_rank,"Sub(CSRank(mark_index_basis_bps),CSRank(Delta(premium_close_bps,1)))",basis_premium_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,False,skel_1a1b3fb29dff7328,prod_dbb75d8ee9afa271,a7ff33_2fd283f0870582ec,shard_02
L2_typed_two_field_interaction,D0_basis_premium_reference,basis_premium_like|basis_premium_like,mark_index_basis_bps,mark_index_basis_bps,basis_premium_like,basis_premium_like,reference_family_only,reference_family_only,level,mean_4h,sub,"Sub(mark_index_basis_bps,Mean(mark_index_basis_bps,4))",basis_premium_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,False,skel_f8484b844efd270f,prod_f7cd4e06f2e9d01e,a7ff33_a052d643bd2d8e6c,shard_02
L2_typed_two_field_interaction,D0_basis_premium_reference,basis_premium_like|basis_premium_like,mark_index_basis_bps,mark_index_basis_bps,basis_premium_like,basis_premium_like,reference_family_only,reference_family_only,level,mean_168h,sub,"Sub(mark_index_basis_bps,Mean(mark_index_basis_bps,168))",basis_premium_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,False,skel_f8484b844efd270f,prod_b2d267ebf6c567f0,a7ff33_8338bbcb56bb60c2,shard_02
L2_typed_two_field_interaction,D0_basis_premium_reference,basis_premium_like|basis_premium_like,mark_index_basis_bps,premium_close_bps,basis_premium_like,basis_premium_like,reference_family_only,reference_family_only,level,delta_2h,sub,"Sub(mark_index_basis_bps,Delta(premium_close_bps,2))",basis_premium_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,False,skel_f8484b844efd270f,prod_ada10097e834269b,a7ff33_922430c85ff3ece8,shard_02
L4_factor_candidate_probe,D0_basis_premium_reference,basis_premium_like|basis_premium_like,mark_index_basis_bps,mark_index_basis_bps,basis_premium_like,basis_premium_like,reference_family_only,reference_family_only,level,mean_8h,zspread,"Sub(ZScore(mark_index_basis_bps),ZScore(Mean(mark_index_basis_bps,8)))",basis_premium_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,False,skel_1a1b3fb29dff7328,prod_ae42db3a1e7926f2,a7ff33_1baf9cd32a9effb8,shard_02
L4_factor_candidate_probe,D0_basis_premium_reference,basis_premium_like|basis_premium_like,mark_index_basis_bps,mark_index_basis_bps,basis_premium_like,basis_premium_like,reference_family_only,reference_family_only,level,decay_8h,zspread,"Sub(ZScore(mark_index_basis_bps),ZScore(Decay(mark_index_basis_bps,8)))",basis_premium_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,False,skel_1a1b3fb29dff7328,prod_d5c50f240758002b,a7ff33_a41d41b1a48e7534,shard_02
