checkpoint_id,cell_id,strict_count,normal_count,control_count,hypothesis_family,feature_family_set,operator_motif,temporal_horizon_class,normalization_scope,residualization_target,turnover_class,regime_fold_target,source_field_families,pre_may_pass_normal_count,pre_may_pass_normal_rate,post_may_candidate_v3_count_stress_only,post_may_candidate_v3_rate_stress_only,negative_control_research_like_count,raw_validation_fail_rate,raw_recent_fail_rate,cost20_recent_fail_rate,lag1_recent_fail_rate,residual_funding_recent_fail_rate,may_stress_veto_rate_stress_only,liquidity_volatility_share,policy_uses_may
01,C0000,24,24,0,H11_regime_conditional_non_may,P0_price_return,ResidualizeVsCore4,spread_12_vs_48,same_symbol_zscore,FundingCore,lag_stable,F7_trend_reversal,price,2,0.08333333333333333,0,0.0,0,0.75,0.75,0.7916666666666666,0.7916666666666666,0.75,1.0,0.0,False
01,C0001,24,24,0,H00_low_turnover_robust,P0_price_return,SmoothInteraction,H24,cross_symbol_rank,FundingCore,medium_turnover,F7_trend_reversal,price,4,0.16666666666666666,0,0.0,0,0.75,0.625,0.6666666666666666,0.5833333333333334,0.625,0.7916666666666666,0.0,False
01,C0002,24,24,0,H14_open_ast_cem_diversity,P14_horizon_spread,TSRankMul,H12,cross_symbol_zscore,FundingCore_and_Core4,low_turnover,F6_cross_symbol_dispersion,price;volatility,6,0.25,1,0.041666666666666664,0,0.6666666666666666,0.4583333333333333,0.5833333333333334,0.4583333333333333,0.5416666666666666,0.6666666666666666,0.0,False
01,C0003,24,24,0,H13_symbol_tier_relative,P11_volatility_basis,Rank,spread_6_vs_24,same_symbol_zscore,Core4,low_turnover,F11_cross_symbol_crowding,basis;volatility,7,0.2916666666666667,0,0.0,0,0.4166666666666667,0.4583333333333333,0.5416666666666666,0.4583333333333333,0.5416666666666666,0.9166666666666666,0.0,False
01,C0004,24,24,0,H14_open_ast_cem_diversity,P2_liquidity,TSRankMul,H72,same_symbol_rank,none,low_turnover,F2_low_liquidity,liquidity,6,0.25,0,0.0,0,0.4166666666666667,0.4166666666666667,0.4583333333333333,0.375,0.7083333333333334,0.625,0.0,False
01,C0005,24,24,0,H00_low_turnover_robust,P9_price_basis,WinsorZScore,mixed_6_24,same_symbol_rank,FundingCore,lag_stable,F6_cross_symbol_dispersion,basis;price,3,0.125,2,0.08333333333333333,0,0.5416666666666666,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.5,0.0,False
01,C0006,24,0,24,H15_placebo_null_adversarial,P2_liquidity,RollingMinRank,H72,same_symbol_rank,FundingCore_and_Core4,low_turnover,F11_cross_symbol_crowding,liquidity,0,,0,,0,,,,,,,0.0,False
01,C0007,24,24,0,H06_liquidity_structure_ex_realized_vol_mul,P7_cross_symbol_relative,SafeDivZScore,H72,cross_symbol_rank,FundingCore,lag_stable,F4_basis_dislocation,basis;price,6,0.25,2,0.08333333333333333,0,0.6666666666666666,0.25,0.375,0.2916666666666667,0.25,0.75,0.0,False
01,C0008,24,24,0,H06_liquidity_structure_ex_realized_vol_mul,P2_liquidity,RollingMinRank,H12,same_symbol_zscore,FundingCore,low_turnover,F10_volatility_compression,liquidity,7,0.2916666666666667,0,0.0,0,0.4166666666666667,0.4583333333333333,0.5416666666666666,0.5416666666666666,0.4583333333333333,0.7916666666666666,0.0,False
01,C0009,24,0,24,H15_placebo_null_adversarial,P4_taker_flow,TSRankMul,mixed_6_24,same_symbol_rank,none,low_turnover,F0_calendar_blocks,flow,0,,0,,0,,,,,,,0.0,False
01,C0010,24,0,24,H15_placebo_null_adversarial,P9_price_basis,SubRank,mixed_6_24,cross_symbol_zscore,FundingCore,low_turnover,F10_volatility_compression,basis;price,0,,0,,0,,,,,,,0.0,False
