hypothesis_family,cell_count,w2_registry_candidates,quarantined_cells,raw_weak_cells,cost_lag_redesign_cells,residual_redesign_cells,mean_pre_may_pass_rate,mean_cost20_fail_rate,mean_lag1_fail_rate,may_stress_veto_rate_stress_only,policy_uses_may
H05_volatility_structure_ex_liquidity_mul,32,10,0,5,4,1,0.2955729166666667,0.5716145833333334,0.49609375,0.7747395833333334,False
H06_liquidity_structure_ex_realized_vol_mul,28,8,0,5,3,0,0.2589285714285714,0.599702380952381,0.5119047619047619,0.8883928571428571,False
H02_cross_symbol_dispersion_reversal,25,7,0,5,2,0,0.28,0.5833333333333333,0.5049999999999999,0.73,False
H07_taker_flow_lag_stable,26,6,0,3,4,2,0.26762820512820507,0.5753205128205128,0.5192307692307693,0.6073717948717948,False
H10_range_breakout_failure,23,5,0,13,1,0,0.177536231884058,0.7192028985507248,0.6721014492753623,0.730072463768116,False
H12_horizon_ensemble_stability,23,5,0,9,3,0,0.19384057971014496,0.6521739130434783,0.5652173913043479,0.778985507246377,False
H11_regime_conditional_non_may,26,4,0,13,0,0,0.20352564102564102,0.6682692307692307,0.6185897435897437,1.0,False
H08_trade_size_microstructure_lite,22,4,0,10,2,0,0.18181818181818182,0.7291666666666667,0.6363636363636365,0.8125,False
H01_cross_symbol_relative_strength,26,3,0,8,5,1,0.16346153846153846,0.6826923076923078,0.594551282051282,0.7307692307692307,False
H00_low_turnover_robust,24,3,0,3,4,2,0.21875,0.6059027777777778,0.5572916666666666,0.640625,False
H14_open_ast_cem_diversity,18,3,0,3,3,1,0.24999999999999994,0.587962962962963,0.5115740740740741,0.7083333333333334,False
H13_symbol_tier_relative,20,2,0,6,3,1,0.17291666666666666,0.6937500000000001,0.6145833333333333,0.7458333333333333,False
H03_basis_premium_residual,29,1,0,8,5,0,0.18534482758620693,0.6681034482758621,0.5905172413793105,0.7270114942528735,False
H15_placebo_null_adversarial,24,0,2,22,0,0,,,,,False
H09_trend_reversal_horizon_mix,20,0,0,17,2,0,0.060416666666666674,0.9083333333333334,0.84375,0.80625,False
H04_basis_compression_expansion,18,0,0,12,1,0,0.08333333333333333,0.8078703703703705,0.7407407407407408,0.6689814814814814,False
