replay_contract_rank,candidate_id,family_id,primary_seed_field,source_fields,skeleton_key,production_key,motif,expression,eval_success,finite_share,nonzero_share,activity_ok,min_value,max_value,std_value,error
1,a7ab3_1bbac777d8c7cece,G0_price_return_reversal,trade_return_1h,trade_return_1h,skeleton_d4e122deedc31056,prod_6f6c6bd3b682d7ab,winsor_atom,"Winsor(Clip(ZScore(trade_return_1h),-3,3),3)",True,0.99951171875,1.0,True,-5.0,5.0,0.9527408077890388,
2,a7ab3_2f3b0f69f16a25fb,G0_price_return_reversal,trade_return_1h,trade_return_1h,skeleton_9f0d66272a0406f6,prod_f1967384d962760b,single_atom,Rank(trade_return_1h),True,0.99951171875,1.0,True,0.0104166666666666,1.0,0.2885996146942703,
3,a7ab3_3b8e498a22c42cbc,G0_price_return_reversal,trade_return_1h,trade_return_1h,skeleton_0f915c45eabbea19,prod_6f9573d1224714f3,rank_atom,Rank(ZScore(trade_return_1h)),True,0.99951171875,1.0,True,0.0104166666666666,1.0,0.2885996146942703,
4,a7ab3_711cade90871327e,G0_price_return_reversal,trade_return_1h,trade_return_1h,skeleton_05854e1690e1ce55,prod_5b3b89cbe9f72c68,winsor_atom,"Winsor(Rank(Clip(ZScore(trade_return_1h),-3,3)),3)",True,0.99951171875,1.0,True,0.0104166666666666,1.0,0.2885996053671552,
5,a7ab3_39d7d82ced61179e,G0_price_return_reversal,trade_return_1h,trade_return_1h,skeleton_3f55f7b241c017b0,prod_ba82ada35e673e0a,rank_atom,"Rank(Clip(Delta(trade_return_1h,4),-3,3))",True,0.998291015625,1.0,True,0.0104166666666666,1.0,0.2886579078216451,
6,a7ab3_568082728e6a9609,G0_price_return_reversal,trade_return_1h,trade_return_1h,skeleton_6574be5f6db7bce2,prod_63e18a82ceed5db7,rank_atom,"Rank(Sub(ZScore(Mean(trade_return_1h,4)),ZScore(trade_return_1h)))",True,0.998046875,1.0,True,0.0104166666666666,1.0,0.2886594438065665,
7,a7ab3_da906fe9c76e14a5,G0_price_return_reversal,trade_return_1h,trade_return_1h,skeleton_85fc7254db9ccb56,prod_8b3a0e02509b8a7e,single_atom,"Sub(ZScore(Delta(trade_return_1h,1)),ZScore(Delta(trade_return_1h,4)))",True,0.998046875,1.0,True,-16.946532850466376,17.858216076101655,0.9992808880570232,
8,a7ab3_0492fc2dc251a963,G0_price_return_reversal,trade_return_1h,trade_return_1h,skeleton_631f433b0ee241f4,prod_3d36a8835cdf28f4,winsor_atom,"Winsor(ZScore(Decay(Delta(trade_return_1h,1),4)),3)",True,0.99755859375,1.0,True,-5.0,5.0,0.9540623867207056,
9,a7ab3_ab7fdd25b4c75562,G0_price_return_reversal,trade_return_1h,trade_return_1h,skeleton_272214a507ab883c,prod_d3eb5c0342e9696d,zscore_self_interaction,"ZScore(Mul(ZScore(Winsor(Delta(trade_return_1h,1),3)),ZScore(Decay(Delta(trade_return_1h,1),4))))",True,0.99755859375,1.0,True,-9.649106587465903,9.695511762005689,0.9947780321927768,
10,a7ab3_dc44afc5259ccc05,G0_price_return_reversal,trade_return_1h,trade_return_1h,skeleton_007ceb90e9646fcf,prod_a95f791bfd5358fe,clip_horizon_spread,"Clip(Sub(Mul(Decay(trade_return_1h,4),ZScore(Delta(trade_return_1h,4))),ZScore(trade_return_1h)),-3,3)",True,0.99755859375,1.0,True,-5.0,5.0,0.9521289034050352,
