field_name,field_family,source_family,feature_class,transform,label_family,label_horizon_h,orientation_from_train,premay_positive_split_count,premay_all_positive,control_ratio_premay_max,one_bar_lag_recent_oriented,lag_ok,atlas_candidate,decision,train_2024_n,train_2024_mean_spread,train_2024_tstat,train_2024_nonoverlap_median_tstat,train_2024_nonoverlap_min_tstat,train_2024_positive_rate,validation_2025H1_n,validation_2025H1_mean_spread,validation_2025H1_tstat,validation_2025H1_nonoverlap_median_tstat,validation_2025H1_nonoverlap_min_tstat,validation_2025H1_positive_rate,test_2025H2_n,test_2025H2_mean_spread,test_2025H2_tstat,test_2025H2_nonoverlap_median_tstat,test_2025H2_nonoverlap_min_tstat,test_2025H2_positive_rate,recent_oos_2026JanApr_n,recent_oos_2026JanApr_mean_spread,recent_oos_2026JanApr_tstat,recent_oos_2026JanApr_nonoverlap_median_tstat,recent_oos_2026JanApr_nonoverlap_min_tstat,recent_oos_2026JanApr_positive_rate,avg_n_obs_recent,error,strict_non_basis_candidate,near_miss_non_basis,lane
open_interest_last,open_interest,metrics_positioning,raw_source,level,L0_raw_forward_return,8,-1.0,3,True,1.168155819234626,0.0002178391294178,True,False,A7FFCORE16E_NEAR_MISS_CONTROL_MARGIN,712,-0.001022783276192,-2.031542957528881,-0.6855664372404939,-0.8885363835352705,0.4606741573033708,712,-0.0010839230085559,-2.647561254976975,-0.9293276323747546,-1.240854164154911,0.4691011235955056,712,-0.0005029230908035,-1.4787443073823714,-0.4563025788070656,-0.8214987618914389,0.4382022471910112,712,-0.0002365689290999,-0.6122978721106798,-0.184077104824845,-0.4264623730424922,0.4817415730337078,94.93333333333334,,False,True,forensic_near_miss
open_interest_last,open_interest,metrics_positioning,raw_source,level,L1_cross_sectional_relative_return,8,-1.0,3,True,1.168155819234626,0.0002178391294178,True,False,A7FFCORE16E_NEAR_MISS_CONTROL_MARGIN,712,-0.001022783276192,-2.031542957528881,-0.6855664372404942,-0.8885363835352701,0.4606741573033708,712,-0.0010839230085559,-2.647561254976975,-0.9293276323747546,-1.24085416415491,0.4691011235955056,712,-0.0005029230908035,-1.4787443073823714,-0.4563025788070654,-0.8214987618914392,0.4382022471910112,712,-0.0002365689290999,-0.61229787211068,-0.1840771048248448,-0.4264623730424922,0.4817415730337078,94.93333333333334,,False,True,forensic_near_miss
open_interest_last,open_interest,metrics_positioning,raw_source,level,L3_liquidity_tier_relative_return,8,-1.0,3,True,1.3339228323775774,0.0004097646394007,True,False,HOLD_A7FFCORE16E_CONTROL_LIKE,712,-0.0011005625471541,-2.201263723306383,-0.7702786784868999,-0.9200170752920036,0.4522471910112359,712,-0.0011596474521026,-2.947085810274684,-1.0473096272078717,-1.3656063486755703,0.4620786516853932,712,-0.0004395609729629,-1.3733397757310104,-0.4259002229203368,-0.8126364088925293,0.4382022471910112,712,-0.0004318587821436,-1.2412610910211164,-0.3986549236293846,-0.6251958149263898,0.4803370786516854,94.93333333333334,,False,True,forensic_near_miss
open_interest_last,open_interest,metrics_positioning,raw_source,level,L0_raw_forward_return,24,-1.0,3,True,1.1700680854607914,0.0004644451912204,True,False,A7FFCORE16E_NEAR_MISS_CONTROL_MARGIN,696,-0.0037007763424399,-4.438886789726901,-0.8213854583071369,-1.5340272978350111,0.3864942528735632,696,-0.0033523799803358,-4.698521138030034,-0.956459383948484,-1.1156116051193032,0.4195402298850574,696,-0.0023885492843422,-4.464603146915795,-0.964232519758753,-1.4911550253681995,0.4195402298850574,696,-0.0004907816959222,-0.6635906374139575,-0.1464096344501664,-0.2678078092489669,0.4813218390804598,92.8,,False,True,forensic_near_miss
open_interest_last,open_interest,metrics_positioning,raw_source,level,L1_cross_sectional_relative_return,24,-1.0,3,True,1.1700680854607912,0.0004644451912204,True,False,A7FFCORE16E_NEAR_MISS_CONTROL_MARGIN,696,-0.0037007763424399,-4.438886789726901,-0.8213854583071367,-1.5340272978350111,0.3864942528735632,696,-0.0033523799803358,-4.698521138030034,-0.956459383948484,-1.115611605119303,0.4195402298850574,696,-0.0023885492843422,-4.464603146915795,-0.9642325197587528,-1.4911550253682002,0.4195402298850574,696,-0.0004907816959222,-0.6635906374139577,-0.1464096344501664,-0.2678078092489669,0.4813218390804598,92.8,,False,True,forensic_near_miss
open_interest_last,open_interest,metrics_positioning,raw_source,level,L3_liquidity_tier_relative_return,24,-1.0,3,True,1.1440209297310302,0.0009639332522188,True,False,A7FFCORE16E_NEAR_MISS_CONTROL_MARGIN,696,-0.0038385611093276,-4.590579032577604,-0.830176389754271,-1.5964711139340368,0.3793103448275862,696,-0.0036223104756938,-5.349204067733388,-1.0901192036448446,-1.3079716563371548,0.4109195402298851,696,-0.0021097644589189,-4.100853937767457,-0.8879824528564373,-1.3420581673519214,0.4109195402298851,696,-0.000998897357059,-1.554871340701737,-0.316643644979275,-0.5277042627283244,0.4741379310344827,92.8,,False,True,forensic_near_miss
top_long_short_position_ratio_last,positioning,metrics_positioning,raw_source,spread_short_long,L0_raw_forward_return,24,1.0,3,True,1.2877768256156965,0.0087066465612955,True,False,HOLD_A7FFCORE16E_CONTROL_LIKE,672,0.0021248039185633,3.174507984622936,0.6430979029161055,-0.1989762223178356,0.5520833333333334,696,0.0019567004787318,5.029776918010817,1.2559984654109742,-0.154215409278517,0.5833333333333334,696,0.0036154627688505,6.610986354654303,1.3496428110556065,0.7543796963760379,0.5373563218390804,696,0.008877063516635,8.796246008361619,1.756095417243802,1.2445105570910455,0.6652298850574713,92.8,,False,True,forensic_near_miss
top_long_short_position_ratio_last,positioning,metrics_positioning,raw_source,spread_short_long,L1_cross_sectional_relative_return,24,1.0,3,True,1.2877768256156965,0.0087066465612955,True,False,HOLD_A7FFCORE16E_CONTROL_LIKE,672,0.0021248039185633,3.1745079846229363,0.6430979029161055,-0.1989762223178357,0.5520833333333334,696,0.0019567004787318,5.029776918010818,1.2559984654109737,-0.1542154092785171,0.5833333333333334,696,0.0036154627688505,6.610986354654303,1.3496428110556062,0.7543796963760382,0.5373563218390804,696,0.008877063516635,8.796246008361619,1.756095417243802,1.2445105570910455,0.6652298850574713,92.8,,False,True,forensic_near_miss
trade_return_1h,price_return,derived_replay_base,derived_rolling,level,L0_raw_forward_return,1,-1.0,3,True,1.3414301496264804,0.0008342330340096,True,False,HOLD_A7FFCORE16E_CONTROL_LIKE,719,-0.0010457143100433,-3.7687502779261246,-3.7687502779261246,-3.7687502779261246,0.4130737134909596,719,-0.0002192779776704,-1.2404979935905247,-1.2404979935905247,-1.2404979935905247,0.4353268428372739,719,-0.000648506610057,-3.245652336508144,-3.245652336508144,-3.245652336508144,0.3810848400556328,719,-0.0008754738809387,-2.35321879779842,-2.35321879779842,-2.35321879779842,0.3852573018080668,95.86666666666666,,False,True,forensic_near_miss
trade_return_1h,price_return,derived_replay_base,derived_rolling,level,L1_cross_sectional_relative_return,1,-1.0,3,True,1.3414301496264804,0.0008342330340096,True,False,HOLD_A7FFCORE16E_CONTROL_LIKE,719,-0.0010457143100433,-3.768750277926125,-3.768750277926125,-3.768750277926125,0.4130737134909596,719,-0.0002192779776704,-1.2404979935905247,-1.2404979935905247,-1.2404979935905247,0.4353268428372739,719,-0.000648506610057,-3.245652336508144,-3.245652336508144,-3.245652336508144,0.3810848400556328,719,-0.0008754738809387,-2.35321879779842,-2.35321879779842,-2.35321879779842,0.3852573018080668,95.86666666666666,,False,True,forensic_near_miss
trade_return_1h,price_return,derived_replay_base,derived_rolling,level,L3_liquidity_tier_relative_return,1,-1.0,3,True,1.149176774911525,0.0007515701558717,True,False,A7FFCORE16E_NEAR_MISS_CONTROL_MARGIN,719,-0.0010692580905434,-4.335313757939852,-4.335313757939852,-4.335313757939852,0.3963838664812239,719,-0.0002317325685094,-1.382364826443538,-1.382364826443538,-1.382364826443538,0.4228094575799722,719,-0.0006878150341487,-3.727980546514898,-3.727980546514898,-3.727980546514898,0.3894297635605007,719,-0.0008264976193553,-2.324133341030744,-2.324133341030744,-2.324133341030744,0.3894297635605007,95.86666666666666,,False,True,forensic_near_miss
