feature_family,columns_expected,columns_present,missing_columns,required_columns,required_missing_columns,required_common_non_null_rate_min_symbol,required_common_non_null_rate_median_symbol,common_non_null_rate_min_symbol,common_non_null_rate_median_symbol,symbols_with_family_rate_ge_95pct,symbols_with_required_rate_ge_95pct,symbols_total,core48_first_smoke_allowed,usage_note
market_ohlcv_return,15,15,,open;high;low;close;quote_asset_volume;number_of_trades;ret_24;realized_vol_24,,0.9987105093488072,1.0,0.9987105093488072,1.0,48,48,48,True,allowed for A7AD core48 small controlled replay prep
mark_index_basis_premium,6,6,,mark_close;index_close;mark_index_ratio;mark_minus_index;premium_index,,1.0,1.0,0.0,0.0,6,48,48,True,allowed for A7AD core48 small controlled replay prep
funding_observable,4,4,,latest_known_funding_rate;funding_rate_sign;funding_rate_persistence_3,,0.999946271222867,1.0,0.5780679131742962,0.8790833870621104,11,48,48,True,allowed for A7AD core48 small controlled replay prep
binance_metrics_positioning,15,15,,open_interest;open_interest_value;global_long_short_account_ratio;top_long_short_account_ratio;top_long_short_position_ratio;taker_buy_sell_volume_ratio,,0.9515366430260047,0.9998925424457339,0.9512142703632065,0.9996238985600687,48,48,48,True,allowed for A7AD core48 small controlled replay prep
aggtrades_core_subset_only,9,9,,agg_features_available,,1.0,1.0,0.0,0.0,3,48,48,False,not allowed in first core48 replay; aggtrades coverage is core subset only
