selector,selected_count,selected_clean_family_count,top_family_share,median_control_ratio,max_control_ratio,non_l7_count,cost10_positive_count,label_count,motif_count,skeleton_count
S3_family_balanced_cost_tiered,12,3,0.5,0.3073401248234461,0.7863975569846146,12,12,1,4,0
S2_family_balanced,11,3,0.45454545454545453,0.3054136903613009,0.6215343323193879,11,7,3,4,0
S5_equal_family_topk,11,3,0.36363636363636365,0.4857965770374467,0.7382644320862845,11,6,2,4,0
S6_control_ratio_first,11,3,0.45454545454545453,0.2876283174182553,0.4262269231077091,11,5,4,4,0
S4_marginal_diversity,12,2,0.5833333333333334,0.27813492507163345,0.6215343323193879,12,7,4,4,0
S1_label_balanced,5,2,0.8,0.2823102110105529,0.4372949476000873,5,1,3,2,0
S0_current_selector_strict_subset,4,1,1.0,0.40320360118188625,0.702493190215789,4,4,1,2,4
