probe_name,exists,candidate_count,csv_rows,core48_candidate,midcap_candidate,watchlist_or_new_listing,reject_or_manual_review,recommended_additions,decision
base_candidates,True,46,46,27,10,8,1,36,PASS_PROBE_READABLE
liquid80_candidates,True,124,124,17,66,30,11,36,PASS_PROBE_READABLE
