comparison,count,symbols
overlap,16,"1000BONKUSDT,1000FLOKIUSDT,AAVEUSDT,ALGOUSDT,APTUSDT,ARBUSDT,ARUSDT,ATOMUSDT,ETCUSDT,HBARUSDT,MANAUSDT,NEARUSDT,PENDLEUSDT,SEIUSDT,UNIUSDT,WLDUSDT"
added_by_liquid80,20,"1INCHUSDT,ACEUSDT,ACHUSDT,APEUSDT,API3USDT,AXSUSDT,BANDUSDT,BATUSDT,BLURUSDT,BOMEUSDT,CELOUSDT,CHZUSDT,DASHUSDT,GMXUSDT,KNCUSDT,LRCUSDT,MAGICUSDT,MASKUSDT,YFIUSDT,ZECUSDT"
dropped_from_base_top36,20,"DOTUSDT,ENAUSDT,FILUSDT,GALAUSDT,ICPUSDT,IMXUSDT,INJUSDT,JTOUSDT,JUPUSDT,OPUSDT,ORDIUSDT,RUNEUSDT,SANDUSDT,STXUSDT,TIAUSDT,TONUSDT,TRXUSDT,VETUSDT,WIFUSDT,XLMUSDT"
