selector_rank,candidate_id,field_name,field_family,source_family,feature_class,transform,label_family,label_horizon_h,orientation_from_train,control_ratio_premay_max,control_margin,premay_positive_split_count,premay_score,one_bar_lag_recent_oriented,lag_survival_score,validation_oriented_tstat,test_oriented_tstat,recent_oriented_tstat,robust_tstat_floor,robust_tstat_score,selector_score,eligible,reject_reasons,blueprint,allowed_next_use
1,a7ab1_seed_000,trade_return_1h,price_return,derived_replay_base,derived_rolling,level,L7_ranked_future_return,1,-1.0,0.2543170677185504,0.7456829322814496,3,1.0,0.021627469744429,0.7209156581476334,5.828584491638501,9.313300191045904,10.603270120559912,5.828584491638501,1.0,0.880603864699889,True,,primitive_response::trade_return_1h::level::L7_ranked_future_return::1h::short_high,A7AB2_contract_seed_only
2,a7ab1_seed_002,trade_return_1h,price_return,derived_replay_base,derived_rolling,cs_rank,L7_ranked_future_return,1,-1.0,0.2543170677185504,0.7456829322814496,3,1.0,0.021627469744429,0.7209156581476334,5.828584491638501,9.313300191045904,10.603270120559912,5.828584491638501,1.0,0.880603864699889,True,,primitive_response::trade_return_1h::cs_rank::L7_ranked_future_return::1h::short_high,A7AB2_contract_seed_only
3,a7ab1_seed_001,trade_return_1h,price_return,derived_replay_base,derived_rolling,level,L7_ranked_future_return,4,-1.0,0.2675451847919714,0.7324548152080286,3,1.0,0.0208287237911452,0.6942907930381733,6.952524750367033,8.916281280980192,8.356521793521543,4.024514820438065,0.804902964087613,0.8427073070227836,True,,primitive_response::trade_return_1h::level::L7_ranked_future_return::4h::short_high,A7AB2_contract_seed_only
4,a7ab1_seed_006,realized_vol_168h,volatility,trade_ohlcv,derived_rolling,level,L7_ranked_future_return,1,-1.0,0.8794980260372742,0.1205019739627257,3,1.0,0.0347141734919899,1.0,2.586084465755415,4.087612149928399,4.955279609354727,2.586084465755415,0.517216893151083,0.7077080274633438,True,,primitive_response::realized_vol_168h::level::L7_ranked_future_return::1h::short_high,A7AB2_contract_seed_only
5,a7ab1_seed_007,realized_vol_168h,volatility,trade_ohlcv,derived_rolling,cs_rank,L7_ranked_future_return,1,-1.0,0.8794980260372742,0.1205019739627257,3,1.0,0.0347141734919899,1.0,2.586084465755415,4.087612149928399,4.955279609354727,2.586084465755415,0.517216893151083,0.7077080274633438,True,,primitive_response::realized_vol_168h::cs_rank::L7_ranked_future_return::1h::short_high,A7AB2_contract_seed_only
6,a7ab1_seed_004,realized_vol_24h,volatility,trade_ohlcv,derived_rolling,level,L7_ranked_future_return,1,-1.0,0.939507952084472,0.0604920479155279,3,1.0,0.0310903936794931,1.0,2.209086741167302,3.475388165170086,4.75172010738194,2.209086741167302,0.4418173482334603,0.681395614213901,True,,primitive_response::realized_vol_24h::level::L7_ranked_future_return::1h::short_high,A7AB2_contract_seed_only
7,a7ab1_seed_005,realized_vol_24h,volatility,trade_ohlcv,derived_rolling,cs_rank,L7_ranked_future_return,1,-1.0,0.939507952084472,0.0604920479155279,3,1.0,0.0310903936794931,1.0,2.209086741167302,3.475388165170086,4.75172010738194,2.209086741167302,0.4418173482334603,0.681395614213901,True,,primitive_response::realized_vol_24h::cs_rank::L7_ranked_future_return::1h::short_high,A7AB2_contract_seed_only
8,a7ab1_seed_008,premium_close_bps,basis_premium,derived_replay_base,derived_rolling,delta_24h,L7_ranked_future_return,1,-1.0,0.7914377201455718,0.2085622798544282,3,1.0,0.0157945177568786,0.5264839252292867,4.691874257964881,6.144363184530614,2.103274074055556,2.103274074055556,0.4206548148111111,0.6205355772311311,True,,primitive_response::premium_close_bps::delta_24h::L7_ranked_future_return::1h::short_high,A7AB2_contract_seed_only
9,a7ab1_seed_010,mark_index_basis_bps,basis_premium,mark_index_premium,raw_source,delta_24h,L1_cross_sectional_relative_return,1,-1.0,0.7857862638470471,0.2142137361529529,3,1.0,0.0004787305924585,0.0159576864152833,5.662058569087588,7.286762963771389,4.098221868779841,4.098221868779841,0.8196443737559681,0.5796916273846902,True,,primitive_response::mark_index_basis_bps::delta_24h::L1_cross_sectional_relative_return::1h::short_high,A7AB2_contract_seed_only
10,a7ab1_seed_009,mark_index_basis_bps,basis_premium,mark_index_premium,raw_source,delta_24h,L0_raw_forward_return,1,-1.0,0.7857862638470475,0.2142137361529524,3,1.0,0.0004787305924585,0.0159576864152833,5.662058569087587,7.286762963771391,4.098221868779841,4.098221868779841,0.8196443737559681,0.57969162738469,True,,primitive_response::mark_index_basis_bps::delta_24h::L0_raw_forward_return::1h::short_high,A7AB2_contract_seed_only
