script_path,bypass_risk,entrypoint_route,core4_status,allowed_as_generation_entrypoint,requires_gate_native_rewrite,direct_expression_hit_count,core2_reference_hit_count
scripts\crypto_a7ab2_seed_constrained_micro_generation_contract.py,low,contract_or_non_generation_reference,allowed_as_non_generation_reference,True,False,0,0
scripts\crypto_a7ab3_seed_constrained_dry_generation.py,high,quarantined_legacy_generation,blocked_until_rewritten_against_subgraph_gate,False,True,80,0
scripts\crypto_a7ag0_role_aware_generation_contract.py,low,contract_or_non_generation_reference,allowed_as_non_generation_reference,True,False,0,0
scripts\crypto_a7al2_small_formula_search_contract.py,low,contract_or_non_generation_reference,allowed_as_non_generation_reference,True,False,0,0
scripts\crypto_a7al2k_derived_generator_smoke.py,high,quarantined_legacy_generation,blocked_until_rewritten_against_subgraph_gate,False,True,87,0
scripts\crypto_a7al2p1_selector_feature_generation.py,high,quarantined_legacy_generation,blocked_until_rewritten_against_subgraph_gate,False,True,6,0
scripts\crypto_a7al2q_local_oi_price_formula_search.py,high,quarantined_legacy_generation,blocked_until_rewritten_against_subgraph_gate,False,True,37,0
scripts\crypto_a7al2x3_family_balanced_dry_generation.py,high,quarantined_legacy_generation,blocked_until_rewritten_against_subgraph_gate,False,True,56,0
scripts\crypto_a7al2z1_broader_non_oi_dry_generation.py,high,quarantined_legacy_generation,blocked_until_rewritten_against_subgraph_gate,False,True,49,0
scripts\crypto_a7al2z7_response_guided_dry_generation.py,high,quarantined_legacy_generation,blocked_until_rewritten_against_subgraph_gate,False,True,36,0
scripts\crypto_a7ar1_formula_engine_adapter_smoke.py,high,quarantined_legacy_generation,blocked_until_rewritten_against_subgraph_gate,False,True,1,0
scripts\crypto_a7ff24r_dry_generation_plan.py,high,quarantined_legacy_generation,blocked_until_rewritten_against_subgraph_gate,False,True,33,0
scripts\crypto_a7ff33_family_diversified_dry_generation.py,high,quarantined_legacy_generation,blocked_until_rewritten_against_subgraph_gate,False,True,28,0
scripts\crypto_a7ff51e_non_l5_heavy_generation.py,high,quarantined_legacy_generation,blocked_until_rewritten_against_subgraph_gate,False,True,23,0
scripts\crypto_a7ff55r2_atlas_field_family_generation_repair.py,low,contract_or_non_generation_reference,allowed_as_non_generation_reference,True,False,0,0
scripts\crypto_a7ff55r3_repaired_atlas_dry_generation.py,high,quarantined_legacy_generation,blocked_until_rewritten_against_subgraph_gate,False,True,26,0
scripts\crypto_a7ffr_derived_generation_redesign.py,low,contract_or_non_generation_reference,allowed_as_non_generation_reference,True,False,0,0
