case_id,mode,input_type,expression,subgraph_id,expected_allowed,actual_allowed,result_reason,resolved_subgraph_id,pass
allow_reusable_id_0,ordinary_alpha,subgraph_id,,sg_942719e3eaeb6b7e,True,True,approved_reusable_subgraph_id,sg_942719e3eaeb6b7e,True
allow_reusable_expr_1,ordinary_alpha,expression,trade_close,,True,True,approved_reusable_expression,sg_942719e3eaeb6b7e,True
allow_reusable_id_2,ordinary_alpha,subgraph_id,,sg_bf2a23c543a8666c,True,True,approved_reusable_subgraph_id,sg_bf2a23c543a8666c,True
allow_reusable_expr_3,ordinary_alpha,expression,trade_return_1h,,True,True,approved_reusable_expression,sg_bf2a23c543a8666c,True
allow_reusable_id_4,ordinary_alpha,subgraph_id,,sg_4291a22427e334b8,True,True,approved_reusable_subgraph_id,sg_4291a22427e334b8,True
allow_reusable_expr_5,ordinary_alpha,expression,top_long_short_account_ratio_last,,True,True,approved_reusable_expression,sg_4291a22427e334b8,True
allow_reusable_id_6,ordinary_alpha,subgraph_id,,sg_5ec44d1070bde14e,True,True,approved_reusable_subgraph_id,sg_5ec44d1070bde14e,True
allow_reusable_expr_7,ordinary_alpha,expression,global_long_short_account_ratio_last,,True,True,approved_reusable_expression,sg_5ec44d1070bde14e,True
allow_reusable_id_8,ordinary_alpha,subgraph_id,,sg_db02f17291a64217,True,True,approved_reusable_subgraph_id,sg_db02f17291a64217,True
allow_reusable_expr_9,ordinary_alpha,expression,global_long_short_account_ratio_mean,,True,True,approved_reusable_expression,sg_db02f17291a64217,True
allow_reusable_id_10,ordinary_alpha,subgraph_id,,sg_3a07ca54de0856dd,True,True,approved_reusable_subgraph_id,sg_3a07ca54de0856dd,True
allow_reusable_expr_11,ordinary_alpha,expression,trade_high,,True,True,approved_reusable_expression,sg_3a07ca54de0856dd,True
allow_reusable_id_12,ordinary_alpha,subgraph_id,,sg_5d37f1760eeff781,True,True,approved_reusable_subgraph_id,sg_5d37f1760eeff781,True
allow_reusable_expr_13,ordinary_alpha,expression,age_x_volatility,,True,True,approved_reusable_expression,sg_5d37f1760eeff781,True
allow_reusable_id_14,ordinary_alpha,subgraph_id,,sg_6652268ef12fea58,True,True,approved_reusable_subgraph_id,sg_6652268ef12fea58,True
allow_reusable_expr_15,ordinary_alpha,expression,trade_low,,True,True,approved_reusable_expression,sg_6652268ef12fea58,True
allow_reusable_id_16,ordinary_alpha,subgraph_id,,sg_567959f213f08921,True,True,approved_reusable_subgraph_id,sg_567959f213f08921,True
allow_reusable_expr_17,ordinary_alpha,expression,index_close,,True,True,approved_reusable_expression,sg_567959f213f08921,True
allow_reusable_id_18,ordinary_alpha,subgraph_id,,sg_9beb42873fa4276e,True,True,approved_reusable_subgraph_id,sg_9beb42873fa4276e,True
allow_reusable_expr_19,ordinary_alpha,expression,mark_close,,True,True,approved_reusable_expression,sg_9beb42873fa4276e,True
allow_reusable_id_20,ordinary_alpha,subgraph_id,,sg_d487d281559b3122,True,True,approved_reusable_subgraph_id,sg_d487d281559b3122,True
allow_reusable_expr_21,ordinary_alpha,expression,trade_return_24h,,True,True,approved_reusable_expression,sg_d487d281559b3122,True
allow_reusable_id_22,ordinary_alpha,subgraph_id,,sg_f47d93ffae40b208,True,True,approved_reusable_subgraph_id,sg_f47d93ffae40b208,True
allow_reusable_expr_23,ordinary_alpha,expression,mark_index_basis_bps,,True,True,approved_reusable_expression,sg_f47d93ffae40b208,True
allow_reusable_id_24,ordinary_alpha,subgraph_id,,sg_fd97299c93bc853d,True,True,approved_reusable_subgraph_id,sg_fd97299c93bc853d,True
allow_reusable_expr_25,ordinary_alpha,expression,mark_high,,True,True,approved_reusable_expression,sg_fd97299c93bc853d,True
allow_reusable_id_26,ordinary_alpha,subgraph_id,,sg_74d2f5404f501986,True,True,approved_reusable_subgraph_id,sg_74d2f5404f501986,True
allow_reusable_expr_27,ordinary_alpha,expression,top_long_short_account_ratio_mean,,True,True,approved_reusable_expression,sg_74d2f5404f501986,True
allow_reusable_id_28,ordinary_alpha,subgraph_id,,sg_3a5809605bffdb88,True,True,approved_reusable_subgraph_id,sg_3a5809605bffdb88,True
allow_reusable_expr_29,ordinary_alpha,expression,mark_low,,True,True,approved_reusable_expression,sg_3a5809605bffdb88,True
allow_reusable_id_30,ordinary_alpha,subgraph_id,,sg_7529ad0e43640347,True,True,approved_reusable_subgraph_id,sg_7529ad0e43640347,True
allow_reusable_expr_31,ordinary_alpha,expression,"CSRank(Delta(open_interest_last,8))",,True,True,approved_reusable_expression,sg_7529ad0e43640347,True
allow_reusable_id_32,ordinary_alpha,subgraph_id,,sg_90e2651186d63932,True,True,approved_reusable_subgraph_id,sg_90e2651186d63932,True
allow_reusable_expr_33,ordinary_alpha,expression,CSRank(open_interest_last),,True,True,approved_reusable_expression,sg_90e2651186d63932,True
