entrypoint_route,core4_status,scripts,generation_entrypoints_allowed,rewrite_required
quarantined_legacy_generation,blocked_until_rewritten_against_subgraph_gate,12,0,12
contract_or_non_generation_reference,allowed_as_non_generation_reference,5,5,0
