candidate_id,interval,horizon,expression,placebo,recent_oos_net_normal_5bp_annualized
crypto_a1_1h_3_price_funding_state_d00f0ac71fa4,1h,3,"Mul(Rank(ret_24),ZScore(latest_known_funding_rate))",original,0.19320696379551125
crypto_a1_1h_3_price_funding_state_d00f0ac71fa4,1h,3,"Mul(Rank(ret_24),ZScore(latest_known_funding_rate))",sign_flip,-1.0030909779155317
crypto_a1_1h_3_price_funding_state_d00f0ac71fa4,1h,3,"Mul(Rank(ret_24),ZScore(latest_known_funding_rate))",label_shuffle,-0.4636353190467264
crypto_a1_1h_3_price_funding_state_d00f0ac71fa4,1h,3,"Mul(Rank(ret_24),ZScore(latest_known_funding_rate))",time_shift,-5.115306023650171
crypto_a1_1h_3_price_funding_state_d00f0ac71fa4,1h,3,"Mul(Rank(ret_24),ZScore(latest_known_funding_rate))",symbol_shuffle,-0.5549064090002944
crypto_a1_1h_3_price_funding_state_5ef9d34d8240,1h,3,"Mul(Rank(ret_24),ZScore(funding_rate_persistence_3))",original,0.19550770880129478
crypto_a1_1h_3_price_funding_state_5ef9d34d8240,1h,3,"Mul(Rank(ret_24),ZScore(funding_rate_persistence_3))",sign_flip,-0.8778192665902395
crypto_a1_1h_3_price_funding_state_5ef9d34d8240,1h,3,"Mul(Rank(ret_24),ZScore(funding_rate_persistence_3))",label_shuffle,-0.08294231951648275
crypto_a1_1h_3_price_funding_state_5ef9d34d8240,1h,3,"Mul(Rank(ret_24),ZScore(funding_rate_persistence_3))",time_shift,-6.225395269316554
crypto_a1_1h_3_price_funding_state_5ef9d34d8240,1h,3,"Mul(Rank(ret_24),ZScore(funding_rate_persistence_3))",symbol_shuffle,-0.3357992600479042
crypto_a1_1h_3_price_funding_state_8a876a361e3a,1h,3,"Mul(Rank(ret_12),ZScore(latest_known_funding_rate))",original,0.40095250275388594
crypto_a1_1h_3_price_funding_state_8a876a361e3a,1h,3,"Mul(Rank(ret_12),ZScore(latest_known_funding_rate))",sign_flip,-1.3614347839623397
crypto_a1_1h_3_price_funding_state_8a876a361e3a,1h,3,"Mul(Rank(ret_12),ZScore(latest_known_funding_rate))",label_shuffle,-0.6005275686092683
crypto_a1_1h_3_price_funding_state_8a876a361e3a,1h,3,"Mul(Rank(ret_12),ZScore(latest_known_funding_rate))",time_shift,-3.3637755520043844
crypto_a1_1h_3_price_funding_state_8a876a361e3a,1h,3,"Mul(Rank(ret_12),ZScore(latest_known_funding_rate))",symbol_shuffle,-0.4455929079958005
crypto_a1_1h_3_price_funding_state_54ab1649533d,1h,3,"Mul(Rank(ret_12),ZScore(funding_rate_persistence_3))",original,0.16944112707959452
crypto_a1_1h_3_price_funding_state_54ab1649533d,1h,3,"Mul(Rank(ret_12),ZScore(funding_rate_persistence_3))",sign_flip,-1.0200888099383327
