signal_name,field_family,global_validation_mean_ic,global_recent_mean_ic,age_neutral_validation_mean_ic,age_neutral_recent_mean_ic,coarse_latent_validation_mean_ic,coarse_latent_recent_mean_ic,raw_latent_recent_valid_row_share,diagnostic_decision
age_x_liquidity,age_interaction,-0.01220645266527107,-0.027541629097769818,-0.025147452962667346,-0.03656122973336825,-0.010192983715476197,-0.013043883210174568,0.6358646089091546,SURVIVES_AGE_AND_COARSE_LATENT_NEUTRAL_DIAGNOSTIC
age_x_volatility,age_interaction,-0.05274908681541201,-0.07652556717444113,-0.05943850484312465,-0.07271433643277052,-0.02302200256439887,-0.02010357710529342,0.6349146498304689,SURVIVES_AGE_AND_COARSE_LATENT_NEUTRAL_DIAGNOSTIC
basis_abs,basis,-0.016946992294252033,-0.02802649644011759,-0.005428323864043386,-0.01631991137997357,0.003210858590533945,-0.0007232114726672529,0.6358646089091546,LIKELY_LATENT_STATE_BIAS
premium_abs,basis,-0.03059169066855149,-0.03527163223349543,-0.017113458963531267,-0.029420718757283876,-0.0031618876562499107,-0.0058297571011446375,0.6355781597100433,SURVIVES_AGE_AND_COARSE_LATENT_NEUTRAL_DIAGNOSTIC
funding_abs,funding,-0.04159809163915708,-0.04410633740104771,-0.021831629635551277,-0.03185936694010134,-0.004746103276273597,-0.008078445886362109,0.30040921314158775,SURVIVES_AGE_AND_COARSE_LATENT_NEUTRAL_DIAGNOSTIC
liquidity_rank,liquidity,-0.04064321192031562,-0.040512874499344834,-0.02869324551990209,-0.03834659921389118,-0.01347289718638302,-0.015033618825478596,0.6358646089091546,SURVIVES_AGE_AND_COARSE_LATENT_NEUTRAL_DIAGNOSTIC
low_liquidity,liquidity,0.04064321192031562,0.040512874499344834,0.02869324551990209,0.03834659921389118,0.01347289718638302,0.015033618825478596,0.6358646089091546,SURVIVES_AGE_AND_COARSE_LATENT_NEUTRAL_DIAGNOSTIC
oi_change_24h,positioning,-0.007216676348104309,-0.007300890292168474,-0.005764600941711743,-0.007459691678030631,-0.010641855073813586,-0.015620957622200324,0.6346778907985502,SURVIVES_AGE_AND_COARSE_LATENT_NEUTRAL_DIAGNOSTIC
oi_x_price_move,positioning,-0.010894159002895339,-0.022187137998964157,-0.008390058154045078,-0.022903733932248867,-0.005380607656786283,-0.012090484656022386,0.6346778907985502,SURVIVES_AGE_AND_COARSE_LATENT_NEUTRAL_DIAGNOSTIC
momentum_24h,price,-0.034991568677078914,-0.04535235923229574,-0.04278096787022037,-0.04876598595695168,-0.038319972323547814,-0.05118277385007552,0.6353940137963288,SURVIVES_AGE_AND_COARSE_LATENT_NEUTRAL_DIAGNOSTIC
reversal_24h,price,0.034991568677078914,0.04535235923229574,0.04278096787022037,0.04876598595695168,0.038319972323547814,0.05118277385007552,0.6353940137963288,SURVIVES_AGE_AND_COARSE_LATENT_NEUTRAL_DIAGNOSTIC
low_realized_vol,volatility,0.09237910627116702,0.08783334578604451,0.06053136610504499,0.07402983987040453,0.02357384923895844,0.02111549690410672,0.6349146498304689,SURVIVES_AGE_AND_COARSE_LATENT_NEUTRAL_DIAGNOSTIC
realized_vol,volatility,-0.09237910627116702,-0.08783334578604451,-0.06053136610504499,-0.07402983987040453,-0.02357384923895844,-0.02111549690410672,0.6349146498304689,SURVIVES_AGE_AND_COARSE_LATENT_NEUTRAL_DIAGNOSTIC
