candidate_id,arm,family,horizon,expression,expr_hash,field_list,field_family_combo,operator_combo,formula_depth,object_type
L0_cost_aware_low_turnover_0000,L0_cost_aware_low_turnover,cost_aware_low_turnover,12,"Mul(Mul(Rank(ret_6),ZScore(quote_volume_mean_12)),ZScore(ret_12))",9f21de90c9906307,quote_volume_mean_12;ret_12;ret_6,liquidity;price,Mul;Rank;ZScore,3,candidate
L0_cost_aware_low_turnover_0001,L0_cost_aware_low_turnover,cost_aware_low_turnover,12,"Mul(Rank(ret_6),ZScore(quote_volume_mean_24))",91da4a0ce76c1d4e,quote_volume_mean_24;ret_6,liquidity;price,Mul;Rank;ZScore,2,candidate
L0_cost_aware_low_turnover_0002,L0_cost_aware_low_turnover,cost_aware_low_turnover,12,"Mul(Rank(ret_6),ZScore(avg_trade_size_quote))",8068e85947357fd4,avg_trade_size_quote;ret_6,liquidity;price,Mul;Rank;ZScore,2,candidate
L0_cost_aware_low_turnover_0003,L0_cost_aware_low_turnover,cost_aware_low_turnover,12,"Mul(Mul(Rank(ret_6),ZScore(number_of_trades)),ZScore(ret_12))",b7bab48e0e3b18ac,number_of_trades;ret_12;ret_6,liquidity;price,Mul;Rank;ZScore,3,candidate
L0_cost_aware_low_turnover_0004,L0_cost_aware_low_turnover,cost_aware_low_turnover,12,"Mul(Rank(ret_12),ZScore(quote_volume_mean_12))",622fa336d36568cc,quote_volume_mean_12;ret_12,liquidity;price,Mul;Rank;ZScore,2,candidate
L0_cost_aware_low_turnover_0005,L0_cost_aware_low_turnover,cost_aware_low_turnover,12,"Mul(Rank(ret_12),ZScore(quote_volume_mean_24))",bb4792a1f03bb219,quote_volume_mean_24;ret_12,liquidity;price,Mul;Rank;ZScore,2,candidate
L0_cost_aware_low_turnover_0006,L0_cost_aware_low_turnover,cost_aware_low_turnover,12,"Mul(Mul(Rank(ret_12),ZScore(avg_trade_size_quote)),ZScore(ret_12))",c99247091595f98d,avg_trade_size_quote;ret_12,liquidity;price,Mul;Rank;ZScore,3,candidate
L0_cost_aware_low_turnover_0007,L0_cost_aware_low_turnover,cost_aware_low_turnover,12,"Mul(Rank(ret_12),ZScore(number_of_trades))",f1759ed801b336e4,number_of_trades;ret_12,liquidity;price,Mul;Rank;ZScore,2,candidate
L0_cost_aware_low_turnover_0008,L0_cost_aware_low_turnover,cost_aware_low_turnover,12,"Mul(Rank(ret_24),ZScore(quote_volume_mean_12))",72e79dfa33d517e7,quote_volume_mean_12;ret_24,liquidity;price,Mul;Rank;ZScore,2,candidate
L0_cost_aware_low_turnover_0009,L0_cost_aware_low_turnover,cost_aware_low_turnover,12,"Mul(Mul(Rank(ret_24),ZScore(quote_volume_mean_24)),ZScore(ret_12))",2bece6327ac8545e,quote_volume_mean_24;ret_12;ret_24,liquidity;price,Mul;Rank;ZScore,3,candidate
L0_cost_aware_low_turnover_0010,L0_cost_aware_low_turnover,cost_aware_low_turnover,12,"Mul(Rank(ret_24),ZScore(avg_trade_size_quote))",27c78e8cecfba5bf,avg_trade_size_quote;ret_24,liquidity;price,Mul;Rank;ZScore,2,candidate
L0_cost_aware_low_turnover_0011,L0_cost_aware_low_turnover,cost_aware_low_turnover,12,"Mul(Rank(ret_24),ZScore(number_of_trades))",4b0df0e9ed5a45ee,number_of_trades;ret_24,liquidity;price,Mul;Rank;ZScore,2,candidate
L0_cost_aware_low_turnover_0012,L0_cost_aware_low_turnover,cost_aware_low_turnover,12,"Mul(Mul(Rank(realized_vol_12),ZScore(quote_volume_mean_12)),ZScore(ret_12))",498f7ae3252486bd,quote_volume_mean_12;realized_vol_12;ret_12,liquidity;price;volatility,Mul;Rank;ZScore,3,candidate
L0_cost_aware_low_turnover_0013,L0_cost_aware_low_turnover,cost_aware_low_turnover,12,"Mul(Rank(realized_vol_12),ZScore(quote_volume_mean_24))",d036d3790cbd9c6a,quote_volume_mean_24;realized_vol_12,liquidity;volatility,Mul;Rank;ZScore,2,candidate
L0_cost_aware_low_turnover_0014,L0_cost_aware_low_turnover,cost_aware_low_turnover,12,"Mul(Rank(realized_vol_12),ZScore(avg_trade_size_quote))",fd83583f0ae4c68f,avg_trade_size_quote;realized_vol_12,liquidity;volatility,Mul;Rank;ZScore,2,candidate
L0_cost_aware_low_turnover_0015,L0_cost_aware_low_turnover,cost_aware_low_turnover,12,"Mul(Mul(Rank(realized_vol_12),ZScore(number_of_trades)),ZScore(ret_12))",5d61e84472a0416c,number_of_trades;realized_vol_12;ret_12,liquidity;price;volatility,Mul;Rank;ZScore,3,candidate
L0_cost_aware_low_turnover_0016,L0_cost_aware_low_turnover,cost_aware_low_turnover,12,"Mul(Rank(realized_vol_24),ZScore(quote_volume_mean_12))",61894238e204d985,quote_volume_mean_12;realized_vol_24,liquidity;volatility,Mul;Rank;ZScore,2,candidate
