operator,class,enabled_in_dry_candidates,status
Mul,safe_current,True,pass
Rank,safe_current,True,pass
ZScore,safe_current,True,pass
Add,extension_requires_separate_preflight,False,pass
Clip,extension_requires_separate_preflight,False,pass
Decay,extension_requires_separate_preflight,False,pass
Delta,extension_requires_separate_preflight,False,pass
Div,extension_requires_separate_preflight,False,pass
Neutralize,extension_requires_separate_preflight,False,pass
SignedPower,extension_requires_separate_preflight,False,pass
Sub,extension_requires_separate_preflight,False,pass
TSMean,extension_requires_separate_preflight,False,pass
TSRank,extension_requires_separate_preflight,False,pass
TSStd,extension_requires_separate_preflight,False,pass
PLACEBO,placebo_control_mode,True,pass
