feature,family,schema_present,split,nonnull_count,nonnull_rate,std,mean_abs,pass,reason
abs_ret_1,volatility,True,validation_2025H1,52128,1.0,0.0076014431,0.006404373,True,ok
abs_ret_1,volatility,True,recent_oos_2025H2_2026Apr,87552,1.0,0.0056984158,0.0049923819,True,ok
avg_trade_size_quote,liquidity,True,validation_2025H1,52128,1.0,1373.2759253196,1035.718069688,True,ok
avg_trade_size_quote,liquidity,True,recent_oos_2025H2_2026Apr,87552,1.0,1141.7966307681,930.8656672221,True,ok
cs_z_mark_index_ratio,cross_symbol,True,validation_2025H1,52128,1.0,1.0000095919,0.7732538007,True,ok
cs_z_mark_index_ratio,cross_symbol,True,recent_oos_2025H2_2026Apr,87552,1.0,1.0000057109,0.7115479556,True,ok
cs_z_premium_index,cross_symbol,True,validation_2025H1,52128,1.0,1.0000095919,0.7753791471,True,ok
cs_z_premium_index,cross_symbol,True,recent_oos_2025H2_2026Apr,87552,1.0,1.0000057109,0.7205900027,True,ok
cs_z_ret_12,cross_symbol,True,validation_2025H1,52128,1.0,1.0000095919,0.7835116533,True,ok
cs_z_ret_12,cross_symbol,True,recent_oos_2025H2_2026Apr,87552,1.0,1.0000057109,0.7845686022,True,ok
cs_z_ret_24,cross_symbol,True,validation_2025H1,52128,1.0,1.0000095919,0.7850561242,True,ok
cs_z_ret_24,cross_symbol,True,recent_oos_2025H2_2026Apr,87552,1.0,1.0000057109,0.7848897737,True,ok
cs_z_ret_6,cross_symbol,True,validation_2025H1,52128,1.0,1.0000095919,0.7828812774,True,ok
cs_z_ret_6,cross_symbol,True,recent_oos_2025H2_2026Apr,87552,1.0,1.0000057109,0.7823803664,True,ok
cs_z_taker_imbalance,cross_symbol,True,validation_2025H1,52128,1.0,1.0000095919,0.805600585,True,ok
cs_z_taker_imbalance,cross_symbol,True,recent_oos_2025H2_2026Apr,87552,1.0,1.0000057109,0.8024504115,True,ok
hl_range,volatility,True,validation_2025H1,52128,1.0,0.0105711065,0.0132727916,True,ok
hl_range,volatility,True,recent_oos_2025H2_2026Apr,87552,1.0,0.0104733147,0.0106855783,True,ok
mark_index_ratio,basis,True,validation_2025H1,52128,1.0,0.0002533453,0.000442217,True,ok
mark_index_ratio,basis,True,recent_oos_2025H2_2026Apr,87552,1.0,0.0003244416,0.0004517358,True,ok
mark_minus_index,basis,True,validation_2025H1,52128,1.0,11.494087042,3.4836282431,True,ok
mark_minus_index,basis,True,recent_oos_2025H2_2026Apr,87552,1.0,11.403697195,3.4608389394,True,ok
number_of_trades,liquidity,True,validation_2025H1,52128,1.0,104083.939178045,86202.7191528545,True,ok
number_of_trades,liquidity,True,recent_oos_2025H2_2026Apr,87552,1.0,125981.7588113926,83170.9012244152,True,ok
premium_index,basis,True,validation_2025H1,52128,1.0,0.0002966144,0.0004502118,True,ok
premium_index,basis,True,recent_oos_2025H2_2026Apr,87552,1.0,0.0003422336,0.000448281,True,ok
quote_volume_mean_12,liquidity,True,validation_2025H1,52128,1.0,290615602.46882355,144743863.37962317,True,ok
quote_volume_mean_12,liquidity,True,recent_oos_2025H2_2026Apr,87552,1.0,273172370.6001151,135624392.04099336,True,ok
quote_volume_mean_24,liquidity,True,validation_2025H1,52128,1.0,274428082.8296131,144743453.50427654,True,ok
quote_volume_mean_24,liquidity,True,recent_oos_2025H2_2026Apr,87552,1.0,258349638.86738425,135684037.22801608,True,ok
realized_vol_12,volatility,True,validation_2025H1,52128,1.0,0.0055025094,0.0082727689,True,ok
realized_vol_12,volatility,True,recent_oos_2025H2_2026Apr,87552,1.0,0.0038033674,0.0065361437,True,ok
realized_vol_24,volatility,True,validation_2025H1,52128,1.0,0.0051045981,0.0085363513,True,ok
realized_vol_24,volatility,True,recent_oos_2025H2_2026Apr,87552,1.0,0.0034015009,0.0067694903,True,ok
realized_vol_6,volatility,True,validation_2025H1,52128,1.0,0.005978503,0.0079554033,True,ok
realized_vol_6,volatility,True,recent_oos_2025H2_2026Apr,87552,1.0,0.0042495392,0.0062239775,True,ok
ret_12,price,True,validation_2025H1,52128,1.0,0.0347614725,0.0233771549,True,ok
ret_12,price,True,recent_oos_2025H2_2026Apr,87552,1.0,0.0268492465,0.0186704021,True,ok
ret_24,price,True,validation_2025H1,52128,1.0,0.0480227918,0.0328699595,True,ok
ret_24,price,True,recent_oos_2025H2_2026Apr,87552,1.0,0.0377563712,0.0269713795,True,ok
ret_6,price,True,validation_2025H1,52128,1.0,0.0243334009,0.0158589286,True,ok
ret_6,price,True,recent_oos_2025H2_2026Apr,87552,1.0,0.0190208786,0.0127888767,True,ok
taker_imbalance,flow,True,validation_2025H1,52128,1.0,0.0913435828,0.0725008656,True,ok
taker_imbalance,flow,True,recent_oos_2025H2_2026Apr,87552,1.0,0.1033111074,0.0813988688,True,ok
