arm,generated_dry_count,unique_expr_ratio,field_family_combo_count,horizon_count,status
L0_cost_aware_low_turnover,72,1.0,3,3,pass
L1_residual_orthogonal_basis,72,1.0,10,3,pass
L2_cross_symbol_relative,72,1.0,3,3,pass
L3_regime_conditional_no_may,57,1.0,9,3,pass
L4_microstructure_lite_lag_stable,72,1.0,6,3,pass
L5_placebo_random_control,72,1.0,1,3,pass
