candidate_id,objective_family,expression,fields,operator_signature,skeleton_key,orientation_from_train,train_oriented_spread,pre_may_sign_pattern,pre_may_positive_splits,pre_may_negative_splits,pre_may_missing_splits,validation_oriented_spread,test_oriented_spread,recent_oriented_spread,validation_oriented_tstat,test_oriented_tstat,recent_oriented_tstat,validation_oriented_nonoverlap_min_tstat,test_oriented_nonoverlap_min_tstat,recent_oriented_nonoverlap_min_tstat,one_bar_recent_oriented_spread,one_bar_recent_retention,cost10_recent_proxy,max_control_ratio_premay,max_control_variant,max_control_split,may_oriented_spread,may_stress_clean,x7_decision,failure_root
a7al2x3_c6d040e141ee4a7a,F0_OI_delta_price_interaction,"Mul(Winsor(ZScore(Delta(open_interest_last,12))),Winsor(ZScore(Delta(index_close,12))))",open_interest_last|index_close,Delta|Mul|Winsor|ZScore,skeleton-0f95d494e3163e7b,-1.0,0.0001715735000876,-/-/+,1,2,0,-0.0025958644505642,-0.0055455250783425,0.0023783088437037,-3.8274935565946686,-4.254645958782987,1.7883899593759034,1.2367369913811868,1.6964349885335268,1.7643526921184638,0.0030449886064063,1.2803167319785056,0.0003783088437037,5.183606340347613,wrong_lag_future_24h,recent_oos_2026JanApr,0.0009785593551201,True,HOLD_A7AL2X7_PRE_MAY_UNSTABLE,pre_may_direction_unstable
a7al2x3_a685d04007266d3e,F0_OI_delta_price_interaction,"Mul(Sign(Delta(open_interest_last,12)),Rank(Delta(index_close,12)))",open_interest_last|index_close,Delta|Mul|Rank|Sign,skeleton-57a021ebecabcc57,1.0,0.0007448822258307,+/+/-,2,1,0,0.0004448399088294,0.0041823624188574,-0.0076972121445694,0.7536820380238257,3.094895375894375,-5.386072408327519,-1.4692697430703676,-0.4172736228134606,-2.168013503086613,-0.0079176166412927,1.0286343279337573,-0.0096972121445694,9.067724443036772,wrong_lag_future_24h,validation_2025H1,-0.0041549896089172,False,HOLD_A7AL2X7_PRE_MAY_UNSTABLE,pre_may_direction_unstable
a7al2x3_8943bb8dd3c5f640,F1_OI_basis_premium_interaction,"Add(ZScore(Delta(open_interest_last,168)),Neg(Rank(Mean(mark_index_basis_bps,168))))",open_interest_last|mark_index_basis_bps,Add|Delta|Mean|Neg|Rank|ZScore,skeleton-0f63c80be98e501f,1.0,0.0094184802720487,-/-/+,1,2,0,-0.0017929680682647,-0.0051594825259071,0.0008110386425895,-2.1830032329829083,-3.848445058151325,0.5595692510952426,-1.0561725498377967,-1.570522686981746,-0.1300139453182743,0.0010041375958501,1.2380884746059322,-0.0011889613574104,12.996863090274864,wrong_lag_future_24h,recent_oos_2026JanApr,0.0014441725980906,True,HOLD_A7AL2X7_PRE_MAY_UNSTABLE,pre_may_direction_unstable
a7al2x3_8133b78c17250336,F1_OI_basis_premium_interaction,"Mul(Clip(ZScore(Mean(mark_index_basis_bps,168))),Sign(Delta(open_interest_last,168)))",open_interest_last|mark_index_basis_bps,Clip|Delta|Mean|Mul|Sign|ZScore,skeleton-2f4edf4dd2dd7cdd,-1.0,0.0020860480496099,+/+/+,3,0,0,0.002183792175747,0.003936889090671,0.0039631748844652,2.8586023748526426,3.5761037564839007,2.835037599647975,1.283065292465192,1.4333961052160356,1.336227645587469,0.0039982657803395,1.008854238558043,0.0019631748844652,1.8248167169025424,symbol_shuffle,validation_2025H1,-0.0016281728732062,False,HOLD_A7AL2X7_CONTROL_DOMINATED,matched_control_dominated
a7al2x3_dcf6359c32accfb4,F2_OI_funding_crowding_interaction,"Mul(Clip(ZScore(Mean(funding_rate_abs_168h,168))),Sign(Delta(open_interest_last,168)))",open_interest_last|funding_rate_abs_168h,Clip|Delta|Mean|Mul|Sign|ZScore,skeleton-2f4edf4dd2dd7cdd,1.0,,NA/NA/NA,0,0,3,,,,,,,,,,,,,,,,,False,HOLD_A7AL2X7_PRE_MAY_UNSTABLE,metric_missing_or_sparse_smoke_window
a7al2x3_0bd3d497403b3991,F2_OI_funding_crowding_interaction,"Add(ZScore(Delta(open_interest_last,168)),Neg(ZScore(Mean(funding_rate_abs_168h,168))))",open_interest_last|funding_rate_abs_168h,Add|Delta|Mean|Neg|ZScore,skeleton-35edb41b49f7651a,1.0,,NA/NA/NA,0,0,3,,,,,,,,,,,,,,,,,False,HOLD_A7AL2X7_PRE_MAY_UNSTABLE,metric_missing_or_sparse_smoke_window
a7al2x3_93725c2d40077dd9,F3_positioning_divergence,"Mul(Sign(Delta(top_long_short_account_ratio_last,168)),Rank(Delta(index_close,12)))",top_long_short_account_ratio_last|index_close,Delta|Mul|Rank|Sign,skeleton-57a021ebecabcc57,-1.0,0.0011796112415254,-/-/-,0,3,0,-0.0019974635198058,-0.0023300252166357,-0.0099616286470407,-3.053653004693347,-1.6149963339324498,-7.341329299697528,2.0144795213970057,0.6109400564342341,-0.1819514057138233,-0.0099235462244428,0.996177088712375,-0.0119616286470407,4.883440495854945,wrong_lag_future_24h,validation_2025H1,-0.0025326480760616,False,HOLD_A7AL2X7_PRE_MAY_UNSTABLE,pre_may_direction_unstable
a7al2x3_afebb1f45f8929ea,F3_positioning_divergence,"Sub(Rank(Mean(top_long_short_account_ratio_last,168)),Rank(Mean(global_long_short_account_ratio_last,168)))",top_long_short_account_ratio_last|global_long_short_account_ratio_last,Mean|Rank|Sub,skeleton-612ffe194eccb811,-1.0,0.003786335514122,-/-/-,0,3,0,-0.0005377622376129,-0.0013242704940437,-0.0001874549786031,-0.9247340663840672,-1.7848424632456663,-0.1578596493895051,0.824370004882827,0.3515436194159715,0.706072306690697,-0.0001664892140801,0.8881557338234746,-0.0021874549786031,28.25331563959014,symbol_shuffle,recent_oos_2026JanApr,-0.0036056873076828,False,HOLD_A7AL2X7_PRE_MAY_UNSTABLE,pre_may_direction_unstable
a7al2x3_1fd71f89fcb97240,F4_OI_taker_flow_interaction,"Mul(Clip(ZScore(Mean(kline_taker_buy_quote_share,12))),Sign(Delta(open_interest_last,12)))",open_interest_last|kline_taker_buy_quote_share,Clip|Delta|Mean|Mul|Sign|ZScore,skeleton-2f4edf4dd2dd7cdd,-1.0,0.000760314119902,-/-/+,1,2,0,-0.0009476909550973,-0.0001539425772016,0.0006652221668891,-1.6313386344231915,-0.2062088850481677,0.613987137906937,1.7288692163126076,1.8816487899245984,2.035661788828194,0.0007673556717808,1.153532924751028,-0.0013347778331108,31.566621477477078,symbol_shuffle,test_2025H2,0.0015412424855088,True,HOLD_A7AL2X7_PRE_MAY_UNSTABLE,pre_may_direction_unstable
a7al2x3_a551e0d946a6abf3,F4_OI_taker_flow_interaction,"Sub(ZScore(Delta(open_interest_last,12)),ZScore(Mean(kline_taker_buy_quote_share,12)))",open_interest_last|kline_taker_buy_quote_share,Delta|Mean|Sub|ZScore,skeleton-30d3ba252910d42c,-1.0,0.0004600918942486,+/-/+,2,1,0,0.0007616442436607,-0.0014477901548269,0.0032310947119686,1.1901062345562194,-1.7971361808044162,2.4883680419394283,1.836629918341397,2.738972364432517,1.4422752238660013,0.0029730054384505,0.9201232719789713,0.0012310947119686,3.9959961829525676,symbol_shuffle,test_2025H2,0.0015899832861611,True,HOLD_A7AL2X7_PRE_MAY_UNSTABLE,pre_may_direction_unstable
