source_blueprint_id,blueprint_id,horizon_h,formula,nonoverlap_floor_sortino_control_one_bar_lag,nonoverlap_floor_sortino_original,nonoverlap_floor_sortino_source_lag_1h,nonoverlap_floor_sortino_source_lag_2h,nonoverlap_floor_sortino_source_lag_4h,rankic_mean_control_one_bar_lag,rankic_mean_original,rankic_mean_source_lag_1h,rankic_mean_source_lag_2h,rankic_mean_source_lag_4h,sortino_control_one_bar_lag,sortino_original,sortino_source_lag_1h,sortino_source_lag_2h,sortino_source_lag_4h,source_lag_gate,floor_retention_source_lag_1h,floor_retention_source_lag_2h,floor_retention_source_lag_4h
a7search6_8d74bccf1d25af11,a7search6_vp_a7search6_8d74bccf1d25af11_canonical,8,"SafeDiv(Decay(top_long_short_account_ratio_last,12),Abs(ZScore(Mean(quote_volume_z_168h,504))))",-0.5159849147017044,-0.1302859008642891,-0.5159849147017044,-1.076078283823448,-0.6792651772188497,0.006983530698238161,0.008652664080212487,0.006983530698238161,0.005492191432898778,0.003009830830956321,1.2117195588990002,1.6025909092099895,1.2117195588990002,0.8003576276104809,0.0009073586762113972,HOLD_SOURCE_LAG_FRAGILE,-3.9604048579222284,-8.259360964501703,-5.213650692152783
a7search6_0159a7544af64b1d,a7search6_vp_a7search6_0159a7544af64b1d_canonical,24,"Sub(CSRank(ZScore(Mean(account_position_divergence,24))),CSRank(Decay(mark_index_basis_bps,336)))",-2.4996948653174673,-2.4682578018036203,-2.4996948653174673,-2.2879278392053455,-2.4673917837865145,0.0009757682846369825,0.00087087762539259,0.0009757682846369825,0.0011605569601211897,0.0013228068877341238,-0.37918702785039965,-0.38632078557111504,-0.37918702785039965,-0.3636200878907374,-0.35266654933155783,HOLD_SOURCE_LAG_FRAGILE,-1.0127365397126975,-0.9269403858598145,-0.9996491379399376
a7search6_e7ee64f0ef980aca,a7search6_vp_a7search6_e7ee64f0ef980aca_canonical,4,"SafeDiv(TSRank(open_interest_value_last,504),Abs(Mean(top_long_short_account_ratio_last,8)))",-3.4099965666224397,0.26409655362679374,-3.4099965666224397,-3.39160011990252,-7.155900047175545,0.02474787141544554,0.033135508210110784,0.02474787141544554,0.02042426304763784,0.011450758940654353,-0.6572521739705658,1.831265034649216,-0.6572521739705658,-1.7743072307317789,-5.177800945190279,HOLD_SOURCE_LAG_FRAGILE,-12.911931336450733,-12.842273302420056,-27.09577216705318
a7search6_370b9d993902426e,a7search6_vp_a7search6_370b9d993902426e_canonical,4,"Sub(CSRank(TSRank(open_interest_value_last,504)),CSRank(Mean(taker_buy_sell_volume_ratio_last,72)))",-4.375976296057811,-2.448815786884934,-4.375976296057811,-4.056308201573941,-8.036893121730731,0.023307620676629948,0.02988807065934468,0.023307620676629948,0.018874107666649893,0.011981756591607919,-2.901429460472413,-1.4951621142748992,-2.901429460472413,-3.753424545646381,-5.9577581077677255,HOLD_SOURCE_LAG_FRAGILE,-1.786976513094258,-1.6564366430901896,-3.2819508779605777
a7search6_5a326bbdc99cd2b9,a7search6_vp_a7search6_5a326bbdc99cd2b9_canonical,4,"SafeDiv(Sub(CSRank(TSRank(open_interest_value_mean,504)),CSRank(CSRank(global_long_short_account_ratio_last))),Abs(CSRank(CSRank(global_long_short_account_ratio_last))))",-5.803631357729005,-3.377011776010132,-5.803631357729005,-4.735706402280659,-8.499456373135619,0.015989106479472416,0.0215181519132292,0.015989106479472416,0.011213602818445769,0.0024795853709870357,-2.458598704201988,-1.3398066708697287,-2.458598704201988,-3.6863320130181547,-7.981203054023773,HOLD_SOURCE_LAG_FRAGILE,-1.7185700680575868,-1.4023363601875845,-2.5168571911755504
a7search6_06c5d4a2d2ce5d98,a7search6_vp_a7search6_06c5d4a2d2ce5d98_canonical,4,"SafeDiv(ZScore(Mean(open_interest_value_mean,504)),Abs(global_long_short_account_ratio_last))",-5.290145607111964,-4.793810142153837,-5.290145607111964,-5.224508340210377,-5.985824154987918,-0.00024623352230455236,0.0004236051815495736,-0.00024623352230455236,-0.0006168587522922672,-0.0017938679187111926,-4.980540841043171,-4.739600364514645,-4.980540841043171,-5.059565104710265,-5.616447450825303,HOLD_SOURCE_LAG_FRAGILE,-1.1035367380517758,-1.0898446507652115,-1.2486569091154107
a7search6_4c8a38ddff3fb132,a7search6_vp_a7search6_4c8a38ddff3fb132_canonical,24,"SafeDiv(CSRank(Delta(open_interest_value_last,96)),Abs(Decay(account_position_divergence,48)))",-6.988789918999205,-7.371197987002916,-6.988789918999205,-7.081776896616915,-7.811385045127537,-0.005331676822652181,-0.006528923951246814,-0.005331676822652181,-0.0045317588298444,-0.0029200094447710064,-3.146341826086631,-3.670560354098074,-3.146341826086631,-2.631330333923844,-1.4447852024602288,HOLD_SOURCE_LAG_FRAGILE,-0.9481213137026054,-0.9607362207749247,-1.0597171665855087
a7search6_4c8a38ddff3fb132,a7search6_vp_a7search6_4c8a38ddff3fb132_canonical,4,"SafeDiv(CSRank(Delta(open_interest_value_last,96)),Abs(Decay(account_position_divergence,48)))",-7.120484197485424,-6.944535605547646,-7.120484197485424,-7.672978047734867,-5.054853314818152,-0.003347679562194971,-0.004280467951955941,-0.003347679562194971,-0.003057920120543024,-0.00017808125087399255,-5.80995046331507,-6.236949967430667,-5.80995046331507,-5.527319476649268,-3.799722529576407,HOLD_SOURCE_LAG_FRAGILE,-1.0253362646448556,-1.1048943347061688,-0.7278893221859327
a7search6_5a326bbdc99cd2b9,a7search6_vp_a7search6_5a326bbdc99cd2b9_canonical,8,"SafeDiv(Sub(CSRank(TSRank(open_interest_value_mean,504)),CSRank(CSRank(global_long_short_account_ratio_last))),Abs(CSRank(CSRank(global_long_short_account_ratio_last))))",-9.88493945054106,-9.154054171380496,-9.88493945054106,-11.337404519919811,-12.98159189793797,0.0039696294421276285,0.009611447979147803,0.0039696294421276285,0.0010761252048944441,-0.0048391986687402,-6.263903149900917,-4.613397411644835,-6.263903149900917,-7.348967729520296,-9.77979125928513,HOLD_SOURCE_LAG_FRAGILE,-1.0798427959324979,-1.2385118448791144,-1.418124871767091
a7search6_5be6987af4a13e67,a7search6_vp_a7search6_5be6987af4a13e67_canonical,4,"SafeDiv(Abs(CSRank(open_interest_value_change_24h)),Abs(Decay(account_position_divergence,8)))",-18.53126254050736,-16.763770476957472,-18.53126254050736,-16.658210113610807,-16.8948589040382,-0.03141119082535903,-0.027169329181324284,-0.03141119082535903,-0.027708932258977206,-0.025748934728506676,-15.472893005592082,-14.654816794371968,-15.472893005592082,-13.847834636534827,-13.555462805373757,HOLD_SOURCE_LAG_FRAGILE,-1.1054352340351703,-0.9937030655787275,-1.0078197459969351
