seed,engine_id,engine_name,readiness,generated,strict_replay_top,deep_audit_top,execution_allowed_now,reason
1,E0,current_A7L_manual_generator,executable,5000,128,16,False,protocol_only_not_authorized
1,E1,FormulaGenV2_crypto_adapter,adapter_ready,5000,128,16,False,protocol_only_not_authorized
1,E2,typed_AST_sampler_crypto_adapter,adapter_ready,5000,128,16,False,protocol_only_not_authorized
1,E3,AST_failure_aware_repair,blocked_adapter_needed,5000,128,16,False,protocol_only_not_authorized
1,E4,CEM_adaptive_grammar_crypto,blocked_adapter_needed,5000,128,16,False,protocol_only_not_authorized
1,E5,surrogate_prioritized_sampler,adapter_ready,5000,128,16,False,protocol_only_not_authorized
1,E6,placebo_random_control,executable,5000,128,16,False,protocol_only_not_authorized
1,E7,adversarial_null_wrong_lag_control,executable,5000,128,16,False,protocol_only_not_authorized
2,E0,current_A7L_manual_generator,executable,5000,128,16,False,protocol_only_not_authorized
2,E1,FormulaGenV2_crypto_adapter,adapter_ready,5000,128,16,False,protocol_only_not_authorized
2,E2,typed_AST_sampler_crypto_adapter,adapter_ready,5000,128,16,False,protocol_only_not_authorized
2,E3,AST_failure_aware_repair,blocked_adapter_needed,5000,128,16,False,protocol_only_not_authorized
2,E4,CEM_adaptive_grammar_crypto,blocked_adapter_needed,5000,128,16,False,protocol_only_not_authorized
2,E5,surrogate_prioritized_sampler,adapter_ready,5000,128,16,False,protocol_only_not_authorized
2,E6,placebo_random_control,executable,5000,128,16,False,protocol_only_not_authorized
2,E7,adversarial_null_wrong_lag_control,executable,5000,128,16,False,protocol_only_not_authorized
3,E0,current_A7L_manual_generator,executable,5000,128,16,False,protocol_only_not_authorized
3,E1,FormulaGenV2_crypto_adapter,adapter_ready,5000,128,16,False,protocol_only_not_authorized
3,E2,typed_AST_sampler_crypto_adapter,adapter_ready,5000,128,16,False,protocol_only_not_authorized
3,E3,AST_failure_aware_repair,blocked_adapter_needed,5000,128,16,False,protocol_only_not_authorized
3,E4,CEM_adaptive_grammar_crypto,blocked_adapter_needed,5000,128,16,False,protocol_only_not_authorized
3,E5,surrogate_prioritized_sampler,adapter_ready,5000,128,16,False,protocol_only_not_authorized
3,E6,placebo_random_control,executable,5000,128,16,False,protocol_only_not_authorized
3,E7,adversarial_null_wrong_lag_control,executable,5000,128,16,False,protocol_only_not_authorized
4,E0,current_A7L_manual_generator,executable,5000,128,16,False,protocol_only_not_authorized
4,E1,FormulaGenV2_crypto_adapter,adapter_ready,5000,128,16,False,protocol_only_not_authorized
4,E2,typed_AST_sampler_crypto_adapter,adapter_ready,5000,128,16,False,protocol_only_not_authorized
4,E3,AST_failure_aware_repair,blocked_adapter_needed,5000,128,16,False,protocol_only_not_authorized
4,E4,CEM_adaptive_grammar_crypto,blocked_adapter_needed,5000,128,16,False,protocol_only_not_authorized
4,E5,surrogate_prioritized_sampler,adapter_ready,5000,128,16,False,protocol_only_not_authorized
4,E6,placebo_random_control,executable,5000,128,16,False,protocol_only_not_authorized
4,E7,adversarial_null_wrong_lag_control,executable,5000,128,16,False,protocol_only_not_authorized
