dataset,manifest_symbols,ok_status,audit_read_ok,rows_manifest,rows_actual,duplicate_timestamp_count,gap_hours,inf_cell_count
metrics_1h_universe500_v1,498,498,498,6918822,6918822,0,1988,0
monthly_market_funding_1h_top300_v1,300,300,300,5362049,5362049,0,65,0
