field_name,source_class,independent_source,feature_available_rule,may_policy
symbol,key,False,row identity,May stress-only; not ranking/tuning/selection
timestamp,key,False,row identity,May stress-only; not ranking/tuning/selection
funding_interval_hours,market_funding,True,hourly market/funding aggregate; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
last_funding_rate,market_funding,True,hourly market/funding aggregate; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
mark_open,market_funding,True,hourly market/funding aggregate; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
mark_high,market_funding,True,hourly market/funding aggregate; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
mark_low,market_funding,True,hourly market/funding aggregate; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
mark_close,market_funding,True,hourly market/funding aggregate; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
mark_count,market_funding,True,hourly market/funding aggregate; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
index_open,market_funding,True,hourly market/funding aggregate; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
index_high,market_funding,True,hourly market/funding aggregate; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
index_low,market_funding,True,hourly market/funding aggregate; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
index_close,market_funding,True,hourly market/funding aggregate; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
index_count,market_funding,True,hourly market/funding aggregate; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
premium_open,market_funding,True,hourly market/funding aggregate; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
premium_high,market_funding,True,hourly market/funding aggregate; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
premium_low,market_funding,True,hourly market/funding aggregate; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
premium_close,market_funding,True,hourly market/funding aggregate; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
premium_count,market_funding,True,hourly market/funding aggregate; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
mark_index_ratio,market_funding,True,hourly market/funding aggregate; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
mark_index_basis_bps,market_funding,True,hourly market/funding aggregate; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
premium_close_bps,market_funding,True,hourly market/funding aggregate; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
funding_rate_bps,market_funding,True,hourly market/funding aggregate; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
funding_event_observed,market_funding,True,hourly market/funding aggregate; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
market_counts_complete,market_funding,True,hourly market/funding aggregate; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
metrics_n_5m,binance_metrics,True,hourly aggregate from 5m metrics; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
metrics_open_interest_last,binance_metrics,True,hourly aggregate from 5m metrics; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
metrics_open_interest_mean,binance_metrics,True,hourly aggregate from 5m metrics; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
metrics_open_interest_value_last,binance_metrics,True,hourly aggregate from 5m metrics; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
metrics_open_interest_value_mean,binance_metrics,True,hourly aggregate from 5m metrics; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
metrics_toptrader_account_long_short_ratio_last,binance_metrics,True,hourly aggregate from 5m metrics; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
metrics_toptrader_account_long_short_ratio_mean,binance_metrics,True,hourly aggregate from 5m metrics; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
metrics_toptrader_position_long_short_ratio_last,binance_metrics,True,hourly aggregate from 5m metrics; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
metrics_toptrader_position_long_short_ratio_mean,binance_metrics,True,hourly aggregate from 5m metrics; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
metrics_global_account_long_short_ratio_last,binance_metrics,True,hourly aggregate from 5m metrics; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
metrics_global_account_long_short_ratio_mean,binance_metrics,True,hourly aggregate from 5m metrics; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
metrics_taker_buy_sell_volume_ratio_last,binance_metrics,True,hourly aggregate from 5m metrics; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
metrics_taker_buy_sell_volume_ratio_mean,binance_metrics,True,hourly aggregate from 5m metrics; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
metrics_5m_complete,binance_metrics,True,hourly aggregate from 5m metrics; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
agg_features_available,core12_aggtrades_overlay,True,core12 aggTrades hourly/derived; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
agg_trade_count,core12_aggtrades_overlay,True,core12 aggTrades hourly/derived; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
agg_underlying_trade_count,core12_aggtrades_overlay,True,core12 aggTrades hourly/derived; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
agg_quantity,core12_aggtrades_overlay,True,core12 aggTrades hourly/derived; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
agg_notional,core12_aggtrades_overlay,True,core12 aggTrades hourly/derived; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
agg_buy_notional,core12_aggtrades_overlay,True,core12 aggTrades hourly/derived; usable after hour close with field-native latency audit,May stress-only; not ranking/tuning/selection
