symbol,split,rows,metrics_complete_5m_rate,agg_overlay_available_rate,may_allowed_for_ranking
1000000MOGUSDT,train_2024,1309,0.998472,0.0,True
1000000MOGUSDT,validation_2025H1,4344,0.99954,0.0,True
1000000MOGUSDT,recent_2025H2_2026Apr,7296,0.999452,0.0,True
1000000MOGUSDT,may_2026_stress_only,0,,,False
1000BONKUSDT,train_2024,8784,0.998065,0.0,True
1000BONKUSDT,validation_2025H1,4344,0.99954,0.0,True
1000BONKUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
1000BONKUSDT,may_2026_stress_only,0,,,False
1000CATUSDT,train_2024,1717,0.998253,0.0,True
1000CATUSDT,validation_2025H1,4344,0.99954,0.0,True
1000CATUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
1000CATUSDT,may_2026_stress_only,0,,,False
1000CHEEMSUSDT,train_2024,877,0.99886,0.0,True
1000CHEEMSUSDT,validation_2025H1,4344,0.99954,0.0,True
1000CHEEMSUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
1000CHEEMSUSDT,may_2026_stress_only,0,,,False
1000FLOKIUSDT,train_2024,8784,0.998065,0.0,True
1000FLOKIUSDT,validation_2025H1,4344,0.99954,0.0,True
1000FLOKIUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
1000FLOKIUSDT,may_2026_stress_only,0,,,False
1000LUNCUSDT,train_2024,8784,0.998065,0.0,True
1000LUNCUSDT,validation_2025H1,4344,0.99954,0.0,True
1000LUNCUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
1000LUNCUSDT,may_2026_stress_only,0,,,False
1000PEPEUSDT,train_2024,8784,0.998065,0.0,True
1000PEPEUSDT,validation_2025H1,4344,0.99954,0.0,True
1000PEPEUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
1000PEPEUSDT,may_2026_stress_only,0,,,False
1000RATSUSDT,train_2024,8784,0.998065,0.0,True
1000RATSUSDT,validation_2025H1,4344,0.99954,0.0,True
1000RATSUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
1000RATSUSDT,may_2026_stress_only,0,,,False
1000SATSUSDT,train_2024,8784,0.998065,0.0,True
1000SATSUSDT,validation_2025H1,4344,0.99954,0.0,True
1000SATSUSDT,recent_2025H2_2026Apr,7296,0.999589,0.0,True
1000SATSUSDT,may_2026_stress_only,0,,,False
1000SHIBUSDT,train_2024,8784,0.998065,0.0,True
1000SHIBUSDT,validation_2025H1,4344,0.99954,0.0,True
1000SHIBUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
1000SHIBUSDT,may_2026_stress_only,0,,,False
1000XECUSDT,train_2024,8784,0.998065,0.0,True
1000XECUSDT,validation_2025H1,4344,0.99954,0.0,True
1000XECUSDT,recent_2025H2_2026Apr,7296,0.999452,0.0,True
1000XECUSDT,may_2026_stress_only,0,,,False
1INCHUSDT,train_2024,8784,0.998065,0.0,True
1INCHUSDT,validation_2025H1,4344,0.99954,0.0,True
1INCHUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
1INCHUSDT,may_2026_stress_only,0,,,False
1MBABYDOGEUSDT,train_2024,2558,0.998827,0.0,True
1MBABYDOGEUSDT,validation_2025H1,4344,0.99954,0.0,True
1MBABYDOGEUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
1MBABYDOGEUSDT,may_2026_stress_only,0,,,False
AAVEUSDT,train_2024,8784,0.998065,0.0,True
AAVEUSDT,validation_2025H1,4344,0.99954,0.0,True
AAVEUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
AAVEUSDT,may_2026_stress_only,0,,,False
ACEUSDT,train_2024,8784,0.998065,0.0,True
ACEUSDT,validation_2025H1,4344,0.99954,0.0,True
ACEUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
ACEUSDT,may_2026_stress_only,0,,,False
