symbol,path,file_exists,manifest_status,manifest_rows,manifest_min_timestamp,manifest_max_timestamp,read_ok,error,actual_rows,row_count_match,actual_min_timestamp,actual_max_timestamp,min_timestamp_match,max_timestamp_match,duplicate_timestamp_count,monotonic_timestamp,gap_hours,inf_cell_count,nan_cell_count,negative_value_count
0GUSDT,G:\AlphaFactory_CryptoData\incoming_company\crypto_universe500_silver_20260525\extracted\silver\binance_vision\metrics_1h_universe500_v1\symbol=0GUSDT\part.csv.gz,True,ok,5962,2025-09-17 15:00:00+00:00,2026-05-24 00:00:00+00:00,True,,5962,True,2025-09-17 15:00:00+00:00,2026-05-24 00:00:00+00:00,True,True,0,True,0,0,0,0
1000000BOBUSDT,G:\AlphaFactory_CryptoData\incoming_company\crypto_universe500_silver_20260525\extracted\silver\binance_vision\metrics_1h_universe500_v1\symbol=1000000BOBUSDT\part.csv.gz,True,ok,8465,2025-06-05 08:00:00+00:00,2026-05-24 00:00:00+00:00,True,,8465,True,2025-06-05 08:00:00+00:00,2026-05-24 00:00:00+00:00,True,True,0,True,0,0,4,0
1000000MOGUSDT,G:\AlphaFactory_CryptoData\incoming_company\crypto_universe500_silver_20260525\extracted\silver\binance_vision\metrics_1h_universe500_v1\symbol=1000000MOGUSDT\part.csv.gz,True,ok,13501,2024-11-07 12:00:00+00:00,2026-05-24 00:00:00+00:00,True,,13501,True,2024-11-07 12:00:00+00:00,2026-05-24 00:00:00+00:00,True,True,0,True,0,0,4,0
1000BONKUSDT,G:\AlphaFactory_CryptoData\incoming_company\crypto_universe500_silver_20260525\extracted\silver\binance_vision\metrics_1h_universe500_v1\symbol=1000BONKUSDT\part.csv.gz,True,ok,20967,2024-01-01 00:00:00+00:00,2026-05-24 00:00:00+00:00,True,,20967,True,2024-01-01 00:00:00+00:00,2026-05-24 00:00:00+00:00,True,True,0,True,10,0,4,0
1000CATUSDT,G:\AlphaFactory_CryptoData\incoming_company\crypto_universe500_silver_20260525\extracted\silver\binance_vision\metrics_1h_universe500_v1\symbol=1000CATUSDT\part.csv.gz,True,ok,13909,2024-10-21 12:00:00+00:00,2026-05-24 00:00:00+00:00,True,,13909,True,2024-10-21 12:00:00+00:00,2026-05-24 00:00:00+00:00,True,True,0,True,0,0,4,0
1000CHEEMSUSDT,G:\AlphaFactory_CryptoData\incoming_company\crypto_universe500_silver_20260525\extracted\silver\binance_vision\metrics_1h_universe500_v1\symbol=1000CHEEMSUSDT\part.csv.gz,True,ok,13070,2024-11-25 11:00:00+00:00,2026-05-24 00:00:00+00:00,True,,13070,True,2024-11-25 11:00:00+00:00,2026-05-24 00:00:00+00:00,True,True,0,True,0,0,4,0
1000FLOKIUSDT,G:\AlphaFactory_CryptoData\incoming_company\crypto_universe500_silver_20260525\extracted\silver\binance_vision\metrics_1h_universe500_v1\symbol=1000FLOKIUSDT\part.csv.gz,True,ok,20967,2024-01-01 00:00:00+00:00,2026-05-24 00:00:00+00:00,True,,20967,True,2024-01-01 00:00:00+00:00,2026-05-24 00:00:00+00:00,True,True,0,True,10,0,4,0
1000LUNCUSDT,G:\AlphaFactory_CryptoData\incoming_company\crypto_universe500_silver_20260525\extracted\silver\binance_vision\metrics_1h_universe500_v1\symbol=1000LUNCUSDT\part.csv.gz,True,ok,20967,2024-01-01 00:00:00+00:00,2026-05-24 00:00:00+00:00,True,,20967,True,2024-01-01 00:00:00+00:00,2026-05-24 00:00:00+00:00,True,True,0,True,10,0,4,0
1000PEPEUSDT,G:\AlphaFactory_CryptoData\incoming_company\crypto_universe500_silver_20260525\extracted\silver\binance_vision\metrics_1h_universe500_v1\symbol=1000PEPEUSDT\part.csv.gz,True,ok,20967,2024-01-01 00:00:00+00:00,2026-05-24 00:00:00+00:00,True,,20967,True,2024-01-01 00:00:00+00:00,2026-05-24 00:00:00+00:00,True,True,0,True,10,0,4,0
1000RATSUSDT,G:\AlphaFactory_CryptoData\incoming_company\crypto_universe500_silver_20260525\extracted\silver\binance_vision\metrics_1h_universe500_v1\symbol=1000RATSUSDT\part.csv.gz,True,ok,20967,2024-01-01 00:00:00+00:00,2026-05-24 00:00:00+00:00,True,,20967,True,2024-01-01 00:00:00+00:00,2026-05-24 00:00:00+00:00,True,True,0,True,10,0,4,0
