symbol,rows,timestamp_min,timestamp_max,path,metrics_join_rate,metrics_complete_5m_rate,agg_overlay_available_rate,duplicate_symbol_timestamp,inf_cell_count
ACXUSDT,12253,2024-12-06 11:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=ACXUSDT\part.parquet,0.999674,0.999347,0.0,0,0
ADAUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=ADAUSDT\part.parquet,0.99951,0.999021,0.99951,0,0
AEROUSDT,12299,2024-12-04 13:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=AEROUSDT\part.parquet,0.999919,0.999512,0.0,0,0
AEVOUSDT,18685,2024-03-13 11:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=AEVOUSDT\part.parquet,0.999893,0.999518,0.0,0,0
AGLDUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=AGLDUSDT\part.parquet,0.99951,0.999021,0.0,0,0
AIXBTUSDT,11911,2024-12-20 17:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=AIXBTUSDT\part.parquet,0.999916,0.99958,0.0,0,0
AKTUSDT,12686,2024-11-18 10:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=AKTUSDT\part.parquet,0.999921,0.998975,0.0,0,0
ALCHUSDT,11486,2025-01-07 10:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=ALCHUSDT\part.parquet,0.999913,0.999565,0.0,0,0
ALGOUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=ALGOUSDT\part.parquet,0.99951,0.999021,0.0,0,0
ALICEUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=ALICEUSDT\part.parquet,0.99951,0.999021,0.0,0,0
ALTUSDT,19837,2024-01-25 11:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=ALTUSDT\part.parquet,0.999345,0.998639,0.0,0,0
ANIMEUSDT,11096,2025-01-23 16:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=ANIMEUSDT\part.parquet,0.99991,0.999549,0.0,0,0
ANKRUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=ANKRUSDT\part.parquet,0.99951,0.999119,0.0,0,0
APEUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=APEUSDT\part.parquet,0.99951,0.999021,0.0,0,0
API3USDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=API3USDT\part.parquet,0.99951,0.999021,0.0,0,0
APTUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=APTUSDT\part.parquet,0.99951,0.999021,0.0,0,0
ARBUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=ARBUSDT\part.parquet,0.99951,0.999119,0.0,0,0
ARCUSDT,11245,2025-01-17 11:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=ARCUSDT\part.parquet,0.999822,0.999466,0.0,0,0
ARKMUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=ARKMUSDT\part.parquet,0.99951,0.999119,0.0,0,0
ARKUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=ARKUSDT\part.parquet,0.99951,0.999119,0.0,0,0
ARPAUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=ARPAUSDT\part.parquet,0.99951,0.999217,0.0,0,0
ARUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=ARUSDT\part.parquet,0.99951,0.999119,0.0,0,0
ASTRUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=ASTRUSDT\part.parquet,0.99951,0.999217,0.0,0,0
ATOMUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=ATOMUSDT\part.parquet,0.99951,0.999217,0.0,0,0
AUCTIONUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=AUCTIONUSDT\part.parquet,0.99951,0.999119,0.0,0,0
AVAAIUSDT,11245,2025-01-17 11:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=AVAAIUSDT\part.parquet,0.999822,0.999289,0.0,0,0
