symbol,missing_rate_mean,market_counts_complete_rate,metrics_5m_complete_rate,agg_overlay_available_rate
1000000MOGUSDT,0.04896,0.9705,0.999382,0.0
1000BONKUSDT,0.049066,0.978212,0.999021,0.0
1000CATUSDT,0.048958,0.970727,0.999551,0.0
1000CHEEMSUSDT,0.048921,0.969801,0.99968,0.0
1000FLOKIUSDT,0.057218,0.978212,0.999021,0.0
1000LUNCUSDT,0.057218,0.978212,0.999021,0.0
1000PEPEUSDT,0.057218,0.978212,0.999021,0.0
1000RATSUSDT,0.049066,0.978212,0.999021,0.0
1000SATSUSDT,0.049066,0.978212,0.998923,0.0
1000SHIBUSDT,0.057218,0.978163,0.999021,0.0
1000XECUSDT,0.057218,0.978212,0.998874,0.0
1INCHUSDT,0.057218,0.978016,0.999021,0.0
1MBABYDOGEUSDT,0.048952,0.972109,0.999577,0.0
AAVEUSDT,0.057218,0.977967,0.999021,0.0
ACEUSDT,0.048405,0.978065,0.999021,0.0
ACHUSDT,0.057218,0.978212,0.999021,0.0
ACTUSDT,0.048995,0.970282,0.999533,0.0
ACXUSDT,0.049069,0.969069,0.999347,0.0
ADAUSDT,0.021584,0.97077,0.999021,0.99951
AEROUSDT,0.048959,0.969266,0.999512,0.0
AEVOUSDT,0.048969,0.976612,0.999518,0.0
AGLDUSDT,0.057218,0.978212,0.999021,0.0
AIXBTUSDT,0.048961,0.96902,0.99958,0.0
AKTUSDT,0.04895,0.970046,0.998975,0.0
ALCHUSDT,0.048961,0.968483,0.999565,0.0
ALGOUSDT,0.057218,0.975764,0.999021,0.0
ALICEUSDT,0.056433,0.978163,0.999021,0.0
ALTUSDT,0.049141,0.977466,0.998639,0.0
ANIMEUSDT,0.04732,0.968818,0.999549,0.0
ANKRUSDT,0.056698,0.978114,0.999119,0.0
APEUSDT,0.057218,0.978212,0.999021,0.0
API3USDT,0.047186,0.978212,0.999021,0.0
APTUSDT,0.057218,0.978212,0.999021,0.0
ARBUSDT,0.057218,0.978212,0.999119,0.0
ARCUSDT,0.049005,0.968697,0.999466,0.0
ARKMUSDT,0.057218,0.978212,0.999119,0.0
ARKUSDT,0.052984,0.978163,0.999119,0.0
ARPAUSDT,0.057218,0.978212,0.999217,0.0
ARUSDT,0.057218,0.978212,0.999119,0.0
ASTRUSDT,0.057218,0.978163,0.999217,0.0
ATOMUSDT,0.057218,0.973414,0.999217,0.0
AUCTIONUSDT,0.048868,0.978163,0.999119,0.0
AVAAIUSDT,0.049005,0.968697,0.999289,0.0
AVAUSDT,0.04956,0.968254,0.998595,0.0
AVAXUSDT,0.021584,0.977918,0.999217,0.99951
AXLUSDT,0.046618,0.976913,0.999526,0.0
AXSUSDT,0.05573,0.977967,0.999217,0.0
BANANAUSDT,0.048354,0.973025,0.999466,0.0
BANDUSDT,0.057218,0.976645,0.999217,0.0
BANUSDT,0.048854,0.948211,0.999527,0.0
BATUSDT,0.057218,0.974344,0.999168,0.0
BBUSDT,0.048948,0.975495,0.999652,0.0
BCHUSDT,0.021584,0.967979,0.999217,0.99951
BEAMXUSDT,0.049066,0.978212,0.999168,0.0
BELUSDT,0.057218,0.977967,0.999217,0.0
BERAUSDT,0.048965,0.968129,0.999535,0.0
BICOUSDT,0.057218,0.978163,0.999217,0.0
BIGTIMEUSDT,0.049066,0.978212,0.999168,0.0
BIOUSDT,0.044432,0.968658,0.999482,0.0
BLURUSDT,0.056797,0.978212,0.999217,0.0
BNBUSDT,0.021584,0.972875,0.999217,0.99951
BNTUSDT,0.057218,0.977771,0.999217,0.0
BOMEUSDT,0.049205,0.976052,0.999087,0.0
BRETTUSDT,0.048921,0.973124,0.999596,0.0
BSVUSDT,0.049066,0.978212,0.997552,0.0
BTCUSDT,0.021584,0.966461,0.999217,0.99951
C98USDT,0.057218,0.978212,0.999217,0.0
CAKEUSDT,0.049066,0.978163,0.999217,0.0
CATIUSDT,0.049195,0.97122,0.99922,0.0
CELOUSDT,0.057218,0.978212,0.99858,0.0
CELRUSDT,0.057506,0.978163,0.999217,0.0
CETUSUSDT,0.048992,0.970321,0.999537,0.0
CFXUSDT,0.057218,0.978212,0.999217,0.0
CGPTUSDT,0.048997,0.969104,0.999496,0.0
CHILLGUYUSDT,0.048959,0.96976,0.999599,0.0
CHRUSDT,0.062762,0.942078,0.999119,0.0
CHZUSDT,0.057218,0.978016,0.999217,0.0
CKBUSDT,0.062583,0.943253,0.999217,0.0
COMPUSDT,0.057218,0.976449,0.999217,0.0
COOKIEUSDT,0.048961,0.96857,0.999565,0.0
COSUSDT,0.049085,0.970877,0.998702,0.0
COTIUSDT,0.057218,0.978163,0.999217,0.0
COWUSDT,0.048958,0.970475,0.999537,0.0
CRVUSDT,0.057218,0.977526,0.999217,0.0
CTSIUSDT,0.057218,0.978212,0.999217,0.0
CYBERUSDT,0.049066,0.978212,0.999217,0.0
DASHUSDT,0.057218,0.9717,0.999217,0.0
DEXEUSDT,0.04947,0.968137,0.998732,0.0
DIAUSDT,0.049437,0.970848,0.99877,0.0
DODOXUSDT,0.049066,0.93444,0.999217,0.0
DOGEUSDT,0.021584,0.976351,0.999217,0.99951
DOGSUSDT,0.055312,0.926667,0.99966,0.0
DOTUSDT,0.057218,0.977135,0.999217,0.0
DRIFTUSDT,0.048164,0.970513,0.999381,0.0
DUSDT,0.048433,0.968616,0.999563,0.0
DUSKUSDT,0.055976,0.978114,0.999217,0.0
DYDXUSDT,0.057218,0.978212,0.999217,0.0
DYMUSDT,0.049167,0.977167,0.998925,0.0
EDUUSDT,0.057218,0.978212,0.999217,0.0
EGLDUSDT,0.057218,0.977526,0.999217,0.0
EIGENUSDT,0.048954,0.971682,0.999567,0.0
ENAUSDT,0.04902,0.976219,0.999506,0.0
ENJUSDT,0.055938,0.977771,0.999217,0.0
ENSUSDT,0.057218,0.978212,0.999217,0.0
ETCUSDT,0.057218,0.969839,0.999217,0.0
ETHFIUSDT,0.048992,0.97646,0.999569,0.0
ETHUSDT,0.021584,0.967489,0.999217,0.99951
ETHWUSDT,0.049066,0.978212,0.998727,0.0
FARTCOINUSDT,0.048961,0.969188,0.99958,0.0
FETUSDT,0.057218,0.978212,0.999217,0.0
FIDAUSDT,0.049425,0.97135,0.998797,0.0
FILUSDT,0.057218,0.977918,0.999217,0.0
FLOWUSDT,0.054843,0.978212,0.999217,0.0
FLUXUSDT,0.049201,0.972245,0.999036,0.0
GALAUSDT,0.057218,0.978212,0.999217,0.0
GASUSDT,0.048948,0.978212,0.999217,0.0
GLMUSDT,0.049191,0.976325,0.999166,0.0
GMTUSDT,0.055865,0.978212,0.999217,0.0
GMXUSDT,0.057218,0.978212,0.999168,0.0
GOATUSDT,0.048957,0.970792,0.999398,0.0
GRASSUSDT,0.048921,0.970436,0.99969,0.0
GRIFFAINUSDT,0.048964,0.968545,0.999569,0.0
GRTUSDT,0.057218,0.978016,0.999217,0.0
GTCUSDT,0.062583,0.943792,0.999217,0.0
GUSDT,0.049179,0.972489,0.998865,0.0
HBARUSDT,0.057218,0.978114,0.999217,0.0
HEIUSDT,0.048968,0.967925,0.999528,0.0
HFTUSDT,0.057218,0.978163,0.999217,0.0
HIGHUSDT,0.057218,0.978212,0.999217,0.0
HIVEUSDT,0.049469,0.968286,0.99865,0.0
HMSTRUSDT,0.048924,0.971983,0.999642,0.0
HOTUSDT,0.057218,0.978163,0.998972,0.0
ICPUSDT,0.057218,0.978163,0.999217,0.0
ICXUSDT,0.056628,0.977575,0.998923,0.0
IDUSDT,0.057218,0.978212,0.999217,0.0
ILVUSDT,0.049066,0.978212,0.999217,0.0
IMXUSDT,0.053818,0.945065,0.999217,0.0
INJUSDT,0.057218,0.978212,0.999217,0.0
IOSTUSDT,0.057218,0.975029,0.999217,0.0
IOTAUSDT,0.057218,0.973952,0.998923,0.0
IOTXUSDT,0.057218,0.978212,0.999217,0.0
IOUSDT,0.048975,0.974643,0.999576,0.0
IPUSDT,0.045489,0.967148,0.999434,0.0
JASMYUSDT,0.057218,0.978212,0.999217,0.0
JOEUSDT,0.057218,0.97782,0.999217,0.0
JTOUSDT,0.049066,0.978163,0.999217,0.0
JUPUSDT,0.049194,0.97694,0.999035,0.0
KAIAUSDT,0.049596,0.968405,0.998213,0.0
KASUSDT,0.049066,0.978212,0.999217,0.0
KAVAUSDT,0.053182,0.976596,0.999217,0.0
KMNOUSDT,0.048997,0.969104,0.999496,0.0
KNCUSDT,0.057218,0.976302,0.999217,0.0
KOMAUSDT,0.048963,0.969318,0.999589,0.0
KSMUSDT,0.057218,0.977526,0.999217,0.0
LAYERUSDT,0.036181,0.967863,0.99953,0.0
LDOUSDT,0.057218,0.978212,0.999217,0.0
LINKUSDT,0.021584,0.970182,0.999217,0.99951
LISTAUSDT,0.04895,0.97437,0.999632,0.0
LPTUSDT,0.046231,0.978212,0.999217,0.0
LQTYUSDT,0.057218,0.978212,0.999217,0.0
LSKUSDT,0.046374,0.976975,0.998388,0.0
LTCUSDT,0.021584,0.969399,0.999217,0.99951
LUMIAUSDT,0.049463,0.96827,0.998747,0.0
LUNA2USDT,0.054064,0.978212,0.999217,0.0
MAGICUSDT,0.053633,0.978212,0.999217,0.0
MANAUSDT,0.057218,0.978163,0.999217,0.0
MANTAUSDT,0.049161,0.977507,0.99895,0.0
MASKUSDT,0.051682,0.978212,0.999217,0.0
MAVUSDT,0.057218,0.978212,0.999217,0.0
MBOXUSDT,0.049282,0.972313,0.999045,0.0
MELANIAUSDT,0.048966,0.968862,0.999374,0.0
MEMEUSDT,0.049066,0.978212,0.999217,0.0
METISUSDT,0.049142,0.976283,0.999252,0.0
MEUSDT,0.04236,0.969146,0.999424,0.0
MEWUSDT,0.048948,0.974541,0.999451,0.0
MINAUSDT,0.057218,0.978212,0.999217,0.0
MOCAUSDT,0.048959,0.969119,0.999084,0.0
MOODENGUSDT,0.048956,0.970595,0.999548,0.0
MORPHOUSDT,0.048959,0.96968,0.999599,0.0
MOVEUSDT,0.048804,0.96913,0.999507,0.0
MOVRUSDT,0.049066,0.978212,0.999217,0.0
MTLUSDT,0.057218,0.978163,0.999217,0.0
NEARUSDT,0.057218,0.977918,0.999217,0.0
NEIROUSDT,0.048952,0.972179,0.999577,0.0
NEOUSDT,0.057218,0.974736,0.999217,0.0
NFPUSDT,0.049424,0.978212,0.998042,0.0
NMRUSDT,0.049066,0.978114,0.999217,0.0
NOTUSDT,0.048946,0.975448,0.99965,0.0
OGNUSDT,0.056594,0.978163,0.999217,0.0
ONDOUSDT,0.049185,0.977405,0.998898,0.0
ONEUSDT,0.057218,0.978163,0.999217,0.0
ONGUSDT,0.049066,0.978163,0.999217,0.0
ONTUSDT,0.060064,0.937818,0.999217,0.0
OPUSDT,0.057218,0.978212,0.999217,0.0
ORCAUSDT,0.044193,0.969069,0.999347,0.0
ORDIUSDT,0.049066,0.978212,0.999217,0.0
PENDLEUSDT,0.057218,0.978212,0.999217,0.0
PENGUUSDT,0.048996,0.968964,0.999499,0.0
PEOPLEUSDT,0.057218,0.978212,0.99907,0.0
PHAUSDT,0.049477,0.968001,0.998717,0.0
PIPPINUSDT,0.041136,0.968773,0.999458,0.0
PIXELUSDT,0.048857,0.97697,0.999532,0.0
PNUTUSDT,0.048995,0.970282,0.999533,0.0
POLUSDT,0.049409,0.971569,0.99881,0.0
POLYXUSDT,0.04875,0.978212,0.999217,0.0
POPCATUSDT,0.048953,0.972966,0.999594,0.0
PORTALUSDT,0.049013,0.976733,0.999474,0.0
POWRUSDT,0.049066,0.978212,0.999217,0.0
PROMUSDT,0.049553,0.967799,0.998585,0.0
PYTHUSDT,0.049066,0.978212,0.999217,0.0
QNTUSDT,0.057218,0.978212,0.999217,0.0
QTUMUSDT,0.06197,0.939287,0.999217,0.0
RAREUSDT,0.049425,0.972423,0.998798,0.0
RAYSOLUSDT,0.048984,0.969318,0.999589,0.0
RENDERUSDT,0.04895,0.973846,0.999612,0.0
REZUSDT,0.048946,0.975814,0.999658,0.0
RIFUSDT,0.049066,0.978212,0.999168,0.0
RLCUSDT,0.057218,0.976792,0.999217,0.0
RONINUSDT,0.049198,0.977148,0.998875,0.0
ROSEUSDT,0.057218,0.978212,0.999217,0.0
RPLUSDT,0.048949,0.971758,0.998817,0.0
RSRUSDT,0.057218,0.977967,0.999217,0.0
RUNEUSDT,0.057218,0.977526,0.999217,0.0
RVNUSDT,0.051592,0.978163,0.998286,0.0
SAFEUSDT,0.048955,0.970892,0.999321,0.0
SAGAUSDT,0.049002,0.976055,0.999557,0.0
SANDUSDT,0.057218,0.977918,0.999217,0.0
SANTOSUSDT,0.04955,0.969848,0.998561,0.0
SCRTUSDT,0.049447,0.969106,0.998812,0.0
SCRUSDT,0.048956,0.970829,0.99955,0.0
SEIUSDT,0.057218,0.978212,0.999217,0.0
SFPUSDT,0.06151,0.946338,0.999217,0.0
SKLUSDT,0.055117,0.977967,0.99907,0.0
SNXUSDT,0.057218,0.977135,0.999119,0.0
SOLUSDT,0.021584,0.977624,0.999217,0.99951
SOLVUSDT,0.048967,0.968786,0.999555,0.0
SONICUSDT,0.048961,0.968603,0.999477,0.0
SPELLUSDT,0.057218,0.978212,0.999168,0.0
SPXUSDT,0.048963,0.969236,0.999589,0.0
SSVUSDT,0.057218,0.978212,0.999217,0.0
STEEMUSDT,0.048536,0.978212,0.999168,0.0
STGUSDT,0.057218,0.978212,0.999168,0.0
STORJUSDT,0.055609,0.977722,0.999119,0.0
STRKUSDT,0.049034,0.976837,0.999427,0.0
