symbol,path,file_exists,manifest_status,manifest_rows,manifest_min_timestamp,manifest_max_timestamp,read_ok,error,actual_rows,row_count_match,actual_min_timestamp,actual_max_timestamp,min_timestamp_match,max_timestamp_match,duplicate_timestamp_count,monotonic_timestamp,gap_hours,inf_cell_count,nan_cell_count,negative_value_count,metrics_read_ok,metrics_gap_hours,metrics_rows,metrics_min_timestamp,metrics_max_timestamp,is_core12,market_full_2024_2026apr,metrics_available,search_tier
1000000MOGUSDT,G:\AlphaFactory_CryptoData\incoming_company\crypto_universe500_silver_20260525\extracted\silver\binance_vision\monthly_market_funding_1h_top300_v1\symbol=1000000MOGUSDT\part.csv.gz,True,ok,12949,2024-11-07 11:00:00+00:00,2026-04-30 23:00:00+00:00,True,,12949,True,2024-11-07 11:00:00+00:00,2026-04-30 23:00:00+00:00,True,True,0,True,0,0,19431,0,True,0,13501,2024-11-07 12:00:00+00:00,2026-05-24 00:00:00+00:00,False,False,True,listing_aware_market_metrics
1000BONKUSDT,G:\AlphaFactory_CryptoData\incoming_company\crypto_universe500_silver_20260525\extracted\silver\binance_vision\monthly_market_funding_1h_top300_v1\symbol=1000BONKUSDT\part.csv.gz,True,ok,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,True,True,0,True,0,0,30636,0,True,10,20967,2024-01-01 00:00:00+00:00,2026-05-24 00:00:00+00:00,False,True,True,top300_full_history_market_metrics
1000CATUSDT,G:\AlphaFactory_CryptoData\incoming_company\crypto_universe500_silver_20260525\extracted\silver\binance_vision\monthly_market_funding_1h_top300_v1\symbol=1000CATUSDT\part.csv.gz,True,ok,13357,2024-10-21 11:00:00+00:00,2026-04-30 23:00:00+00:00,True,,13357,True,2024-10-21 11:00:00+00:00,2026-04-30 23:00:00+00:00,True,True,0,True,0,0,20043,0,True,0,13909,2024-10-21 12:00:00+00:00,2026-05-24 00:00:00+00:00,False,False,True,listing_aware_market_metrics
1000CHEEMSUSDT,G:\AlphaFactory_CryptoData\incoming_company\crypto_universe500_silver_20260525\extracted\silver\binance_vision\monthly_market_funding_1h_top300_v1\symbol=1000CHEEMSUSDT\part.csv.gz,True,ok,12517,2024-11-25 11:00:00+00:00,2026-04-30 23:00:00+00:00,True,,12517,True,2024-11-25 11:00:00+00:00,2026-04-30 23:00:00+00:00,True,True,0,True,0,0,18776,0,True,0,13070,2024-11-25 11:00:00+00:00,2026-05-24 00:00:00+00:00,False,False,True,listing_aware_market_metrics
1000FLOKIUSDT,G:\AlphaFactory_CryptoData\incoming_company\crypto_universe500_silver_20260525\extracted\silver\binance_vision\monthly_market_funding_1h_top300_v1\symbol=1000FLOKIUSDT\part.csv.gz,True,ok,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,True,True,0,True,0,0,35742,0,True,10,20967,2024-01-01 00:00:00+00:00,2026-05-24 00:00:00+00:00,False,True,True,top300_full_history_market_metrics
1000LUNCUSDT,G:\AlphaFactory_CryptoData\incoming_company\crypto_universe500_silver_20260525\extracted\silver\binance_vision\monthly_market_funding_1h_top300_v1\symbol=1000LUNCUSDT\part.csv.gz,True,ok,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,True,True,0,True,0,0,35742,0,True,10,20967,2024-01-01 00:00:00+00:00,2026-05-24 00:00:00+00:00,False,True,True,top300_full_history_market_metrics
1000PEPEUSDT,G:\AlphaFactory_CryptoData\incoming_company\crypto_universe500_silver_20260525\extracted\silver\binance_vision\monthly_market_funding_1h_top300_v1\symbol=1000PEPEUSDT\part.csv.gz,True,ok,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,True,True,0,True,0,0,35742,0,True,10,20967,2024-01-01 00:00:00+00:00,2026-05-24 00:00:00+00:00,False,True,True,top300_full_history_market_metrics
1000RATSUSDT,G:\AlphaFactory_CryptoData\incoming_company\crypto_universe500_silver_20260525\extracted\silver\binance_vision\monthly_market_funding_1h_top300_v1\symbol=1000RATSUSDT\part.csv.gz,True,ok,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,True,True,0,True,0,0,30636,0,True,10,20967,2024-01-01 00:00:00+00:00,2026-05-24 00:00:00+00:00,False,True,True,top300_full_history_market_metrics
1000SATSUSDT,G:\AlphaFactory_CryptoData\incoming_company\crypto_universe500_silver_20260525\extracted\silver\binance_vision\monthly_market_funding_1h_top300_v1\symbol=1000SATSUSDT\part.csv.gz,True,ok,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,True,True,0,True,0,0,30636,0,True,10,20967,2024-01-01 00:00:00+00:00,2026-05-24 00:00:00+00:00,False,True,True,top300_full_history_market_metrics
1000SHIBUSDT,G:\AlphaFactory_CryptoData\incoming_company\crypto_universe500_silver_20260525\extracted\silver\binance_vision\monthly_market_funding_1h_top300_v1\symbol=1000SHIBUSDT\part.csv.gz,True,ok,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,True,True,0,True,0,0,35742,0,True,10,20967,2024-01-01 00:00:00+00:00,2026-05-24 00:00:00+00:00,False,True,True,top300_full_history_market_metrics
1000XECUSDT,G:\AlphaFactory_CryptoData\incoming_company\crypto_universe500_silver_20260525\extracted\silver\binance_vision\monthly_market_funding_1h_top300_v1\symbol=1000XECUSDT\part.csv.gz,True,ok,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,True,True,0,True,0,0,35742,0,True,10,20967,2024-01-01 00:00:00+00:00,2026-05-24 00:00:00+00:00,False,True,True,top300_full_history_market_metrics
1INCHUSDT,G:\AlphaFactory_CryptoData\incoming_company\crypto_universe500_silver_20260525\extracted\silver\binance_vision\monthly_market_funding_1h_top300_v1\symbol=1INCHUSDT\part.csv.gz,True,ok,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,True,True,0,True,0,0,35742,0,True,10,20967,2024-01-01 00:00:00+00:00,2026-05-24 00:00:00+00:00,False,True,True,top300_full_history_market_metrics
1MBABYDOGEUSDT,G:\AlphaFactory_CryptoData\incoming_company\crypto_universe500_silver_20260525\extracted\silver\binance_vision\monthly_market_funding_1h_top300_v1\symbol=1MBABYDOGEUSDT\part.csv.gz,True,ok,14198,2024-09-16 10:00:00+00:00,2026-04-30 23:00:00+00:00,True,,14198,True,2024-09-16 10:00:00+00:00,2026-04-30 23:00:00+00:00,True,True,0,True,0,0,21303,0,True,0,14750,2024-09-16 11:00:00+00:00,2026-05-24 00:00:00+00:00,False,False,True,listing_aware_market_metrics
AAVEUSDT,G:\AlphaFactory_CryptoData\incoming_company\crypto_universe500_silver_20260525\extracted\silver\binance_vision\monthly_market_funding_1h_top300_v1\symbol=AAVEUSDT\part.csv.gz,True,ok,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,True,True,0,True,0,0,35742,0,True,10,20943,2024-01-01 00:00:00+00:00,2026-05-23 00:00:00+00:00,False,True,True,top300_full_history_market_metrics
