field_name,in_field_contract
basis_abs_168h,True
global_long_short_account_ratio_last,True
kline_taker_buy_quote_share,True
liquidity_rank_active_universe,True
mark_index_basis_bps,True
mark_trade_basis_bps,True
median_quote_volume_168h,True
open_interest_change_24h,True
open_interest_last,True
open_interest_value_last,True
premium_close_bps,True
taker_buy_sell_volume_ratio_last,True
top_long_short_account_ratio_last,True
top_long_short_position_ratio_last,True
trade_count,True
trade_quote_volume,True
trade_return_1h,True
trade_return_24h,True
