seed_lane,rows,label_family_count,horizon_count,operator_count,left_field_count,right_field_count,median_control_ratio
S1_liquidity_basis_positioning,33,3,2,2,4,2,0.7187603607278056
S0_positioning_price_basis,31,3,1,2,3,4,0.5553186909556819
S3_cross_family_bridge,20,4,4,2,6,3,0.8304841155851694
S2_taker_flow_liquidity_oi,12,4,3,2,2,6,0.7414735845413947
