horizon,validation_net10,validation_net20,recent_net10,recent_net20,may_net10,lag1_recent_net10,lag2_recent_net10,lag3_recent_net10,recent_symbol_loo_positive_rate,may_symbol_loo_positive_rate,recent_month_loo_positive_rate,recent_min_symbol_loo_net10,recent_min_month_loo_net10,recent_control_positive_count,may_control_positive_count,passes_validation_recent_10bps,passes_validation_recent_20bps,passes_lag_ladder_recent,passes_symbol_loo,passes_month_loo,passes_controls_recent,passes_may_stress
24,0.5036624592278063,-0.1528375407721929,0.9488994325912348,0.1228994325912348,0.588787104837132,1.055995454274282,1.1217396160460205,1.2308906374141144,0.8333333333333334,0.9166666666666666,0.9,-1.8775346897386207,-1.127103309474446,0,1,True,False,True,False,False,True,True
48,1.1173405427942371,0.4608405427942368,1.3892684423591992,0.5632684423591989,0.7302147525659566,1.3780412658695185,1.3192192750131009,1.265291895484664,0.6666666666666666,0.9166666666666666,0.9,-2.974366961716968,-0.7621015358674896,0,1,True,True,True,False,False,True,True
