blueprint_id,a7ls_arm,semantic_pair,motif,skeleton_key,production_key,expression,eval_success,finite_share,nonzero_share,activity_ok,min_value,max_value,std_value,error,materialization_shard,materialization_score,a7input_queue,core58_queue,company_shard
a7ls1_034326edbe11fb42,A7LS_A,basis_premium_like,gated_sign,skel_3afee12eb6a9078f,prod_fcb67fe17dd25366,"Mul(Mean(mark_index_basis_bps,72),Sign(Mean(mark_trade_basis_bps,72)))",True,0.9975475624256838,1.0,True,-192.47484984741484,139.4653332586787,6.375940004178317,,a7ls_a_materialization_s000,0.9985285374554103,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
a7ls1_10b28724f009e3f4,A7LS_A,basis_premium_like,gated_sign,skel_f4061a64df347a31,prod_176f530912c7ad22,"Mul(Abs(ZScore(Mean(mark_index_basis_bps,72))),Sign(ZScore(Mean(mark_trade_basis_bps,168))))",True,0.9975475624256838,1.0,True,-8.882316244452518,9.544217024343174,0.9916286859932508,,a7ls_a_materialization_s000,0.9985285374554103,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
a7ls1_064a1b406d89fe40,A7LS_A,basis_premium_like,gated_sign,skel_bcb165b7818f5d85,prod_221fd67da199a798,"Mul(ZScore(Mean(mark_index_basis_bps,48)),Sign(Mean(mark_trade_basis_bps,72)))",True,0.997523781212842,1.0,True,-9.60899411015392,8.650656744284268,0.9691372553911326,,a7ls_a_materialization_s000,0.9985142687277052,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
a7ls1_00c4fa90f9c77246,A7LS_A,basis_premium_like,gated_sign,skel_156d0fafafecde17,prod_8e7819832e5fec65,"Mul(Mean(mark_index_basis_bps,72),Sign(ZScore(Mean(mark_trade_basis_bps,24))))",True,0.9975,1.0,True,-192.47484984741484,175.04380425834728,9.249092248702592,,a7ls_a_materialization_s000,0.9985,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
a7ls1_04982054d1ab0244,A7LS_A,basis_premium_like,gated_sign,skel_156d0fafafecde17,prod_2187e42659f01b3a,"Mul(Mean(mark_index_basis_bps,72),Sign(ZScore(Mean(mark_trade_basis_bps,2))))",True,0.9975,1.0,True,-192.4567342430213,192.47484984741484,9.233011301611722,,a7ls_a_materialization_s000,0.9985,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
a7ls1_137cfd1f31437ed3,A7LS_A,basis_premium_like,gated_sign,skel_bcb165b7818f5d85,prod_09a1e055cac36d80,"Mul(ZScore(Mean(mark_index_basis_bps,72)),Sign(Mean(mark_trade_basis_bps,12)))",True,0.9975,0.9999716890323312,True,-9.544217024343174,9.517092435818888,0.9755842214831362,,a7ls_a_materialization_s000,0.9984886756129325,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
a7ls1_11400da829995750,A7LS_A,basis_premium_like,gated_sign,skel_af8c1327eb17d836,prod_f0d1b71030dbe739,"Mul(ZScore(Mean(mark_index_basis_bps,48)),Sign(ZScore(Mean(mark_trade_basis_bps,8))))",True,0.9974762187871582,1.0,True,-9.608939848425894,9.60899411015392,0.973387234927264,,a7ls_a_materialization_s000,0.9984857312722949,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
a7ls1_125f5c98288143d5,A7LS_A,basis_premium_like,gated_sign,skel_bcb165b7818f5d85,prod_325469a9b073ff8e,"Mul(ZScore(Mean(mark_index_basis_bps,4)),Sign(Mean(mark_trade_basis_bps,72)))",True,0.9974722552516844,1.0,True,-9.69085631833646,9.479280636441295,0.979978972774745,,a7ls_a_materialization_s000,0.9984833531510107,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
a7ls1_0651df514ec6e28a,A7LS_A,basis_premium_like,gated_sign,skel_f5b37d2264eba0bd,prod_34e615ff01596a46,"Mul(ZScore(Mean(mark_index_basis_bps,8)),Sign(Abs(ZScore(Mean(mark_trade_basis_bps,24)))))",True,0.9974682917162108,1.0,True,-9.687679298862731,7.335270227706502,0.9947649279155965,,a7ls_a_materialization_s000,0.9984809750297264,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
a7ls1_0093cfc9de4aa9e5,A7LS_A,basis_premium_like,gated_sign,skel_156d0fafafecde17,prod_da6eae9567e52dfa,"Mul(Mean(mark_index_basis_bps,12),Sign(ZScore(Mean(mark_trade_basis_bps,168))))",True,0.9974643281807372,1.0,True,-629.7478162211349,429.59460925490447,10.610645547278368,,a7ls_a_materialization_s000,0.9984785969084423,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
a7ls1_03a6bf043324e4b4,A7LS_A,basis_premium_like,gated_sign,skel_af8c1327eb17d836,prod_7829c0bdde35d73e,"Mul(ZScore(Mean(mark_index_basis_bps,12)),Sign(ZScore(Mean(mark_trade_basis_bps,72))))",True,0.9974643281807372,1.0,True,-9.683398996509396,9.568057143250051,0.9534016791001242,,a7ls_a_materialization_s000,0.9984785969084423,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
a7ls1_073c83a1557a251e,A7LS_A,basis_premium_like,gated_sign,skel_156d0fafafecde17,prod_9f9de4d5a72e1e00,"Mul(Mean(mark_index_basis_bps,12),Sign(ZScore(Mean(mark_trade_basis_bps,72))))",True,0.9974643281807372,1.0,True,-629.7478162211349,419.152246320853,10.610376029105716,,a7ls_a_materialization_s000,0.9984785969084423,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
a7ls1_0d5635804104a6ce,A7LS_A,basis_premium_like,gated_sign,skel_3afee12eb6a9078f,prod_41bb0910895c0b66,"Mul(Mean(mark_index_basis_bps,12),Sign(Mean(mark_trade_basis_bps,72)))",True,0.9974643281807372,1.0,True,-629.7478162211349,396.53407983583503,8.256785685926284,,a7ls_a_materialization_s000,0.9984785969084423,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
a7ls1_021a45aa0c482576,A7LS_A,basis_premium_like,gated_sign,skel_3afee12eb6a9078f,prod_c60a8840fbeac317,"Mul(Mean(mark_index_basis_bps,8),Sign(Decay(mark_trade_basis_bps,24)))",True,0.9974682917162108,0.9999895693119224,True,-839.6553236972679,586.8076495963296,9.002588470021673,,a7ls_a_materialization_s000,0.9984768027544955,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
