decision,label_family,count
A7FF25R1_NUMERIC_CLUE,L0_raw_forward_return,1
A7FF25R1_NUMERIC_CLUE,L1_cross_sectional_relative_return,1
A7FF25R1_NUMERIC_CLUE,L3_liquidity_tier_relative_return,1
A7FF25R1_NUMERIC_CLUE,L5_vol_adjusted_return,1
HOLD_A7FF25R1_CONTROL_DOMINATED,L0_raw_forward_return,6
HOLD_A7FF25R1_CONTROL_DOMINATED,L1_cross_sectional_relative_return,6
HOLD_A7FF25R1_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,7
HOLD_A7FF25R1_CONTROL_DOMINATED,L5_vol_adjusted_return,5
HOLD_A7FF25R1_CONTROL_DOMINATED,L7_ranked_future_return,14
HOLD_A7FF25R1_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,2
HOLD_A7FF25R1_PRE_MAY_UNSTABLE,L0_raw_forward_return,57
HOLD_A7FF25R1_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,57
HOLD_A7FF25R1_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,56
HOLD_A7FF25R1_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,58
HOLD_A7FF25R1_PRE_MAY_UNSTABLE,L7_ranked_future_return,48
