signal_name,field_family,source_column,global_validation_spread,global_test_spread,global_recent_spread,age_neutral_validation_spread,latent_neutral_validation_spread,liquidity_neutral_validation_spread,meme_multiplier_validation_spread,u1_listing_latent_validation_spread,diagnostic_decision
age_x_volatility,listing_age_latent_interaction,age_x_volatility,-0.004915908818468841,-0.0028504672069592325,-0.007007910592593313,-0.004930968363497991,-0.0036203979621005277,-0.0038412191641026766,-0.004885496241317589,-0.0035262915028647112,FIELD_FAMILY_STRUCTURE_FOUND_DIAGNOSTIC
range_bps,price_volatility_interaction,range_bps,-0.004584820455271399,-0.0030202992881470355,-0.005319767107771925,-0.004593835504550656,-0.0031863972121177106,-0.004034330616172208,-0.0043584837536408405,-0.007638449668836452,FIELD_FAMILY_STRUCTURE_FOUND_DIAGNOSTIC
lev_high_oi_change_24h,upper_regime_interaction,lev_high_oi_change_24h,-0.0023159293955556663,-0.0016605331839698947,0.007054849776668591,-0.0022873584644194736,-0.002296607467002267,-0.002636407470435721,-0.0022887444056431494,-0.003126599738691128,NO_STABLE_FIELD_FAMILY_STRUCTURE
funding_abs_168h,funding,funding_rate_abs_168h,0.0011305716682897995,-0.00285333224146345,-0.00588714467928946,0.0009086870467580165,0.0012603696758068277,0.001440419666738816,0.0001382542375083266,-0.0037671436074818826,NO_STABLE_FIELD_FAMILY_STRUCTURE
trade_count_level,liquidity_volume,trade_count,-0.001306031360272289,-0.001549767103382932,-0.005397618135255182,-0.0013120315652183716,-0.0011215756726148467,-0.002745069785904541,-0.0007918379858349603,-0.007825492176638846,FIELD_FAMILY_STRUCTURE_FOUND_DIAGNOSTIC
oi_level_log,open_interest,log_open_interest,-0.0027148582071161013,-0.0029525424259264194,-0.001099979852664225,-0.0027148582071161013,-0.0019288977649547232,-0.002179007423317261,-0.0023962523712833697,-0.00035997336274895395,FIELD_FAMILY_STRUCTURE_FOUND_DIAGNOSTIC
premium_abs_bps,premium_basis,premium_abs_bps,-0.000727976778680949,-0.0021131040703455434,-0.003198900226835355,-0.001435408015537164,-0.00012007743846880335,-0.0009134322732750643,0.0007358387282536019,-0.003336106743139599,HOLD_A7AL1_STATE_OR_GROUP_BIAS
top_position_long_short_level,long_short_positioning,top_long_short_position_ratio_last,-0.0006012084660779961,0.001248241205842349,-0.003003841501912552,-0.0005960689562805789,-0.0012964337743776545,-0.0021611533161023672,-0.0003505438807905976,-0.0008156373270053945,NO_STABLE_FIELD_FAMILY_STRUCTURE
taker_buy_sell_level,taker_buy_sell_volume_ratio,taker_buy_sell_volume_ratio_last,0.00030784245630319197,0.0002148387662149104,0.00015465233907187455,0.0002927392360509186,0.0005572371341821563,0.00010606420475081566,0.00031905647354529566,0.0008634350586766077,NO_STABLE_FIELD_FAMILY_STRUCTURE
oi_change_24h_lv1,open_interest,open_interest_change_24h,,,,,,,,,STAGE1_ONLY_NOT_SHORTLISTED
oi_value_level_log,open_interest,log_open_interest_value,,,,,,,,,STAGE1_ONLY_NOT_SHORTLISTED
oi_x_price_move_24h,open_interest,oi_x_price_move_24h,,,,,,,,,STAGE1_ONLY_NOT_SHORTLISTED
global_long_short_level,long_short_positioning,global_long_short_account_ratio_last,,,,,,,,,STAGE1_ONLY_NOT_SHORTLISTED
top_account_long_short_level,long_short_positioning,top_long_short_account_ratio_last,,,,,,,,,STAGE1_ONLY_NOT_SHORTLISTED
premium_level_bps,premium_basis,premium_close_bps,,,,,,,,,STAGE1_ONLY_NOT_SHORTLISTED
premium_abs_168h,premium_basis,premium_abs_168h,,,,,,,,,STAGE1_ONLY_NOT_SHORTLISTED
basis_level_bps,premium_basis,mark_index_basis_bps,,,,,,,,,STAGE1_ONLY_NOT_SHORTLISTED
basis_abs_bps,premium_basis,basis_abs_bps,,,,,,,,,STAGE1_ONLY_NOT_SHORTLISTED
basis_abs_168h,premium_basis,basis_abs_168h,,,,,,,,,STAGE1_ONLY_NOT_SHORTLISTED
funding_level,funding,funding_rate,,,,,,,,,STAGE1_ONLY_NOT_SHORTLISTED
funding_abs,funding,funding_abs,,,,,,,,,STAGE1_ONLY_NOT_SHORTLISTED
funding_mean_168h,funding,funding_rate_mean_168h,,,,,,,,,STAGE1_ONLY_NOT_SHORTLISTED
ret_x_vol,price_volatility_interaction,ret_x_vol,,,,,,,,,STAGE1_ONLY_NOT_SHORTLISTED
vol_compression,price_volatility_interaction,vol_compression,,,,,,,,,STAGE1_ONLY_NOT_SHORTLISTED
liquidity_level_log_quote,liquidity_volume,log_trade_quote_volume,,,,,,,,,STAGE1_ONLY_NOT_SHORTLISTED
liquidity_log_quote_168h,liquidity_volume,log_quote_volume_168h,,,,,,,,,STAGE1_ONLY_NOT_SHORTLISTED
liquidity_rank_active,liquidity_volume,liquidity_rank_active_universe,,,,,,,,,STAGE1_ONLY_NOT_SHORTLISTED
age_x_liquidity,listing_age_latent_interaction,age_x_liquidity,,,,,,,,,STAGE1_ONLY_NOT_SHORTLISTED
age_x_funding_abs,listing_age_latent_interaction,age_x_funding_abs,,,,,,,,,STAGE1_ONLY_NOT_SHORTLISTED
basis_high_basis_abs,upper_regime_interaction,basis_high_basis_abs,,,,,,,,,STAGE1_ONLY_NOT_SHORTLISTED
liq_contracting_volume_level,upper_regime_interaction,liq_contracting_volume_level,,,,,,,,,STAGE1_ONLY_NOT_SHORTLISTED
stress_high_low_vol,upper_regime_interaction,stress_high_low_vol,,,,,,,,,STAGE1_ONLY_NOT_SHORTLISTED
