signal_name,field_family,source_column
age_x_volatility,listing_age_latent_interaction,age_x_volatility
range_bps,price_volatility_interaction,range_bps
lev_high_oi_change_24h,upper_regime_interaction,lev_high_oi_change_24h
funding_abs_168h,funding,funding_rate_abs_168h
trade_count_level,liquidity_volume,trade_count
oi_level_log,open_interest,log_open_interest
premium_abs_bps,premium_basis,premium_abs_bps
top_position_long_short_level,long_short_positioning,top_long_short_position_ratio_last
taker_buy_sell_level,taker_buy_sell_volume_ratio,taker_buy_sell_volume_ratio_last
