signal_name,field_family,original_decision,control,validation_mean_spread_24h,abs_vs_original_ratio,valid_row_share,control_flag
age_x_volatility,listing_age_latent_interaction,FIELD_FAMILY_STRUCTURE_FOUND_DIAGNOSTIC,original,-0.0039281308196028025,1.0,0.9929414268966191,REFERENCE
age_x_volatility,listing_age_latent_interaction,FIELD_FAMILY_STRUCTURE_FOUND_DIAGNOSTIC,wrong_lag_future_24h,0.0020751861523655227,0.5282884526171044,0.9941178557471826,OK
age_x_volatility,listing_age_latent_interaction,FIELD_FAMILY_STRUCTURE_FOUND_DIAGNOSTIC,wrong_lag_stale_168h,-0.0035877235657375862,0.9133411616114055,0.9847064249426748,CONTROL_TOO_STRONG
age_x_volatility,listing_age_latent_interaction,FIELD_FAMILY_STRUCTURE_FOUND_DIAGNOSTIC,sign_flip,0.0038563577639893236,0.9817284456883907,0.9929414268966191,EXPECTED_INVERSION
age_x_volatility,listing_age_latent_interaction,FIELD_FAMILY_STRUCTURE_FOUND_DIAGNOSTIC,random_field,0.00014383323511809402,0.036616202902488335,0.995294284597746,OK
range_bps,price_volatility_interaction,FIELD_FAMILY_STRUCTURE_FOUND_DIAGNOSTIC,original,-0.0031534421936987183,1.0,0.9952452667289726,REFERENCE
range_bps,price_volatility_interaction,FIELD_FAMILY_STRUCTURE_FOUND_DIAGNOSTIC,wrong_lag_future_24h,0.01672489858329901,5.303695947469433,0.9952452667289726,CONTROL_TOO_STRONG
range_bps,price_volatility_interaction,FIELD_FAMILY_STRUCTURE_FOUND_DIAGNOSTIC,wrong_lag_stale_168h,-0.003035940189653344,0.9627384943728572,0.9870102647750283,CONTROL_TOO_STRONG
range_bps,price_volatility_interaction,FIELD_FAMILY_STRUCTURE_FOUND_DIAGNOSTIC,sign_flip,0.003208058613029303,1.0173196196333392,0.9952452667289726,EXPECTED_INVERSION
range_bps,price_volatility_interaction,FIELD_FAMILY_STRUCTURE_FOUND_DIAGNOSTIC,random_field,-0.0001476021166112594,0.04680666634898251,0.995294284597746,OK
oi_level_log,open_interest,FIELD_FAMILY_STRUCTURE_FOUND_DIAGNOSTIC,original,-0.001877735474633822,1.0,0.9944330866822784,REFERENCE
oi_level_log,open_interest,FIELD_FAMILY_STRUCTURE_FOUND_DIAGNOSTIC,wrong_lag_future_24h,-0.001065940820319976,0.5676735806079638,0.9944336283161874,OK
