candidate_id,family_id,chosen_variant,row_count
a7ffcore33_000,F1b_taker_flow_market_panel,original,16
a7ffcore33_000,F1b_taker_flow_market_panel,sign_flip,16
a7ffcore33_001,F1b_taker_flow_market_panel,original,4
a7ffcore33_001,F1b_taker_flow_market_panel,sign_flip,28
a7ffcore33_002,F2a_basis_funding_independent,original,16
a7ffcore33_002,F2a_basis_funding_independent,sign_flip,16
a7ffcore33_003,F2a_basis_funding_independent,original,12
a7ffcore33_003,F2a_basis_funding_independent,sign_flip,20
a7ffcore33_004,F2a_basis_funding_independent,original,20
a7ffcore33_004,F2a_basis_funding_independent,sign_flip,12
a7ffcore33_005,F2a_basis_funding_independent,sign_flip,32
a7ffcore33_006,F1b_taker_flow_market_panel,original,16
a7ffcore33_006,F1b_taker_flow_market_panel,sign_flip,16
a7ffcore33_007,F1a_aggtrades_flow_microstructure,sign_flip,32
a7ffcore33_008,F1a_aggtrades_flow_microstructure,original,32
a7ffcore33_009,F2a_basis_funding_independent,original,20
a7ffcore33_009,F2a_basis_funding_independent,sign_flip,12
a7ffcore33_010,F2a_basis_funding_independent,original,16
a7ffcore33_010,F2a_basis_funding_independent,sign_flip,16
a7ffcore33_011,F2a_basis_funding_independent,original,24
a7ffcore33_011,F2a_basis_funding_independent,sign_flip,8
a7ffcore33_012,F1b_taker_flow_market_panel,original,28
a7ffcore33_012,F1b_taker_flow_market_panel,sign_flip,4
a7ffcore33_013,F2a_basis_funding_independent,original,32
a7ffcore33_014,F1b_taker_flow_market_panel,sign_flip,32
a7ffcore33_015,F1a_aggtrades_flow_microstructure,original,12
a7ffcore33_015,F1a_aggtrades_flow_microstructure,sign_flip,20
a7ffcore33_016,F1a_aggtrades_flow_microstructure,original,28
a7ffcore33_016,F1a_aggtrades_flow_microstructure,sign_flip,4
a7ffcore33_017,F1a_aggtrades_flow_microstructure,original,28
a7ffcore33_017,F1a_aggtrades_flow_microstructure,sign_flip,4
a7ffcore33_018,F1a_aggtrades_flow_microstructure,original,28
a7ffcore33_018,F1a_aggtrades_flow_microstructure,sign_flip,4
a7ffcore33_019,F1b_taker_flow_market_panel,sign_flip,32
a7ffcore33_020,F1a_aggtrades_flow_microstructure,original,32
