candidate_id,arm,family,expression,pass_cost20_validation_nonnegative,pass_cost20_recent_nonnegative,pass_lag1_validation_nonnegative,pass_lag1_recent_nonnegative,a7k_preselection_pass,first_a7k_preselection_fail
i1_flow_liquidity_237,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(quote_volume_mean_12),ZScore(quote_volume_mean_6))",True,True,True,True,True,pass
i1_flow_liquidity_021,I1_flow_liquidity,flow_liquidity,volume,True,True,True,True,False,beta
i1_flow_liquidity_023,I1_flow_liquidity,flow_liquidity,ZScore(volume),True,True,True,True,False,beta
i2_microstructure_lite_167,I2_microstructure_lite,microstructure_lite,"Mul(Rank(realized_vol_24),Rank(quote_volume_mean_12))",True,True,True,True,True,pass
i1_flow_liquidity_203,I1_flow_liquidity,flow_liquidity,"Mul(Rank(quote_volume_mean_6),ZScore(avg_trade_size_quote))",True,True,True,True,True,pass
i1_flow_liquidity_235,I1_flow_liquidity,flow_liquidity,"Mul(Rank(quote_volume_mean_12),ZScore(avg_trade_size_quote))",True,True,True,True,True,pass
i1_flow_liquidity_113,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(quote_asset_volume),ZScore(quote_volume_mean_12))",True,True,True,True,True,pass
i1_flow_liquidity_227,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(quote_volume_mean_12),ZScore(quote_asset_volume))",True,True,True,True,True,pass
i1_flow_liquidity_207,I1_flow_liquidity,flow_liquidity,"Mul(Rank(quote_volume_mean_6),ZScore(quote_volume_mean_12))",True,True,True,True,True,pass
i1_flow_liquidity_141,I1_flow_liquidity,flow_liquidity,"Mul(Rank(number_of_trades),ZScore(quote_volume_mean_6))",True,True,True,True,True,pass
i1_flow_liquidity_107,I1_flow_liquidity,flow_liquidity,"Mul(Rank(quote_asset_volume),ZScore(avg_trade_size_quote))",True,False,True,True,False,cost20_recent_nonnegative
i1_flow_liquidity_239,I1_flow_liquidity,flow_liquidity,"Mul(Rank(quote_volume_mean_12),Rank(volume))",True,True,True,True,True,pass
i1_flow_liquidity_145,I1_flow_liquidity,flow_liquidity,"Mul(Rank(number_of_trades),Rank(volume))",True,False,True,True,False,cost20_recent_nonnegative
i1_flow_liquidity_173,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(avg_trade_size_quote),Rank(ret_12))",True,False,True,True,False,cost20_recent_nonnegative
i1_flow_liquidity_206,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(quote_volume_mean_6),ZScore(quote_volume_mean_12))",True,True,True,True,True,pass
i1_flow_liquidity_137,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(number_of_trades),ZScore(avg_trade_size_quote))",True,False,True,True,False,cost20_recent_nonnegative
i1_flow_liquidity_143,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(number_of_trades),ZScore(quote_volume_mean_12))",True,False,True,True,False,cost20_recent_nonnegative
i1_flow_liquidity_199,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(quote_volume_mean_6),ZScore(number_of_trades))",True,False,True,True,False,cost20_recent_nonnegative
i2_microstructure_lite_013,I2_microstructure_lite,microstructure_lite,Rank(realized_vol_24),False,True,True,True,False,cost20_validation_nonnegative
i1_flow_liquidity_022,I1_flow_liquidity,flow_liquidity,Rank(volume),True,True,True,True,True,pass
i1_flow_liquidity_171,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(avg_trade_size_quote),ZScore(quote_volume_mean_6))",True,False,True,True,False,cost20_recent_nonnegative
i1_flow_liquidity_175,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(avg_trade_size_quote),ZScore(quote_volume_mean_12))",True,False,True,True,False,cost20_recent_nonnegative
i1_flow_liquidity_115,I1_flow_liquidity,flow_liquidity,"Mul(Rank(quote_asset_volume),Rank(volume))",True,False,True,True,False,cost20_recent_nonnegative
i1_flow_liquidity_101,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(quote_asset_volume),Rank(ret_12))",True,False,True,True,False,cost20_recent_nonnegative
i1_flow_liquidity_135,I1_flow_liquidity,flow_liquidity,"Mul(Rank(number_of_trades),ZScore(quote_asset_volume))",True,False,True,True,False,cost20_recent_nonnegative
i2_microstructure_lite_139,I2_microstructure_lite,microstructure_lite,"Mul(Rank(realized_vol_12),Rank(quote_volume_mean_12))",False,False,True,True,False,cost20_validation_nonnegative
i2_microstructure_lite_111,I2_microstructure_lite,microstructure_lite,"Mul(Rank(realized_vol_6),Rank(quote_volume_mean_12))",False,False,True,True,False,cost20_validation_nonnegative
i1_flow_liquidity_103,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(quote_asset_volume),ZScore(number_of_trades))",True,False,True,True,False,cost20_recent_nonnegative
i1_flow_liquidity_117,I1_flow_liquidity,flow_liquidity,"Mul(Rank(quote_asset_volume),ZScore(volume))",True,False,True,True,False,cost20_recent_nonnegative
i1_flow_liquidity_241,I1_flow_liquidity,flow_liquidity,"Mul(Rank(quote_volume_mean_12),ZScore(volume))",True,False,True,True,False,cost20_recent_nonnegative
i0_basis_premium_229,I0_basis_premium,basis_premium,"Mul(Rank(ret_12),Rank(mark_minus_index))",True,False,True,False,False,raw_recent_positive
i1_flow_liquidity_110,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(quote_asset_volume),ZScore(quote_volume_mean_6))",True,False,True,True,False,cost20_recent_nonnegative
i1_flow_liquidity_196,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(quote_volume_mean_6),ZScore(quote_asset_volume))",True,False,True,True,False,cost20_recent_nonnegative
i1_flow_liquidity_111,I1_flow_liquidity,flow_liquidity,"Mul(Rank(quote_asset_volume),ZScore(quote_volume_mean_6))",True,False,True,False,False,raw_recent_positive
i2_microstructure_lite_099,I2_microstructure_lite,microstructure_lite,"Mul(Rank(realized_vol_6),Rank(ret_12))",False,False,True,True,False,cost20_validation_nonnegative
i1_flow_liquidity_179,I1_flow_liquidity,flow_liquidity,"Mul(Rank(avg_trade_size_quote),ZScore(volume))",True,False,True,True,False,cost20_recent_nonnegative
i1_flow_liquidity_197,I1_flow_liquidity,flow_liquidity,"Mul(Rank(quote_volume_mean_6),ZScore(quote_asset_volume))",True,False,True,False,False,cost20_recent_nonnegative
i1_flow_liquidity_217,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(quote_volume_mean_6),ZScore(ret_12))",False,False,True,False,False,raw_recent_positive
i0_basis_premium_249,I0_basis_premium,basis_premium,"Mul(Rank(ret_12),Rank(realized_vol_12))",False,False,True,True,False,cost20_validation_nonnegative
i1_flow_liquidity_208,I1_flow_liquidity,flow_liquidity,"Mul(Rank(quote_volume_mean_6),Rank(volume))",True,False,True,True,False,cost20_recent_nonnegative
i1_flow_liquidity_147,I1_flow_liquidity,flow_liquidity,"Mul(Rank(number_of_trades),ZScore(volume))",False,False,True,True,False,raw_recent_positive
i1_flow_liquidity_144,I1_flow_liquidity,flow_liquidity,"Mul(Rank(number_of_trades),ZScore(quote_volume_mean_12))",False,False,True,True,False,cost20_validation_nonnegative
i2_microstructure_lite_151,I2_microstructure_lite,microstructure_lite,"Mul(Rank(realized_vol_24),Rank(ret_12))",False,False,True,False,False,cost20_validation_nonnegative
i1_flow_liquidity_230,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(quote_volume_mean_12),ZScore(number_of_trades))",False,False,True,False,False,raw_recent_positive
i1_flow_liquidity_140,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(number_of_trades),ZScore(quote_volume_mean_6))",False,False,True,False,False,raw_recent_positive
i1_flow_liquidity_210,I1_flow_liquidity,flow_liquidity,"Mul(Rank(quote_volume_mean_6),ZScore(volume))",True,False,True,False,False,cost20_recent_nonnegative
i1_flow_liquidity_134,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(number_of_trades),ZScore(quote_asset_volume))",False,False,True,False,False,raw_validation_positive
i1_flow_liquidity_232,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(quote_volume_mean_12),Rank(ret_12))",False,False,True,False,False,cost20_validation_nonnegative
i2_microstructure_lite_093,I2_microstructure_lite,microstructure_lite,"Mul(Rank(realized_vol_6),Rank(realized_vol_12))",False,False,False,True,False,raw_validation_positive
i2_microstructure_lite_121,I2_microstructure_lite,microstructure_lite,"Mul(Rank(realized_vol_12),Rank(realized_vol_6))",False,False,False,True,False,raw_validation_positive
i1_flow_liquidity_138,I1_flow_liquidity,flow_liquidity,"Mul(Rank(number_of_trades),ZScore(avg_trade_size_quote))",True,False,True,False,False,raw_recent_positive
i2_microstructure_lite_049,I2_microstructure_lite,microstructure_lite,"Mul(Rank(hl_range),Rank(ret_12))",False,False,True,False,False,raw_recent_positive
i0_basis_premium_049,I0_basis_premium,basis_premium,"Mul(Rank(mark_index_ratio),Rank(ret_12))",False,False,True,False,False,raw_recent_positive
i3_placebo_random_023,I3_placebo_random,placebo_random,Rank(avg_trade_size_quote),False,False,True,False,False,raw_recent_positive
i3_placebo_random_073,I3_placebo_random,placebo_random,Rank(avg_trade_size_quote),False,False,True,False,False,raw_recent_positive
i3_placebo_random_123,I3_placebo_random,placebo_random,Rank(avg_trade_size_quote),False,False,True,False,False,raw_recent_positive
i3_placebo_random_173,I3_placebo_random,placebo_random,Rank(avg_trade_size_quote),False,False,True,False,False,raw_recent_positive
i3_placebo_random_223,I3_placebo_random,placebo_random,Rank(avg_trade_size_quote),False,False,True,False,False,raw_recent_positive
i2_microstructure_lite_117,I2_microstructure_lite,microstructure_lite,"Mul(ZScore(realized_vol_12),Rank(ret_12))",False,False,False,True,False,cost20_validation_nonnegative
i1_flow_liquidity_204,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(quote_volume_mean_6),Rank(ret_12))",False,False,True,False,False,raw_recent_positive
i2_microstructure_lite_166,I2_microstructure_lite,microstructure_lite,"Mul(Rank(realized_vol_24),ZScore(ret_12))",False,False,True,False,False,raw_validation_positive
i1_flow_liquidity_168,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(avg_trade_size_quote),ZScore(number_of_trades))",False,False,True,False,False,raw_recent_positive
i2_microstructure_lite_241,I2_microstructure_lite,microstructure_lite,"Mul(Rank(ret_6),ZScore(realized_vol_24))",False,False,False,True,False,raw_validation_positive
i0_basis_premium_235,I0_basis_premium,basis_premium,"Mul(ZScore(ret_12),Rank(ret_12))",False,False,True,False,False,raw_recent_positive
i2_microstructure_lite_123,I2_microstructure_lite,microstructure_lite,"Mul(Rank(realized_vol_12),ZScore(realized_vol_6))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_055,I2_microstructure_lite,microstructure_lite,"Mul(Rank(hl_range),Rank(quote_volume_mean_12))",False,False,True,False,False,raw_validation_positive
