subset,family,count,share,cap,cap_pass
old_pool_all,flow_liquidity,250,0.25,0.25,True
old_pool_all,microstructure_lite,250,0.25,0.25,True
old_pool_all,basis_premium,250,0.25,0.25,True
old_pool_all,placebo_random,250,0.25,0.25,True
old_pool_a7j_selected,flow_liquidity,64,0.25,0.25,True
old_pool_a7j_selected,microstructure_lite,64,0.25,0.25,True
old_pool_a7j_selected,basis_premium,64,0.25,0.25,True
old_pool_a7j_selected,placebo_random,64,0.25,0.25,True
a7k_preselection_pass,flow_liquidity,10,0.9090909090909091,0.25,False
a7k_preselection_pass,microstructure_lite,1,0.09090909090909091,0.25,True
