cluster_id,semantic_pair,motif,skeleton_key,record_count,unique_expression_count,strict_count,accepted_prior_count,selected_nearmiss_count,rejected_count,duplicate_pressure,max_train_sortino,max_min_oos_floor_sortino,max_stress_floor_sortino,min_recent_control_ratio,example_expression,next_action
cluster-5be6e283246599c7,open_interest|taker_flow,additive_composite,skeleton-51f87c69a1e4ad1c,5,3,3,0,0,2,4,2.634536172682842,0.318659423253377,7.4094843693365116,0.9878734662822551,"Add(Delta(open_interest_value_mean,120),Delta(taker_buy_sell_volume_ratio_mean,16))",keep_but_cluster_cap
cluster-ef1a98b32d51955d,open_interest|positioning,safe_div_abs_gated,skeleton-ee2f57c71a5e1378,4,2,2,0,0,2,3,1.0515297291702725,1.7942467540118447,0.37520791372467666,0.9811726559055229,"Mul(SafeDiv(Abs(ZScore(open_interest_mean)),Abs(CSRank(account_position_divergence))),Sign(CSRank(quote_volume_z_168h)))",keep_but_cluster_cap
cluster-b79552c32796ae15,liquidity|open_interest,spread,skeleton-6782a3c619c21840,2,2,2,0,0,0,1,0.9446108630183228,0.318659423253377,7.4149648502729,0.987873879179183,"Sub(Sign(Delta(quote_volume_z_168h,12)),Delta(open_interest_value_mean,240))",keep_but_cluster_cap
cluster-b81cc6117e3fd06e,open_interest|premium,smooth_mul,skeleton-e29a029adda15d7b,5,3,1,0,0,4,4,2.405735019135707,1.5503016434007018,8.979511795745676,0.9766916826766616,"Mul(Decay(open_interest_last,16),Decay(premium_close_bps,24))",keep_but_cluster_cap
cluster-19749c30383199ee,liquidity|open_interest,spread,skeleton-aee02eb8c6122850,4,2,1,0,0,3,3,2.595832173215326,0.007221933688572964,11.685467391604716,0.9835064625991355,"Sub(CSRank(quote_volume_z_168h),Delta(open_interest_value_last,240))",keep_but_cluster_cap
cluster-0b09cc8da68b3e40,basis|open_interest,spread,skeleton-2c761a1d27b69791,3,2,1,0,0,2,2,2.6708113139569702,0.004702216479586793,3.2963013846287113,0.9934544061092484,"Sub(TSRank(mark_index_basis_bps,504),Delta(open_interest_value_mean,120))",keep_but_cluster_cap
cluster-9f4de1b7480107c9,liquidity|positioning,additive_composite,skeleton-ce64926dfc55eaac,3,2,1,0,0,2,2,0.987716167050477,3.020374640350238,2.001249345687774,0.9738055225314456,"Add(Mean(quote_volume_z_168h,120),Decay(top_long_short_account_ratio_last,12))",keep_but_cluster_cap
cluster-aaf43890cb4fd6e2,open_interest|taker_flow,additive_composite,skeleton-4c10da649dae0392,3,2,1,0,0,2,2,2.6251577139929956,0.004702216479586793,3.2963576380258215,0.9934550525689235,"Add(Delta(open_interest_value_last,120),Mean(taker_buy_sell_volume_ratio_last,336))",keep_but_cluster_cap
cluster-a5c03fd0a43bb656,basis|positioning,safe_div_abs_gated,skeleton-33ec088cb9b28bdb,2,1,1,0,0,1,1,2.744799358279943,3.8423224223722987,5.335096507435836,0.9896467883407984,"Mul(SafeDiv(Decay(mark_index_basis_bps,240),Abs(Decay(account_position_divergence,120))),Sign(Decay(trade_quote_volume,336)))",keep_but_cluster_cap
cluster-9b2c4cfc84b6e64b,liquidity|open_interest,additive_composite,skeleton-1915efa598604387,2,1,1,0,0,1,1,2.595790475039389,0.004702216479586793,3.15442730836295,0.9934563592802707,"Add(ZScore(quote_volume_z_168h),Delta(open_interest_value_mean,120))",keep_but_cluster_cap
cluster-9969f94fb2bbcd29,liquidity|open_interest,spread,skeleton-40b595326008ce1b,2,1,1,0,0,1,1,2.5957937474206605,0.004702216479586793,3.15442730836295,0.9934588160986313,"Sub(Abs(ZScore(quote_volume_z_168h)),Delta(open_interest_value_mean,120))",keep_but_cluster_cap
cluster-8168038f06c169ce,open_interest|positioning,smooth_mul_gated,skeleton-5e7b7e4e8493cd94,2,1,1,0,0,1,1,0.44800669575773955,1.2865896887819508,9.467708702523552,0.9802301012980708,"Mul(Mul(Delta(open_interest_value_last,240),TSRank(top_long_short_position_ratio_last,504)),Sign(CSRank(quote_volume_z_168h)))",keep_but_cluster_cap
cluster-f9c0c292e75ce6a0,open_interest|premium,additive_composite_gated,skeleton-4838824538f0c860,2,1,1,0,0,1,1,2.068506070771723,0.004752100546043977,3.154784394649665,0.9934470127183586,"Mul(Add(Delta(open_interest_value_mean,120),Delta(premium_close_bps,240)),Sign(TSRank(quote_volume_z_168h,3)))",keep_but_cluster_cap
cluster-ca6f52fc2af67091,open_interest|premium,spread,skeleton-d0f4a0719a2fd0d2,2,1,1,0,0,1,1,1.896896644084726,0.004702216479586793,3.15442730836295,0.9934557070787946,"Sub(Delta(open_interest_value_mean,120),Sign(Delta(premium_close_bps,504)))",keep_but_cluster_cap
cluster-42d9a5587a2fd51e,open_interest|premium,spread_gated,skeleton-1318c797e088bef7,2,1,1,0,0,1,1,2.5959766224701486,0.003654612590698863,3.154784394649665,0.9934311910295004,"Mul(Sub(Delta(open_interest_value_mean,120),Delta(premium_abs_state,36)),Sign(CSRank(quote_volume_z_168h)))",keep_but_cluster_cap
cluster-9023510440568878,open_interest|taker_flow,safe_div_abs,skeleton-263d93cb1cd147f9,2,1,1,0,0,1,1,2.0388551422102097,0.004702216479586793,3.15442730836295,0.9934546861363379,"SafeDiv(Delta(open_interest_value_mean,120),Abs(Sign(Delta(taker_buy_sell_volume_ratio_last,240))))",keep_but_cluster_cap
cluster-c4168ab11fba2db2,open_interest|taker_flow,spread,skeleton-dee68e6eeec51d13,2,1,1,0,0,1,1,2.595833511816182,0.004702216479586793,3.15442730836295,0.9934540339184762,"Sub(Delta(open_interest_value_mean,120),ZScore(taker_buy_sell_volume_ratio_last))",keep_but_cluster_cap
cluster-1fa4661399ee8474,positioning|premium,smooth_mul,skeleton-8ce6e6e3b2c45751,2,1,1,0,0,1,1,0.678828095625756,1.878597434717679,1.804613567038848,0.9657720733803804,"Mul(ZScore(account_position_divergence),Decay(premium_abs_state,96))",keep_but_cluster_cap
cluster-eed8505e03611eb7,positioning|taker_flow,smooth_mul,skeleton-8ce6e6e3b2c45751,2,2,1,0,0,1,1,0.2651380866702292,0.4867859107379432,5.522181378249874,0.9960052347557838,"Mul(ZScore(top_long_short_account_ratio_last),Decay(taker_buy_sell_volume_ratio_last,504))",keep_but_cluster_cap
cluster-a51c801f3bd3ad39,basis|open_interest,additive_composite,skeleton-2d919dceda7ef6c1,1,1,1,0,0,0,0,0.9967563438264592,0.318659423253377,7.4094843693365116,0.987873879179183,"Add(TSRank(mark_index_basis_bps,36),Delta(open_interest_value_mean,240))",keep_but_cluster_cap
cluster-907b94dcfc7fc6c2,basis|open_interest,additive_composite,skeleton-9518dbfa73ba4dcd,1,1,1,0,0,0,0,0.9446108630183228,0.318659423253377,7.4094843693365116,0.987874011896241,"Add(Mean(mark_trade_basis_bps,36),Delta(open_interest_value_mean,240))",keep_but_cluster_cap
cluster-419990551845254c,basis|open_interest,additive_composite_gated,skeleton-78a3999411b7ce88,1,1,1,0,0,0,0,2.5958193059224954,0.004702216479586793,50.0,1.0401355375891048,"Mul(Add(TSRank(mark_trade_basis_bps,36),Delta(open_interest_value_mean,120)),Sign(Decay(age_percentile_active_universe,36)))",keep_but_cluster_cap
cluster-f9ff2801c260feb3,basis|open_interest,spread,skeleton-aee02eb8c6122850,1,1,1,0,0,0,0,0.9972601249337234,0.318659423253377,7.4149648502729,0.9878734662822551,"Sub(CSRank(mark_index_basis_bps),Delta(open_interest_value_mean,240))",keep_but_cluster_cap
cluster-6a436e3376e998e5,funding_dense|positioning,safe_div_abs_gated,skeleton-5704a747fbe108b8,1,1,1,0,0,0,0,1.1636733571993043,1.167541941483944,0.5336620552779218,0.987143996925743,"Mul(SafeDiv(Decay(funding_rate_update_age_hours,120),Abs(CSRank(account_position_divergence))),Sign(Decay(age_percentile_active_universe,240)))",keep_but_cluster_cap
cluster-2bb3167f188401d8,liquidity|open_interest,additive_composite,skeleton-51f87c69a1e4ad1c,1,1,1,0,0,0,0,0.9446108630183228,0.318659423253377,7.4094843693365116,0.9878734662822551,"Add(Delta(quote_volume_z_168h,6),Delta(open_interest_value_mean,240))",keep_but_cluster_cap
cluster-c3ba0e40b5157e1a,liquidity|open_interest,additive_composite,skeleton-2a48587931282d3a,1,1,1,0,0,0,0,0.9446108630183228,0.318659423253377,7.4094843693365116,0.987873879179183,"Add(CSRank(trade_quote_volume),Delta(open_interest_value_mean,240))",keep_but_cluster_cap
cluster-0c004680db73ca86,liquidity|positioning,additive_composite,skeleton-cb65f2fc2ef4cb87,1,1,1,0,0,0,0,0.5877064278060737,0.8589838397044028,0.52766384083034,1.002753189911921,"Add(CSRank(trade_quote_volume),Decay(account_position_divergence,12))",keep_but_cluster_cap
cluster-83c1c8f403d3399e,liquidity|positioning,safe_div_abs,skeleton-677127d6451577d5,1,1,1,0,0,0,0,0.685708039841556,0.19426970532461044,4.862332635796044,0.9877207878929519,"SafeDiv(Decay(trade_quote_volume,504),Abs(Decay(account_position_divergence,120)))",keep_but_cluster_cap
cluster-ba6831a897beee69,open_interest|open_interest,safe_div_abs_gated,skeleton-c9ec07b528c76248,1,1,1,0,0,0,0,2.740981753932732,0.0657195172760543,18.16521456324074,1.031208020298472,"Mul(SafeDiv(Delta(open_interest_value_mean,120),Abs(ZScore(open_interest_mean))),Sign(Decay(log1p_listing_age_days,48)))",keep_but_cluster_cap
cluster-525be934018a9c6e,open_interest|premium,additive_composite,skeleton-01b5b94516fb0eba,1,1,1,0,0,0,0,0.9446108630183228,0.318659423253377,7.4094843693365116,0.987873879179183,"Add(Delta(open_interest_value_mean,240),Sign(Delta(premium_close_bps,36)))",keep_but_cluster_cap
cluster-c7181be1e30c76e1,open_interest|premium,additive_composite_gated,skeleton-b800ca27a5d6b1d7,1,1,1,0,0,0,0,0.9446108630183228,0.318659423253377,7.4094843693365116,0.9878753629578524,"Mul(Add(Delta(open_interest_value_mean,240),Decay(premium_abs_state,504)),Sign(Abs(ZScore(quote_volume_z_168h))))",keep_but_cluster_cap
