run_id,artifact_role,local_pointer,remote_pointer,status
A7SEARCH4,final_aggregate,G:\Project_V7_Rotation\alpha_pit_engine_crypto_20260519\reports\CRYPTO_A7SEARCH4_FINAL_AGGREGATE_STATUS_20260628.md,H:\AlphaFactory_CryptoData_archive\a7search4_final_aggregate_20260628,available_on_company_H
A7SEARCH4,source_runtime,,G:\AlphaFactory_CryptoData\research_runtime\a7search4_mixed_constrained_train_aligned_proxy_65k_20260626,source_runtime_may_be_archived
A7SEARCH1,archived_runtime,,H:\AlphaFactory_CryptoData_archive\research_runtime_archived_20260628\a7search1_cem_uct_ast_policy_bakeoff_20260618,archive_expected
A7SEARCH2,archived_runtime,,H:\AlphaFactory_CryptoData_archive\research_runtime_archived_20260628\a7search2_diversified_oi_positioning_capped_65k_20260623,archive_expected
A7SEARCH3,archived_runtime,,H:\AlphaFactory_CryptoData_archive\research_runtime_archived_20260628\a7search3_non_oi_positioning_forced_proxy_65k_20260624,archive_expected
