rank_decile,rows,post_may_eligible_count,may_vetoed_count,median_score,median_raw_may,median_residual_funding_may,median_raw_recent,post_may_eligible_rate,score_name
1,20,0,20,4.231291935168492,-14.144097347179077,-9.276536915773562,5.355766609273365,0.0,stress_analog_score
2,19,2,16,3.194961786583317,-8.026356508542364,-2.0471950935234826,3.18224739179697,0.10526315789473684,stress_analog_score
3,19,0,17,2.742534835608638,-12.587385201624627,-7.364640768822304,4.186064536630449,0.0,stress_analog_score
4,19,0,19,2.102464224420659,-14.186734196705984,-10.44952771713018,2.7858689852321614,0.0,stress_analog_score
5,19,0,19,1.70996155702039,-8.44374231426471,-4.052030769011789,3.3762141639532057,0.0,stress_analog_score
6,19,1,18,1.311901032705601,-3.194997233113452,-0.2125982871073723,3.166567756924768,0.05263157894736842,stress_analog_score
7,19,3,16,0.9885202589801367,-1.205255090363616,0.0,1.7403262905482066,0.15789473684210525,stress_analog_score
8,19,3,16,0.4250563016670767,0.0,0.0,2.127077373314978,0.15789473684210525,stress_analog_score
9,19,0,14,-0.07771718385507631,0.0,0.0,1.183604689611725,0.0,stress_analog_score
10,20,4,11,-0.6463815213463975,-3.778835972870021,-1.1414132979657776,1.8828229688057228,0.2,stress_analog_score
