candidate_id,seed,algorithm,first_evaluation,cache_hit,blocked,feasible,distance,sort_key,reason,violations,mapped_net_metric,benchmark_increment,worst_block_margin,positive_block_fraction,turnover,cost,concentration,support,gross_proxy_diagnostic_only,alignment_rule,alignment_pass,recomputed_blocked,recomputed_feasible,recomputed_violations,recomputed_distance,recomputed_sort_key,recomputed_reason
crypto-candidate:0452543307642d9f82984b74a7c2353fafc05c3d8897c88ffbd8e3d220d3b831,20260716,uct_ucb_like,true,false,false,false,-8.226992625781914,"[1,0,3,-8.226992625781914,-8.226992625781914,-8.226992625781914,1.6364418598287256,-4.0,-1.190299540540311,-1.7854493108104665,1.5249262687447533,1.6174112256586481]",STRICT_FEASIBILITY_FAIL:MAPPED_NET_METRIC|BENCHMARK_INCREMENT|POSITIVE_BLOCK_FRACTION|TURNOVER|COST,"[""MAPPED_NET_METRIC"",""BENCHMARK_INCREMENT"",""POSITIVE_BLOCK_FRACTION"",""TURNOVER"",""COST""]",-0.0008226992625781915,-0.0008226992625781915,0.00016364418598287256,0.0,1.5570898621620932,0.0007785449310810466,0.17375368656276233,0.9617411225658649,0.5798769563798651,EXACT_SAME_VISITED_CANDIDATE_STRICT_DECISION,true,false,false,"[""MAPPED_NET_METRIC"",""BENCHMARK_INCREMENT"",""POSITIVE_BLOCK_FRACTION"",""TURNOVER"",""COST""]",-8.226992625781914,"[1,0,3,-8.226992625781914,-8.226992625781914,-8.226992625781914,1.6364418598287256,-4.0,-1.190299540540311,-1.7854493108104665,1.5249262687447533,1.6174112256586481]",STRICT_FEASIBILITY_FAIL:MAPPED_NET_METRIC|BENCHMARK_INCREMENT|POSITIVE_BLOCK_FRACTION|TURNOVER|COST
crypto-candidate:1f68542c499f37ba73fedbe3bfe0526a091704c4a7852bf1910fe7edecf15589,20260716,uct_ucb_like,true,false,false,false,-5.262289756067284,"[1,0,5,-5.262289756067284,-5.262289756067284,-5.262289756067284,4.6189638256318535,-4.0,0.9162000917852224,1.3743001376778332,1.4000000000000006,1.9839633447880867]",STRICT_FEASIBILITY_FAIL:MAPPED_NET_METRIC|BENCHMARK_INCREMENT|POSITIVE_BLOCK_FRACTION,"[""MAPPED_NET_METRIC"",""BENCHMARK_INCREMENT"",""POSITIVE_BLOCK_FRACTION""]",-0.0005262289756067284,-0.0005262289756067284,0.0004618963825631854,0.0,0.9251399724644332,0.00046256998623221663,0.17999999999999997,0.9983963344788087,0.027145900163423258,EXACT_SAME_VISITED_CANDIDATE_STRICT_DECISION,true,false,false,"[""MAPPED_NET_METRIC"",""BENCHMARK_INCREMENT"",""POSITIVE_BLOCK_FRACTION""]",-5.262289756067284,"[1,0,5,-5.262289756067284,-5.262289756067284,-5.262289756067284,4.6189638256318535,-4.0,0.9162000917852224,1.3743001376778332,1.4000000000000006,1.9839633447880867]",STRICT_FEASIBILITY_FAIL:MAPPED_NET_METRIC|BENCHMARK_INCREMENT|POSITIVE_BLOCK_FRACTION
crypto-candidate:916ada6ad81baceb7f1bce7082676b93cb8a3b769652ba14732d3c71e147173a,20260716,uct_ucb_like,true,false,false,false,-6.022371260735978,"[1,0,5,-6.022371260735978,-6.022371260735978,-6.022371260735978,2.9490267966185977,-4.0,0.2482041876814911,0.3723062815222367,1.4000000000000006,1.9931271477663226]",STRICT_FEASIBILITY_FAIL:MAPPED_NET_METRIC|BENCHMARK_INCREMENT|POSITIVE_BLOCK_FRACTION,"[""MAPPED_NET_METRIC"",""BENCHMARK_INCREMENT"",""POSITIVE_BLOCK_FRACTION""]",-0.0006022371260735979,-0.0006022371260735979,0.00029490267966185977,0.0,1.1255387436955526,0.0005627693718477763,0.17999999999999997,0.9993127147766323,0.8023622519352014,EXACT_SAME_VISITED_CANDIDATE_STRICT_DECISION,true,false,false,"[""MAPPED_NET_METRIC"",""BENCHMARK_INCREMENT"",""POSITIVE_BLOCK_FRACTION""]",-6.022371260735978,"[1,0,5,-6.022371260735978,-6.022371260735978,-6.022371260735978,2.9490267966185977,-4.0,0.2482041876814911,0.3723062815222367,1.4000000000000006,1.9931271477663226]",STRICT_FEASIBILITY_FAIL:MAPPED_NET_METRIC|BENCHMARK_INCREMENT|POSITIVE_BLOCK_FRACTION
crypto-candidate:898c2b27bd4104c22e60ae260634d36f54c1745afe81e99b6fdcbae61dd4c7ea,20260716,uct_ucb_like,true,false,true,false,-11.0,"[0,0,0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0]",HARD_BLOCK:NON_FINITE_STRICT_METRICS,"[""NON_FINITE_STRICT_METRICS""]",-0.00027986784786120686,-0.00027986784786120686,,,0.173015873015873,8.650793650793651e-05,0.040625,0.0009170105456212746,-1.777810990259694,EXACT_SAME_VISITED_CANDIDATE_STRICT_DECISION,true,true,false,"[""NON_FINITE_STRICT_METRICS""]",-11.0,"[0,0,0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0]",HARD_BLOCK:NON_FINITE_STRICT_METRICS
crypto-candidate:d30bfcb7307a96b67fcf4d655770e6840a5498e430bf32d92cb5c07823f746c6,20260716,uct_ucb_like,true,false,false,false,-4.0,"[1,0,5,-4.0,-3.308134222059175,-3.308134222059175,5.941119583240636,-4.0,1.6413776953811232,2.4620665430716846,1.3655266214316275,0.9232531500572738]",STRICT_FEASIBILITY_FAIL:MAPPED_NET_METRIC|BENCHMARK_INCREMENT|POSITIVE_BLOCK_FRACTION,"[""MAPPED_NET_METRIC"",""BENCHMARK_INCREMENT"",""POSITIVE_BLOCK_FRACTION""]",-0.00033081342220591753,-0.00033081342220591753,0.0005941119583240636,0.0,0.707586691385663,0.0003537933456928315,0.18172366892841862,0.8923253150057274,2.679805570115059,EXACT_SAME_VISITED_CANDIDATE_STRICT_DECISION,true,false,false,"[""MAPPED_NET_METRIC"",""BENCHMARK_INCREMENT"",""POSITIVE_BLOCK_FRACTION""]",-4.0,"[1,0,5,-4.0,-3.308134222059175,-3.308134222059175,5.941119583240636,-4.0,1.6413776953811232,2.4620665430716846,1.3655266214316275,0.9232531500572738]",STRICT_FEASIBILITY_FAIL:MAPPED_NET_METRIC|BENCHMARK_INCREMENT|POSITIVE_BLOCK_FRACTION
crypto-candidate:a9b0584235561cf28b808bd2f03d5551eaec7dfa77771100e018aad308bd4c96,20260716,uct_ucb_like,true,false,false,false,-4.0,"[1,0,5,-4.0,-2.042943549108185,-2.042943549108185,7.9549546966651885,-4.0,2.915179322474574,4.372768983711859,3.0990135352144987,1.9931224209078402]",STRICT_FEASIBILITY_FAIL:MAPPED_NET_METRIC|BENCHMARK_INCREMENT|POSITIVE_BLOCK_FRACTION,"[""MAPPED_NET_METRIC"",""BENCHMARK_INCREMENT"",""POSITIVE_BLOCK_FRACTION""]",-0.0002042943549108185,-0.0002042943549108185,0.0007954954696665189,0.0,0.32544620325762785,0.00016272310162881396,0.09504932323927506,0.9993122420907841,-0.10960684008408625,EXACT_SAME_VISITED_CANDIDATE_STRICT_DECISION,true,false,false,"[""MAPPED_NET_METRIC"",""BENCHMARK_INCREMENT"",""POSITIVE_BLOCK_FRACTION""]",-4.0,"[1,0,5,-4.0,-2.042943549108185,-2.042943549108185,7.9549546966651885,-4.0,2.915179322474574,4.372768983711859,3.0990135352144987,1.9931224209078402]",STRICT_FEASIBILITY_FAIL:MAPPED_NET_METRIC|BENCHMARK_INCREMENT|POSITIVE_BLOCK_FRACTION
crypto-candidate:4b39a803d344c4373cf35b2dd4bc2d0145d19a76b4705890c34fb2cd30de1323,20260716,uct_ucb_like,true,false,false,false,-5.0620838089580245,"[1,0,5,-5.0620838089580245,-5.0620838089580245,-5.0620838089580245,3.7810730559386325,-4.0,1.6413776953811232,2.4620665430716846,1.3655266214316275,0.9232531500572738]",STRICT_FEASIBILITY_FAIL:MAPPED_NET_METRIC|BENCHMARK_INCREMENT|POSITIVE_BLOCK_FRACTION,"[""MAPPED_NET_METRIC"",""BENCHMARK_INCREMENT"",""POSITIVE_BLOCK_FRACTION""]",-0.0005062083808958025,-0.0005062083808958025,0.0003781073055938633,0.0,0.707586691385663,0.0003537933456928315,0.18172366892841862,0.8923253150057274,-2.679805570115059,EXACT_SAME_VISITED_CANDIDATE_STRICT_DECISION,true,false,false,"[""MAPPED_NET_METRIC"",""BENCHMARK_INCREMENT"",""POSITIVE_BLOCK_FRACTION""]",-5.0620838089580245,"[1,0,5,-5.0620838089580245,-5.0620838089580245,-5.0620838089580245,3.7810730559386325,-4.0,1.6413776953811232,2.4620665430716846,1.3655266214316275,0.9232531500572738]",STRICT_FEASIBILITY_FAIL:MAPPED_NET_METRIC|BENCHMARK_INCREMENT|POSITIVE_BLOCK_FRACTION
crypto-candidate:946a9aff1354f111846fdf7fb42cc421b57f1cc3d20da82de1c0b66173273bcc,20260716,uct_ucb_like,true,false,false,false,-2.3333333333333335,"[1,0,5,-2.3333333333333335,-1.0019569137841229,-1.0019569137841229,8.666094826397403,-2.3333333333333335,3.337888980113118,5.006833470169677,1.5829983291562237,1.8005502063273726]",STRICT_FEASIBILITY_FAIL:MAPPED_NET_METRIC|BENCHMARK_INCREMENT|POSITIVE_BLOCK_FRACTION,"[""MAPPED_NET_METRIC"",""BENCHMARK_INCREMENT"",""POSITIVE_BLOCK_FRACTION""]",-0.00010019569137841228,-0.00010019569137841228,0.0008666094826397404,0.16666666666666666,0.19863330596606457,9.931665298303229e-05,0.1708500835421888,0.9800550206327373,1.9081773362132515,EXACT_SAME_VISITED_CANDIDATE_STRICT_DECISION,true,false,false,"[""MAPPED_NET_METRIC"",""BENCHMARK_INCREMENT"",""POSITIVE_BLOCK_FRACTION""]",-2.3333333333333335,"[1,0,5,-2.3333333333333335,-1.0019569137841229,-1.0019569137841229,8.666094826397403,-2.3333333333333335,3.337888980113118,5.006833470169677,1.5829983291562237,1.8005502063273726]",STRICT_FEASIBILITY_FAIL:MAPPED_NET_METRIC|BENCHMARK_INCREMENT|POSITIVE_BLOCK_FRACTION
crypto-candidate:af5bfd1ea633e3eee431ecc18d45755672cb4e3b17fdf5dee76c72370e26b442,20260716,uct_ucb_like,true,false,false,false,-4.365884377486247,"[1,0,5,-4.365884377486247,-4.365884377486247,-4.365884377486247,5.48052710959229,-4.0,1.3240195350170718,1.9860293025256073,1.3563553009372125,0.05498281786941561]",STRICT_FEASIBILITY_FAIL:MAPPED_NET_METRIC|BENCHMARK_INCREMENT|POSITIVE_BLOCK_FRACTION,"[""MAPPED_NET_METRIC"",""BENCHMARK_INCREMENT"",""POSITIVE_BLOCK_FRACTION""]",-0.00043658843774862474,-0.00043658843774862474,0.000548052710959229,0.0,0.8027941394948784,0.0004013970697474392,0.18218223495313937,0.8054982817869416,0.8498479441889387,EXACT_SAME_VISITED_CANDIDATE_STRICT_DECISION,true,false,false,"[""MAPPED_NET_METRIC"",""BENCHMARK_INCREMENT"",""POSITIVE_BLOCK_FRACTION""]",-4.365884377486247,"[1,0,5,-4.365884377486247,-4.365884377486247,-4.365884377486247,5.48052710959229,-4.0,1.3240195350170718,1.9860293025256073,1.3563553009372125,0.05498281786941561]",STRICT_FEASIBILITY_FAIL:MAPPED_NET_METRIC|BENCHMARK_INCREMENT|POSITIVE_BLOCK_FRACTION
crypto-candidate:6d0668b5c7f645dcd4cd7214e0c8782fcb8327f1ee8158328aee38412526121b,20260716,uct_ucb_like,true,false,false,false,-4.0,"[1,0,5,-4.0,-2.5733165025309406,-2.5733165025309406,6.759572901947296,-4.0,2.4009212344541684,3.6013818516812526,1.4000000000000001,1.947308132875143]",STRICT_FEASIBILITY_FAIL:MAPPED_NET_METRIC|BENCHMARK_INCREMENT|POSITIVE_BLOCK_FRACTION,"[""MAPPED_NET_METRIC"",""BENCHMARK_INCREMENT"",""POSITIVE_BLOCK_FRACTION""]",-0.00025733165025309407,-0.00025733165025309407,0.0006759572901947296,0.0,0.47972362966374943,0.0002398618148318747,0.18,0.9947308132875143,1.527472792435609,EXACT_SAME_VISITED_CANDIDATE_STRICT_DECISION,true,false,false,"[""MAPPED_NET_METRIC"",""BENCHMARK_INCREMENT"",""POSITIVE_BLOCK_FRACTION""]",-4.0,"[1,0,5,-4.0,-2.5733165025309406,-2.5733165025309406,6.759572901947296,-4.0,2.4009212344541684,3.6013818516812526,1.4000000000000001,1.947308132875143]",STRICT_FEASIBILITY_FAIL:MAPPED_NET_METRIC|BENCHMARK_INCREMENT|POSITIVE_BLOCK_FRACTION
