field_id,representation_id,primitive_id,mechanism_family,mapping_id,target_horizon_hours,proposals,first_evaluations,cache_hits
buy_agg_trade_count,identity,Acceleration,CROSS_SECTIONAL_RELATIVE,CROSS_SECTIONAL_ZERO_NET,4,1,1,0
buy_agg_trade_count,identity,Acceleration,DIRECTIONAL_STATEFUL,TIME_SERIES_DIRECTIONAL_STATEFUL,1,1,1,0
buy_agg_trade_count,identity,Acceleration,DIRECTIONAL_STATEFUL,TIME_SERIES_DIRECTIONAL_STATEFUL,4,1,1,0
buy_agg_trade_count,identity,Delta,CROSS_SECTIONAL_RELATIVE,CROSS_SECTIONAL_ZERO_NET,1,1,1,0
buy_agg_trade_count,identity,Delta,DIRECTIONAL_STATEFUL,TIME_SERIES_DIRECTIONAL_STATEFUL,1,1,1,0
buy_agg_trade_count,identity,EventWindow,CROSS_SECTIONAL_RELATIVE,CROSS_SECTIONAL_ZERO_NET,4,1,1,0
buy_agg_trade_count,identity,FirstHit,CROSS_SECTIONAL_RELATIVE,CROSS_SECTIONAL_ZERO_NET,4,2,1,1
buy_agg_trade_count,identity,MultiScaleRelation,CROSS_SECTIONAL_RELATIVE,CROSS_SECTIONAL_ZERO_NET,4,2,2,0
buy_agg_trade_count,identity,PathShape,DIRECTIONAL_STATEFUL,TIME_SERIES_DIRECTIONAL_STATEFUL,4,1,1,0
buy_agg_trade_count,identity,Persistence,DIRECTIONAL_STATEFUL,TIME_SERIES_DIRECTIONAL_STATEFUL,1,1,1,0
buy_agg_trade_count,identity,Persistence,DIRECTIONAL_STATEFUL,TIME_SERIES_DIRECTIONAL_STATEFUL,4,1,1,0
buy_agg_trade_count,identity,Slope,DIRECTIONAL_STATEFUL,TIME_SERIES_DIRECTIONAL_STATEFUL,4,1,1,0
buy_agg_trade_count,identity,TimeSince,CROSS_SECTIONAL_RELATIVE,CROSS_SECTIONAL_ZERO_NET,1,1,1,0
buy_agg_trade_count,log1p_nonnegative,Delta,DIRECTIONAL_STATEFUL,TIME_SERIES_DIRECTIONAL_STATEFUL,1,1,1,0
buy_agg_trade_count,log1p_nonnegative,EventWindow,DIRECTIONAL_STATEFUL,TIME_SERIES_DIRECTIONAL_STATEFUL,4,1,1,0
buy_agg_trade_count,log1p_nonnegative,MultiScaleRelation,CROSS_SECTIONAL_RELATIVE,CROSS_SECTIONAL_ZERO_NET,1,1,1,0
buy_agg_trade_count,log1p_nonnegative,MultiScaleRelation,DIRECTIONAL_STATEFUL,TIME_SERIES_DIRECTIONAL_STATEFUL,1,1,1,0
buy_agg_trade_count,log1p_nonnegative,StateAge,SPARSE_EVENT_CARRY,SPARSE_EVENT_OR_CARRY,4,1,1,0
buy_agg_trade_count,log1p_nonnegative,TimeSince,CROSS_SECTIONAL_RELATIVE,CROSS_SECTIONAL_ZERO_NET,1,1,1,0
buy_agg_trade_count,log1p_nonnegative,TimeSince,SPARSE_EVENT_CARRY,SPARSE_EVENT_OR_CARRY,4,1,1,0
buy_notional,identity,Acceleration,DIRECTIONAL_STATEFUL,TIME_SERIES_DIRECTIONAL_STATEFUL,4,1,1,0
buy_notional,identity,Delta,CROSS_SECTIONAL_RELATIVE,CROSS_SECTIONAL_ZERO_NET,1,1,1,0
buy_notional,identity,Delta,DIRECTIONAL_STATEFUL,TIME_SERIES_DIRECTIONAL_STATEFUL,1,1,1,0
buy_notional,identity,Duration,DIRECTIONAL_STATEFUL,TIME_SERIES_DIRECTIONAL_STATEFUL,1,1,1,0
buy_notional,identity,EventWindow,DIRECTIONAL_STATEFUL,TIME_SERIES_DIRECTIONAL_STATEFUL,4,1,1,0
buy_notional,identity,EventWindow,SPARSE_EVENT_CARRY,SPARSE_EVENT_OR_CARRY,4,1,1,0
buy_notional,identity,LastHit,DIRECTIONAL_STATEFUL,TIME_SERIES_DIRECTIONAL_STATEFUL,4,1,1,0
buy_notional,identity,MultiScaleRelation,DIRECTIONAL_STATEFUL,TIME_SERIES_DIRECTIONAL_STATEFUL,4,2,2,0
buy_notional,identity,PathShape,DIRECTIONAL_STATEFUL,TIME_SERIES_DIRECTIONAL_STATEFUL,1,1,1,0
buy_notional,identity,PathShape,DIRECTIONAL_STATEFUL,TIME_SERIES_DIRECTIONAL_STATEFUL,4,2,2,0
buy_notional,identity,Persistence,CROSS_SECTIONAL_RELATIVE,CROSS_SECTIONAL_ZERO_NET,1,1,1,0
buy_notional,identity,Persistence,CROSS_SECTIONAL_RELATIVE,CROSS_SECTIONAL_ZERO_NET,4,2,2,0
buy_notional,identity,Persistence,DIRECTIONAL_STATEFUL,TIME_SERIES_DIRECTIONAL_STATEFUL,1,5,2,3
buy_notional,identity,Persistence,DIRECTIONAL_STATEFUL,TIME_SERIES_DIRECTIONAL_STATEFUL,4,3,2,1
buy_notional,identity,Persistence,SPARSE_EVENT_CARRY,SPARSE_EVENT_OR_CARRY,4,1,1,0
buy_notional,identity,Slope,CROSS_SECTIONAL_RELATIVE,CROSS_SECTIONAL_ZERO_NET,4,2,2,0
buy_notional,identity,Transition,DIRECTIONAL_STATEFUL,TIME_SERIES_DIRECTIONAL_STATEFUL,4,1,1,0
buy_notional,log1p_nonnegative,EventWindow,CROSS_SECTIONAL_RELATIVE,CROSS_SECTIONAL_ZERO_NET,4,1,1,0
buy_notional,log1p_nonnegative,EventWindow,DIRECTIONAL_STATEFUL,TIME_SERIES_DIRECTIONAL_STATEFUL,4,1,1,0
buy_notional,log1p_nonnegative,EventWindow,SPARSE_EVENT_CARRY,SPARSE_EVENT_OR_CARRY,1,1,1,0
buy_notional,log1p_nonnegative,MultiScaleRelation,CROSS_SECTIONAL_RELATIVE,CROSS_SECTIONAL_ZERO_NET,1,2,2,0
buy_notional,log1p_nonnegative,MultiScaleRelation,DIRECTIONAL_STATEFUL,TIME_SERIES_DIRECTIONAL_STATEFUL,1,1,1,0
buy_notional,log1p_nonnegative,Persistence,CROSS_SECTIONAL_RELATIVE,CROSS_SECTIONAL_ZERO_NET,1,1,1,0
buy_quantity,identity,EventWindow,CROSS_SECTIONAL_RELATIVE,CROSS_SECTIONAL_ZERO_NET,1,1,1,0
buy_quantity,identity,MultiScaleRelation,CROSS_SECTIONAL_RELATIVE,CROSS_SECTIONAL_ZERO_NET,4,1,1,0
buy_quantity,identity,MultiScaleRelation,DIRECTIONAL_STATEFUL,TIME_SERIES_DIRECTIONAL_STATEFUL,4,1,1,0
buy_quantity,identity,Persistence,DIRECTIONAL_STATEFUL,TIME_SERIES_DIRECTIONAL_STATEFUL,1,1,1,0
buy_quantity,identity,Persistence,DIRECTIONAL_STATEFUL,TIME_SERIES_DIRECTIONAL_STATEFUL,4,1,1,0
buy_quantity,identity,Persistence,SPARSE_EVENT_CARRY,SPARSE_EVENT_OR_CARRY,4,1,1,0
