candidate_id,expression,objective_family,source_stage,field_families,fields,operator_signature,window_signature,skeleton_key,production_key,historical_source_ok,field_lineage_ok,pit_policy_ok,negative_control_attached,selected_for_family_balanced_preflight,preflight_decision,shared_pool_stage,control_modes
a7al2x3_c6d040e141ee4a7a,"Mul(Winsor(ZScore(Delta(open_interest_last,12))),Winsor(ZScore(Delta(index_close,12))))",F0_OI_delta_price_interaction,a7al2x3_family_balanced_dry_generation,open_interest|price,open_interest_last|index_close,Delta|Mul|Winsor|ZScore,12,skeleton-0f95d494e3163e7b,a7al2x3::F0_OI_delta_price_interaction::open_interest_last|index_close::Delta|Mul|Winsor|ZScore::12,True,True,True,True,True,,selected_for_future_family_balanced_preflight,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random
a7al2x3_a685d04007266d3e,"Mul(Sign(Delta(open_interest_last,12)),Rank(Delta(index_close,12)))",F0_OI_delta_price_interaction,a7al2x3_family_balanced_dry_generation,open_interest|price,open_interest_last|index_close,Delta|Mul|Rank|Sign,12,skeleton-57a021ebecabcc57,a7al2x3::F0_OI_delta_price_interaction::open_interest_last|index_close::Delta|Mul|Rank|Sign::12,True,True,True,True,True,,selected_for_future_family_balanced_preflight,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random
a7al2x3_7ea2d37cbc880c31,"Sub(ZScore(Delta(open_interest_last,12)),ZScore(Delta(index_close,12)))",F0_OI_delta_price_interaction,a7al2x3_family_balanced_dry_generation,open_interest|price,open_interest_last|index_close,Delta|Sub|ZScore,12,skeleton-7bb80280bed53044,a7al2x3::F0_OI_delta_price_interaction::open_interest_last|index_close::Delta|Sub|ZScore::12,True,True,True,True,True,,selected_for_future_family_balanced_preflight,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random
a7al2x3_e2d80967eacd522d,"Sub(Rank(Mean(Delta(open_interest_last,12),12)),Rank(Mean(Delta(index_close,12),12)))",F0_OI_delta_price_interaction,a7al2x3_family_balanced_dry_generation,open_interest|price,open_interest_last|index_close,Delta|Mean|Rank|Sub,12,skeleton-97885bc9cf5b75ae,a7al2x3::F0_OI_delta_price_interaction::open_interest_last|index_close::Delta|Mean|Rank|Sub::12,True,True,True,True,True,,selected_for_future_family_balanced_preflight,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random
a7al2x3_66e1442493b16731,"Mul(Winsor(ZScore(Delta(open_interest_last,168))),Winsor(ZScore(Delta(index_close,12))))",F0_OI_delta_price_interaction,a7al2x3_family_balanced_dry_generation,open_interest|price,open_interest_last|index_close,Delta|Mul|Winsor|ZScore,12|168,skeleton-0f95d494e3163e7b,a7al2x3::F0_OI_delta_price_interaction::open_interest_last|index_close::Delta|Mul|Winsor|ZScore::12|168,True,True,True,True,True,,selected_for_future_family_balanced_preflight,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random
a7al2x3_93c3678f22a08669,"Mul(Winsor(ZScore(Delta(open_interest_last,24))),Winsor(ZScore(Delta(index_close,12))))",F0_OI_delta_price_interaction,a7al2x3_family_balanced_dry_generation,open_interest|price,open_interest_last|index_close,Delta|Mul|Winsor|ZScore,12|24,skeleton-0f95d494e3163e7b,a7al2x3::F0_OI_delta_price_interaction::open_interest_last|index_close::Delta|Mul|Winsor|ZScore::12|24,True,True,True,True,True,,selected_for_future_family_balanced_preflight,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random
a7al2x3_4cd7689ef5bcda11,"Mul(Winsor(ZScore(Delta(open_interest_last,12))),Winsor(ZScore(Delta(index_close,336))))",F0_OI_delta_price_interaction,a7al2x3_family_balanced_dry_generation,open_interest|price,open_interest_last|index_close,Delta|Mul|Winsor|ZScore,12|336,skeleton-0f95d494e3163e7b,a7al2x3::F0_OI_delta_price_interaction::open_interest_last|index_close::Delta|Mul|Winsor|ZScore::12|336,True,True,True,True,True,,selected_for_future_family_balanced_preflight,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random
a7al2x3_035db391f91d7640,"Mul(Winsor(ZScore(Delta(open_interest_last,12))),Winsor(ZScore(Delta(index_close,48))))",F0_OI_delta_price_interaction,a7al2x3_family_balanced_dry_generation,open_interest|price,open_interest_last|index_close,Delta|Mul|Winsor|ZScore,12|48,skeleton-0f95d494e3163e7b,a7al2x3::F0_OI_delta_price_interaction::open_interest_last|index_close::Delta|Mul|Winsor|ZScore::12|48,True,True,True,True,True,,selected_for_future_family_balanced_preflight,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random
a7al2x3_8943bb8dd3c5f640,"Add(ZScore(Delta(open_interest_last,168)),Neg(Rank(Mean(mark_index_basis_bps,168))))",F1_OI_basis_premium_interaction,a7al2x3_family_balanced_dry_generation,basis|open_interest,open_interest_last|mark_index_basis_bps,Add|Delta|Mean|Neg|Rank|ZScore,168,skeleton-0f63c80be98e501f,a7al2x3::F1_OI_basis_premium_interaction::open_interest_last|mark_index_basis_bps::Add|Delta|Mean|Neg|Rank|ZScore::168,True,True,True,True,True,,selected_for_future_family_balanced_preflight,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random
a7al2x3_8133b78c17250336,"Mul(Clip(ZScore(Mean(mark_index_basis_bps,168))),Sign(Delta(open_interest_last,168)))",F1_OI_basis_premium_interaction,a7al2x3_family_balanced_dry_generation,basis|open_interest,open_interest_last|mark_index_basis_bps,Clip|Delta|Mean|Mul|Sign|ZScore,168,skeleton-2f4edf4dd2dd7cdd,a7al2x3::F1_OI_basis_premium_interaction::open_interest_last|mark_index_basis_bps::Clip|Delta|Mean|Mul|Sign|ZScore::168,True,True,True,True,True,,selected_for_future_family_balanced_preflight,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random
