candidate_id,lane,horizon,control_mode,split,net10,active_hours
a7y1_core3_agg_metrics_F4_oi_x_aggflow_24_348654b50bf4,core3_agg_metrics,24,sign_flip,fresh_may_2026,-1.3666140674552574,480
a7y1_core3_agg_metrics_F4_oi_x_aggflow_24_348654b50bf4,core3_agg_metrics,24,wrong_lag,train_2024,-3.8381348608167354,8705
a7y1_core3_agg_metrics_F4_oi_x_aggflow_24_348654b50bf4,core3_agg_metrics,24,wrong_lag,validation_2025H1,0.04062963496028349,4341
a7y1_core3_agg_metrics_F4_oi_x_aggflow_24_348654b50bf4,core3_agg_metrics,24,wrong_lag,recent_oos_2025H2_2026Apr,-3.221455453329735,7289
a7y1_core3_agg_metrics_F4_oi_x_aggflow_24_348654b50bf4,core3_agg_metrics,24,wrong_lag,fresh_may_2026,0.8265976582536464,480
a7y1_core3_agg_metrics_F4_oi_x_aggflow_24_348654b50bf4,core3_agg_metrics,24,row_shuffle,train_2024,-2.8020458286362873,8728
a7y1_core3_agg_metrics_F4_oi_x_aggflow_24_348654b50bf4,core3_agg_metrics,24,row_shuffle,validation_2025H1,-2.7927773506499554,4340
a7y1_core3_agg_metrics_F4_oi_x_aggflow_24_348654b50bf4,core3_agg_metrics,24,row_shuffle,recent_oos_2025H2_2026Apr,-4.5902860551932925,7292
a7y1_core3_agg_metrics_F4_oi_x_aggflow_24_348654b50bf4,core3_agg_metrics,24,row_shuffle,fresh_may_2026,-0.4835794924207982,480
a7y1_core3_agg_metrics_F4_oi_x_aggflow_24_348654b50bf4,core3_agg_metrics,24,time_shuffle,train_2024,-5.1507765966248815,8715
a7y1_core3_agg_metrics_F4_oi_x_aggflow_24_348654b50bf4,core3_agg_metrics,24,time_shuffle,validation_2025H1,-1.754658430376603,4323
a7y1_core3_agg_metrics_F4_oi_x_aggflow_24_348654b50bf4,core3_agg_metrics,24,time_shuffle,recent_oos_2025H2_2026Apr,-3.213533586153063,7271
a7y1_core3_agg_metrics_F4_oi_x_aggflow_24_348654b50bf4,core3_agg_metrics,24,time_shuffle,fresh_may_2026,-0.22893370358613,480
a7y1_core3_agg_metrics_F4_oi_x_aggflow_24_1c5043146de8,core3_agg_metrics,24,sign_flip,train_2024,-6.537925215517712,8745
a7y1_core3_agg_metrics_F4_oi_x_aggflow_24_1c5043146de8,core3_agg_metrics,24,sign_flip,validation_2025H1,-2.252739763448856,4342
a7y1_core3_agg_metrics_F4_oi_x_aggflow_24_1c5043146de8,core3_agg_metrics,24,sign_flip,recent_oos_2025H2_2026Apr,-4.42449434648465,7292
a7y1_core3_agg_metrics_F4_oi_x_aggflow_24_1c5043146de8,core3_agg_metrics,24,sign_flip,fresh_may_2026,-1.1645978368972458,480
a7y1_core3_agg_metrics_F4_oi_x_aggflow_24_1c5043146de8,core3_agg_metrics,24,wrong_lag,train_2024,-4.049291543462402,8705
a7y1_core3_agg_metrics_F4_oi_x_aggflow_24_1c5043146de8,core3_agg_metrics,24,wrong_lag,validation_2025H1,0.06845137584822591,4341
a7y1_core3_agg_metrics_F4_oi_x_aggflow_24_1c5043146de8,core3_agg_metrics,24,wrong_lag,recent_oos_2025H2_2026Apr,-3.528662075307887,7289
a7y1_core3_agg_metrics_F4_oi_x_aggflow_24_1c5043146de8,core3_agg_metrics,24,wrong_lag,fresh_may_2026,0.6348271766859659,480
a7y1_core3_agg_metrics_F4_oi_x_aggflow_24_1c5043146de8,core3_agg_metrics,24,row_shuffle,train_2024,-7.834176774794859,8728
a7y1_core3_agg_metrics_F4_oi_x_aggflow_24_1c5043146de8,core3_agg_metrics,24,row_shuffle,validation_2025H1,-3.028676676040538,4341
a7y1_core3_agg_metrics_F4_oi_x_aggflow_24_1c5043146de8,core3_agg_metrics,24,row_shuffle,recent_oos_2025H2_2026Apr,-5.261078205861466,7292
a7y1_core3_agg_metrics_F4_oi_x_aggflow_24_1c5043146de8,core3_agg_metrics,24,row_shuffle,fresh_may_2026,-0.33083860319347835,480
a7y1_core3_agg_metrics_F4_oi_x_aggflow_24_1c5043146de8,core3_agg_metrics,24,time_shuffle,train_2024,-7.3926093188629505,8713
a7y1_core3_agg_metrics_F4_oi_x_aggflow_24_1c5043146de8,core3_agg_metrics,24,time_shuffle,validation_2025H1,-3.730958124595966,4328
a7y1_core3_agg_metrics_F4_oi_x_aggflow_24_1c5043146de8,core3_agg_metrics,24,time_shuffle,recent_oos_2025H2_2026Apr,-5.028475759690756,7270
a7y1_core3_agg_metrics_F4_oi_x_aggflow_24_1c5043146de8,core3_agg_metrics,24,time_shuffle,fresh_may_2026,-0.6093637358911499,478
