mutation_kind,mutation_detail,queue_rows
interaction_probe,gate_top_global_divergence_24,213
interaction_probe,gate_account_divergence_24,207
wrapper_probe,wrap_sign,200
wrapper_probe,wrap_abs,199
wrapper_probe,wrap_clip,180
wrapper_probe,wrap_csrank,176
wrapper_probe,wrap_neg,174
wrapper_probe,wrap_zscore,166
interaction_probe,gate_leverage_crowding,160
interaction_probe,gate_liquidity_cycle,158
interaction_probe,oi_residual_24,129
interaction_probe,oi_scale_168,129
parent_identity,keep,105
same_type_field_swap,field_swap_positioning_to_top_global_account_divergence,100
same_type_field_swap,field_swap_positioning_to_top_long_short_position_ratio_mean,100
same_type_field_swap,field_swap_positioning_to_top_long_short_account_ratio_mean,97
same_type_field_swap,field_swap_positioning_to_top_long_short_account_ratio_last,87
same_type_field_swap,field_swap_positioning_to_global_long_short_account_ratio_last,86
same_type_field_swap,field_swap_positioning_to_top_long_short_position_ratio_last,79
same_type_field_swap,field_swap_positioning_to_account_position_divergence,78
window_grid,window_48_to_8,76
window_grid,window_48_to_6,76
window_grid,window_48_to_168,76
window_grid,window_48_to_3,76
window_grid,window_48_to_720,75
window_grid,window_48_to_96,75
window_grid,window_48_to_72,75
window_grid,window_48_to_12,75
window_grid,window_48_to_336,75
window_grid,window_48_to_4,75
window_grid,window_48_to_504,75
window_grid,window_48_to_16,75
window_grid,window_48_to_120,75
window_grid,window_48_to_240,75
window_grid,window_48_to_24,75
same_type_field_swap,field_swap_basis_to_premium_close_bps,73
same_type_field_swap,field_swap_basis_to_mark_trade_basis_bps,72
same_type_field_swap,field_swap_basis_to_premium_abs_168h,71
window_grid,window_48_to_36,69
same_type_field_swap,field_swap_basis_to_basis_abs_168h,61
same_type_field_swap,field_swap_positioning_to_global_long_short_account_ratio_mean,57
window_grid,window_168_to_12,45
window_grid,window_168_to_720,44
window_grid,window_168_to_120,44
window_grid,window_168_to_336,44
window_grid,window_168_to_16,44
window_grid,window_168_to_8,43
window_grid,window_168_to_48,43
window_grid,window_168_to_6,43
window_grid,window_168_to_72,43
window_grid,window_168_to_240,43
window_grid,window_168_to_24,42
window_grid,window_168_to_3,42
window_grid,window_168_to_4,42
window_grid,window_168_to_504,41
window_grid,window_168_to_36,41
window_grid,window_168_to_96,40
window_grid,window_4_to_72,34
window_grid,window_4_to_720,34
window_grid,window_4_to_36,34
window_grid,window_4_to_6,34
window_grid,window_4_to_96,33
window_grid,window_4_to_8,33
window_grid,window_4_to_48,33
window_grid,window_4_to_168,33
window_grid,window_4_to_24,33
window_grid,window_4_to_120,33
window_grid,window_4_to_16,33
window_grid,window_4_to_336,33
window_grid,window_4_to_240,33
window_grid,window_4_to_12,32
same_type_field_swap,field_swap_open_interest_to_open_interest_value_change_24h,31
window_grid,window_4_to_504,31
same_type_field_swap,field_swap_open_interest_to_open_interest_change_24h,30
same_type_field_swap,field_swap_open_interest_to_open_interest_value_last,28
window_grid,window_4_to_3,26
same_type_field_swap,field_swap_regime_to_basis_dislocation_state,25
same_type_field_swap,field_swap_regime_to_stress_proxy_state,23
same_type_field_swap,field_swap_regime_to_leverage_crowding_state,21
same_type_field_swap,field_swap_regime_to_liquidity_cycle_state,21
window_grid,window_8_to_120,20
window_grid,window_8_to_720,20
window_grid,window_8_to_16,20
window_grid,window_8_to_36,20
window_grid,window_8_to_3,20
window_grid,window_8_to_336,20
window_grid,window_8_to_12,19
window_grid,window_6_to_720,19
window_grid,window_6_to_504,19
window_grid,window_3_to_36,19
window_grid,window_3_to_504,19
window_grid,window_3_to_6,19
window_grid,window_3_to_120,19
window_grid,window_3_to_720,19
window_grid,window_6_to_24,19
window_grid,window_3_to_16,19
window_grid,window_3_to_24,19
window_grid,window_3_to_240,19
window_grid,window_8_to_240,19
window_grid,window_8_to_4,19
window_grid,window_3_to_168,19
window_grid,window_3_to_8,19
window_grid,window_3_to_12,19
window_grid,window_3_to_72,19
window_grid,window_8_to_72,19
window_grid,window_6_to_120,19
window_grid,window_6_to_48,19
window_grid,window_8_to_24,19
window_grid,window_24_to_336,19
window_grid,window_24_to_720,19
window_grid,window_24_to_120,19
window_grid,window_6_to_336,19
window_grid,window_8_to_168,19
window_grid,window_6_to_3,19
window_grid,window_6_to_240,19
window_grid,window_24_to_240,19
window_grid,window_3_to_336,18
window_grid,window_8_to_6,18
window_grid,window_6_to_36,18
window_grid,window_3_to_96,18
window_grid,window_8_to_504,18
window_grid,window_24_to_48,18
window_grid,window_24_to_168,18
window_grid,window_24_to_16,18
window_grid,window_24_to_36,18
window_grid,window_24_to_12,18
window_grid,window_3_to_4,18
window_grid,window_3_to_48,18
window_grid,window_24_to_3,18
window_grid,window_8_to_96,17
window_grid,window_24_to_4,17
window_grid,window_24_to_504,17
window_grid,window_6_to_168,17
window_grid,window_24_to_72,17
window_grid,window_24_to_96,16
window_grid,window_8_to_48,16
same_type_field_swap,field_swap_open_interest_to_open_interest_last,16
window_grid,window_6_to_72,16
window_grid,window_6_to_12,16
window_grid,window_6_to_16,16
window_grid,window_24_to_6,16
window_grid,window_2_to_48,15
window_grid,window_2_to_4,15
window_grid,window_6_to_8,15
window_grid,window_6_to_96,15
window_grid,window_2_to_16,15
window_grid,window_2_to_24,15
window_grid,window_2_to_36,15
window_grid,window_2_to_720,15
window_grid,window_2_to_6,15
window_grid,window_2_to_12,15
window_grid,window_24_to_8,15
window_grid,window_2_to_336,15
window_grid,window_2_to_504,15
window_grid,window_2_to_3,14
window_grid,window_2_to_120,14
same_type_field_swap,field_swap_open_interest_to_open_interest_mean,14
window_grid,window_96_to_8,13
window_grid,window_96_to_6,13
window_grid,window_96_to_3,13
window_grid,window_96_to_336,13
window_grid,window_96_to_48,13
window_grid,window_2_to_8,13
window_grid,window_96_to_720,13
window_grid,window_96_to_72,13
same_type_field_swap,field_swap_regime_to_market_breadth_state,13
window_grid,window_96_to_16,13
window_grid,window_96_to_120,13
window_grid,window_96_to_240,12
window_grid,window_2_to_240,12
window_grid,window_96_to_24,12
window_grid,window_96_to_4,12
window_grid,window_2_to_96,12
window_grid,window_96_to_12,12
window_grid,window_96_to_504,12
same_type_field_swap,field_swap_age_x_vol_to_rolling_coverage_168h,11
window_grid,window_96_to_168,11
window_grid,window_2_to_72,11
window_grid,window_2_to_168,11
same_type_field_swap,field_swap_listing_age_to_sqrt_listing_age_days,11
window_grid,window_6_to_4,11
same_type_field_swap,field_swap_basis_to_mark_index_basis_bps,11
same_type_field_swap,field_swap_listing_age_to_log1p_listing_age_days,11
window_grid,window_96_to_36,10
same_type_field_swap,field_swap_listing_age_to_listing_age_days,10
window_grid,window_72_to_120,9
window_grid,window_72_to_16,9
window_grid,window_72_to_6,9
window_grid,window_72_to_48,9
window_grid,window_72_to_36,9
window_grid,window_72_to_4,9
window_grid,window_72_to_240,9
window_grid,window_72_to_96,9
window_grid,window_72_to_720,9
window_grid,window_72_to_8,9
window_grid,window_72_to_3,9
window_grid,window_504_to_720,9
window_grid,window_504_to_3,9
window_grid,window_504_to_336,9
window_grid,window_504_to_36,9
window_grid,window_504_to_12,9
window_grid,window_504_to_8,9
window_grid,window_504_to_16,9
window_grid,window_504_to_168,9
window_grid,window_504_to_24,9
window_grid,window_36_to_120,9
window_grid,window_36_to_4,9
window_grid,window_36_to_336,9
window_grid,window_36_to_3,9
window_grid,window_36_to_48,9
window_grid,window_36_to_24,9
window_grid,window_36_to_168,9
window_grid,window_36_to_16,9
window_grid,window_36_to_240,9
window_grid,window_36_to_720,9
window_grid,window_36_to_72,9
window_grid,window_36_to_6,9
window_grid,window_36_to_96,8
window_grid,window_36_to_504,8
window_grid,window_36_to_8,8
window_grid,window_36_to_12,8
window_grid,window_504_to_240,8
window_grid,window_504_to_72,8
window_grid,window_504_to_6,8
window_grid,window_72_to_24,8
window_grid,window_72_to_336,8
window_grid,window_72_to_12,8
window_grid,window_72_to_168,8
